ticker,precio,vcp_score,calidad_patron,num_contracciones,contracciones,profundidad_base,etapa_analisis,trend_score,volumen_score,breakout_potential,listo_comprar,sector,market_cap,razon,fecha_scan
FTV,61.91999816894531,91.79411764705883,Excellent,17,11.2% → 21.1% → 11.5% → 7.0% → 7.7% → 5.4% → 10.1% → 9.2% → 12.3% → 6.0% → 4.1% → 4.9% → 6.2% → 12.3% → 4.9% → 6.3% → 6.1%,21.106606270962978,Stage 2 Strong,85.0,81.47058823529412,100.0,True,Technology,19666511872,VCP 17 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 21.1% | Stage 2 Strong,2026-02-10 23:15:56
COP,107.5,90.02631578947368,Excellent,19,13.0% → 24.8% → 6.9% → 10.6% → 4.1% → 9.6% → 6.3% → 6.2% → 4.7% → 3.4% → 9.2% → 4.3% → 14.1% → 4.7% → 4.5% → 5.8% → 7.1% → 8.8% → 6.8%,24.783426434093972,Stage 2 Strong,85.0,72.63157894736842,100.0,True,Energy,132839710720,VCP 19 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 24.8% | Stage 2 Strong,2026-02-10 23:15:56
SJM,109.37999725341797,90.0,Excellent,18,10.6% → 10.5% → 3.8% → 5.5% → 6.3% → 19.3% → 3.6% → 4.4% → 4.7% → 12.6% → 10.4% → 4.4% → 7.8% → 4.3% → 6.1% → 11.3% → 5.7% → 6.0%,19.29763536909708,Stage 2 Strong,85.0,72.5,100.0,True,Consumer Defensive,11670224896,VCP 18 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 19.3% | Stage 2 Strong,2026-02-10 23:15:56
EIX,65.45999908447266,89.90625,Excellent,16,14.4% → 10.4% → 7.0% → 15.3% → 6.4% → 4.1% → 6.1% → 6.8% → 8.1% → 6.3% → 6.6% → 8.9% → 4.2% → 6.6% → 3.9% → 4.9%,15.26718187795849,Stage 2 Strong,85.0,72.03125,100.0,True,Utilities,25191233536,VCP 16 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 15.3% | Stage 2 Strong,2026-02-10 23:15:56
EQR,65.56999969482422,89.73529411764706,Excellent,17,10.7% → 17.6% → 3.3% → 4.0% → 3.8% → 6.8% → 3.3% → 5.8% → 9.9% → 3.9% → 4.2% → 5.8% → 8.7% → 3.2% → 3.9% → 4.6% → 6.8%,17.600542231156734,Stage 2 Strong,85.0,71.17647058823529,100.0,True,Real Estate,25805852672,VCP 17 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 17.6% | Stage 2 Strong,2026-02-10 23:15:56
ALGN,196.27000427246094,89.5952380952381,Excellent,21,10.4% → 5.2% → 18.0% → 8.1% → 12.1% → 14.4% → 5.9% → 8.9% → 4.4% → 8.6% → 38.7% → 4.3% → 12.8% → 13.1% → 7.5% → 5.6% → 12.5% → 10.3% → 5.9% → 7.2% → 3.8%,38.69713482555126,Stage 2 Strong,85.0,70.47619047619048,100.0,True,Healthcare,14226899968,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 38.7% | Stage 2 Strong,2026-02-10 23:15:56
TSCO,54.04999923706055,89.56521739130434,Excellent,23,14.4% → 16.4% → 7.2% → 10.2% → 4.1% → 10.8% → 5.1% → 4.6% → 6.3% → 13.3% → 3.7% → 3.4% → 7.4% → 8.2% → 7.4% → 4.7% → 6.1% → 10.8% → 8.6% → 6.3% → 5.8% → 4.9% → 3.8%,16.408607020955834,Stage 2 Strong,85.0,70.32608695652173,100.0,True,Consumer Cyclical,28560214016,VCP 23 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 16.4% | Stage 2 Strong,2026-02-10 23:15:56
HD,389.67999267578125,89.52631578947368,Excellent,19,13.4% → 12.4% → 5.4% → 3.4% → 7.3% → 7.3% → 4.4% → 6.7% → 4.0% → 3.8% → 3.9% → 12.2% → 3.1% → 6.8% → 11.9% → 4.4% → 3.2% → 6.7% → 3.6%,13.356013438434852,Stage 2 Strong,85.0,70.13157894736842,100.0,True,Consumer Cyclical,387930914816,VCP 19 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 13.4% | Stage 2 Strong,2026-02-10 23:15:56
HSY,229.0,89.5,Excellent,17,15.3% → 9.5% → 6.3% → 4.3% → 11.7% → 3.9% → 5.2% → 10.1% → 6.9% → 9.7% → 3.9% → 3.8% → 6.2% → 6.4% → 16.9% → 7.3% → 6.5%,16.87864454468434,Stage 2 Strong,85.0,70.0,100.0,True,Consumer Defensive,46437793792,VCP 17 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 16.9% | Stage 2 Strong,2026-02-10 23:15:56
LH,284.5,89.5,Excellent,20,10.7% → 4.3% → 5.0% → 12.2% → 5.1% → 4.7% → 3.5% → 9.0% → 9.4% → 3.2% → 4.1% → 3.3% → 5.4% → 3.3% → 15.6% → 5.8% → 4.9% → 6.1% → 8.2% → 5.2%,15.565848475236008,Stage 2 Strong,85.0,70.0,100.0,True,Healthcare,23641950208,VCP 20 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 15.6% | Stage 2 Strong,2026-02-10 23:15:56
FANG,164.88999938964844,89.42307692307692,Excellent,26,14.0% → 5.6% → 29.5% → 17.0% → 8.7% → 9.9% → 3.9% → 5.0% → 13.9% → 7.4% → 3.7% → 8.1% → 8.6% → 4.4% → 10.5% → 4.4% → 6.8% → 8.8% → 4.8% → 8.3% → 7.1% → 5.3% → 10.8% → 9.8% → 5.5% → 4.6%,29.53393474788491,Stage 2 Strong,85.0,69.61538461538461,100.0,True,Energy,47733366784,VCP 26 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 29.5% | Stage 2 Strong,2026-02-10 23:15:56
TPL,401.6199951171875,89.38,Excellent,25,14.6% → 13.0% → 10.0% → 29.1% → 17.4% → 7.5% → 6.5% → 25.3% → 9.5% → 5.1% → 14.7% → 6.9% → 12.8% → 6.1% → 8.6% → 10.0% → 12.3% → 4.8% → 5.3% → 12.6% → 18.8% → 13.6% → 9.5% → 8.6% → 6.1%,29.099858471835933,Stage 2 Strong,85.0,69.4,100.0,True,Energy,27686971392,VCP 25 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 29.1% | Stage 2 Strong,2026-02-10 23:15:56
TRGP,217.05999755859375,89.325,Excellent,20,14.5% → 6.6% → 27.2% → 12.6% → 9.3% → 13.6% → 9.5% → 4.9% → 8.8% → 8.6% → 5.1% → 6.8% → 6.5% → 9.0% → 15.0% → 5.3% → 4.8% → 4.4% → 6.1% → 8.6%,27.216254278801948,Stage 2 Strong,85.0,69.125,100.0,True,Energy,46709542912,VCP 20 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 27.2% | Stage 2 Strong,2026-02-10 23:15:56
LMT,629.5599975585938,89.30555555555556,Excellent,18,12.5% → 11.9% → 9.3% → 8.4% → 3.4% → 5.6% → 7.1% → 3.2% → 8.9% → 5.6% → 6.4% → 3.1% → 13.6% → 3.8% → 6.5% → 5.3% → 9.3% → 9.2%,13.61741955755204,Stage 2 Strong,85.0,71.52777777777777,95.0,True,Industrials,145678794752,VCP 18 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 13.6% | Stage 2 Strong,2026-02-10 23:15:56
COST,971.22998046875,89.26666666666667,Excellent,15,17.3% → 12.4% → 5.7% → 3.4% → 3.6% → 8.7% → 3.1% → 7.1% → 6.6% → 7.9% → 4.4% → 4.6% → 3.9% → 5.9% → 8.9%,17.30206380547045,Stage 2 Strong,85.0,73.83333333333333,90.0,True,Consumer Defensive,431185035264,VCP 15 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 17.3% | Stage 2 Strong,2026-02-10 23:15:56
MOS,30.1200008392334,89.125,Excellent,16,22.0% → 3.8% → 10.6% → 5.7% → 9.2% → 19.8% → 4.8% → 5.7% → 3.9% → 8.8% → 19.7% → 18.8% → 11.0% → 7.2% → 10.8% → 8.2%,21.98185195507661,Stage 2 Strong,85.0,68.125,100.0,True,Basic Materials,9560325120,VCP 16 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 22.0% | Stage 2 Strong,2026-02-10 23:15:56
TGT,113.2300033569336,89.0952380952381,Excellent,21,20.4% → 7.6% → 18.4% → 10.8% → 3.8% → 5.6% → 8.0% → 8.8% → 5.8% → 8.0% → 5.1% → 5.7% → 9.6% → 4.4% → 19.5% → 6.2% → 11.1% → 9.9% → 4.0% → 8.1% → 6.3%,20.431620624977313,Stage 2 Strong,85.0,70.47619047619048,95.0,True,Consumer Defensive,51451617280,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 20.4% | Stage 2 Strong,2026-02-10 23:15:56
ON,67.37999725341797,89.09375,Excellent,16,14.3% → 23.2% → 7.3% → 5.7% → 11.0% → 5.8% → 9.6% → 11.0% → 10.3% → 15.3% → 11.4% → 10.5% → 6.5% → 5.3% → 7.3% → 8.0%,23.223456527773646,Stage 2 Strong,85.0,67.96875,100.0,True,Technology,27556665344,VCP 16 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 23.2% | Stage 2 Strong,2026-02-10 23:15:56
IEX,214.5800018310547,89.0904761904762,Excellent,21,10.9% → 3.9% → 18.3% → 9.8% → 6.2% → 3.2% → 6.8% → 4.2% → 8.4% → 5.3% → 15.8% → 4.4% → 5.1% → 4.7% → 4.7% → 5.0% → 3.3% → 8.7% → 6.6% → 3.7% → 3.9%,18.27773766748271,Stage 2 Strong,85.0,67.95238095238095,100.0,True,Industrials,16155146240,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 18.3% | Stage 2 Strong,2026-02-10 23:15:56
DD,49.43000030517578,89.0,Excellent,5,10.1% → 3.8% → 3.9% → 4.0% → 5.3%,10.138255365146849,Stage 2 Strong,85.0,67.5,100.0,True,Basic Materials,20709951488,VCP 5 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 10.1% | Stage 2 Strong,2026-02-10 23:15:56
VLO,199.5,88.78571428571429,Excellent,7,11.7% → 5.4% → 6.3% → 8.7% → 12.2% → 7.1% → 6.8%,12.16698681979095,Stage 2 Strong,85.0,66.42857142857143,100.0,True,Energy,61975023616,VCP 7 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 12.2% | Stage 2 Strong,2026-02-10 23:15:56
SHW,364.6499938964844,88.73809523809524,Excellent,21,10.2% → 12.7% → 6.8% → 3.4% → 4.3% → 3.5% → 4.3% → 9.6% → 4.9% → 7.9% → 5.6% → 3.4% → 5.4% → 10.0% → 6.1% → 3.2% → 9.8% → 8.4% → 7.2% → 4.7% → 3.4%,12.742270597242594,Stage 2 Strong,85.0,66.19047619047619,100.0,True,Basic Materials,90919387136,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 12.7% | Stage 2 Strong,2026-02-10 23:15:56
DECK,115.51000213623047,88.61904761904762,Excellent,21,14.6% → 21.4% → 15.5% → 6.0% → 7.2% → 27.0% → 13.2% → 13.2% → 19.1% → 8.3% → 4.5% → 9.5% → 17.6% → 9.9% → 24.2% → 4.6% → 7.5% → 7.5% → 8.7% → 6.0% → 6.7%,26.964586459338253,Stage 2 Strong,85.0,68.0952380952381,95.0,True,Consumer Cyclical,16834985984,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 27.0% | Stage 2 Strong,2026-02-10 23:15:56
PCAR,127.06999969482422,88.5,Excellent,25,16.6% → 4.4% → 14.3% → 10.1% → 9.0% → 3.9% → 5.2% → 4.6% → 5.4% → 3.7% → 8.1% → 6.5% → 4.5% → 4.5% → 5.9% → 3.1% → 8.2% → 9.8% → 6.1% → 4.4% → 6.1% → 3.3% → 3.6% → 4.9% → 6.4%,16.62480167304824,Stage 2 Strong,85.0,70.0,90.0,True,Industrials,66762575872,VCP 25 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 16.6% | Stage 2 Strong,2026-02-10 23:15:56
FRT,107.6500015258789,88.34210526315789,Excellent,19,11.3% → 4.1% → 3.0% → 18.8% → 4.7% → 4.2% → 6.7% → 4.0% → 3.7% → 3.8% → 3.4% → 6.2% → 4.1% → 3.5% → 5.0% → 11.7% → 4.1% → 3.9% → 3.2%,18.838687351855917,Stage 2 Strong,85.0,64.21052631578948,100.0,True,Real Estate,9343938560,VCP 19 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 18.8% | Stage 2 Strong,2026-02-10 23:15:56
GILD,147.22999572753906,88.25,Excellent,20,12.1% → 15.2% → 13.2% → 8.1% → 3.4% → 5.3% → 4.9% → 6.5% → 6.2% → 7.7% → 3.9% → 7.9% → 6.1% → 6.2% → 8.5% → 5.6% → 4.1% → 7.7% → 3.9% → 8.3%,15.189542753433201,Stage 2 Strong,85.0,66.25,95.0,True,Healthcare,182683992064,VCP 20 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 15.2% | Stage 2 Strong,2026-02-10 23:15:56
EMR,161.69000244140625,88.18571428571428,Excellent,14,17.7% → 3.5% → 3.2% → 4.8% → 7.0% → 5.6% → 7.4% → 3.4% → 9.3% → 7.6% → 7.3% → 3.4% → 3.3% → 4.9%,17.67486394167852,Stage 2 Strong,85.0,63.42857142857143,100.0,True,Industrials,90918625280,VCP 14 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 17.7% | Stage 2 Strong,2026-02-10 23:15:56
DOV,229.47999572753906,88.16315789473684,Excellent,19,12.5% → 23.8% → 11.7% → 6.1% → 5.6% → 4.4% → 5.0% → 3.9% → 11.2% → 3.9% → 5.1% → 9.3% → 5.6% → 6.3% → 4.9% → 5.1% → 4.3% → 3.5% → 3.4%,23.772988119507506,Stage 2 Strong,85.0,63.315789473684205,100.0,True,Industrials,31473920000,VCP 19 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 23.8% | Stage 2 Strong,2026-02-10 23:15:56
TXT,95.87000274658203,88.15,Excellent,10,13.7% → 3.7% → 3.0% → 4.5% → 3.3% → 8.3% → 7.1% → 3.0% → 5.1% → 5.2%,13.667430207432,Stage 2 Strong,85.0,63.25,100.0,True,Industrials,17084541952,VCP 10 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 13.7% | Stage 2 Strong,2026-02-10 23:15:56
BLDR,128.4199981689453,88.07142857142857,Excellent,21,12.0% → 9.6% → 15.6% → 15.9% → 19.0% → 11.2% → 4.9% → 4.1% → 11.4% → 14.6% → 9.9% → 9.5% → 6.6% → 23.0% → 8.6% → 8.3% → 26.0% → 10.4% → 9.6% → 6.1% → 8.1%,25.982586043313553,Stage 2 Strong,85.0,62.857142857142854,100.0,True,Industrials,14200758272,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 26.0% | Stage 2 Strong,2026-02-10 23:15:56
CARR,65.81999969482422,87.95652173913044,Excellent,23,12.0% → 6.5% → 4.6% → 21.0% → 6.4% → 3.7% → 8.3% → 4.4% → 4.6% → 4.1% → 20.4% → 3.5% → 9.2% → 11.8% → 9.0% → 6.6% → 10.8% → 13.0% → 3.1% → 5.6% → 5.4% → 7.8% → 3.9%,20.956341978167796,Stage 2 Strong,85.0,62.28260869565217,100.0,True,Industrials,55015243776,VCP 23 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 21.0% | Stage 2 Strong,2026-02-10 23:15:56
IP,48.0,87.82857142857142,Excellent,21,14.8% → 4.7% → 8.1% → 21.2% → 12.8% → 10.6% → 7.6% → 7.7% → 5.3% → 20.0% → 3.9% → 3.1% → 9.1% → 5.7% → 6.7% → 28.0% → 7.8% → 5.8% → 5.5% → 4.5% → 5.7%,27.97342853600438,Stage 2 Strong,85.0,61.64285714285714,100.0,True,Consumer Cyclical,25345839104,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 28.0% | Stage 2 Strong,2026-02-10 23:15:56
RCL,347.29998779296875,86.95833333333334,Excellent,12,16.3% → 5.0% → 12.9% → 5.7% → 11.1% → 7.0% → 22.2% → 9.7% → 10.0% → 4.0% → 8.8% → 15.9%,22.21086812887608,Stage 2 Strong,85.0,64.79166666666667,85.0,False,Consumer Cyclical,94713208832,VCP 12 contracciones (Excellent) | Base: 22.2% | Stage 2 Strong,2026-02-10 23:15:56
SBUX,97.52999877929688,85.90384615384616,Excellent,26,18.3% → 4.9% → 5.3% → 23.7% → 12.6% → 4.9% → 11.2% → 5.3% → 5.0% → 5.8% → 3.8% → 4.5% → 7.5% → 8.3% → 13.6% → 9.2% → 9.8% → 3.8% → 10.1% → 10.9% → 6.9% → 3.5% → 6.7% → 7.9% → 4.3% → 5.5%,23.659154437355582,Stage 2 Strong,75.0,69.51923076923077,95.0,True,Consumer Cyclical,111115927552,VCP 26 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 23.7% | Stage 2 Strong,2026-02-10 23:15:56
ODFL,194.49000549316406,85.20370370370371,Excellent,27,13.3% → 5.5% → 14.5% → 12.3% → 13.7% → 5.3% → 5.1% → 8.0% → 4.8% → 8.9% → 5.2% → 8.1% → 18.9% → 7.6% → 4.2% → 11.9% → 8.2% → 10.8% → 6.8% → 8.8% → 7.6% → 8.8% → 5.4% → 11.0% → 7.2% → 5.7% → 3.4%,18.91412316191564,Stage 2 Strong,75.0,68.51851851851852,90.0,True,Industrials,40875601920,VCP 27 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 18.9% | Stage 2 Strong,2026-02-10 23:15:56
GRMN,208.41000366210938,85.075,Excellent,20,11.3% → 3.4% → 22.9% → 13.2% → 12.7% → 3.1% → 3.9% → 3.6% → 6.3% → 11.6% → 3.5% → 4.3% → 4.6% → 3.3% → 6.4% → 26.5% → 3.1% → 5.0% → 3.5% → 6.6%,26.49051506924845,Stage 2 (Uptrend),65.0,77.875,100.0,True,Technology,40117665792,VCP 20 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 26.5% | Stage 2 (Uptrend),2026-02-10 23:15:56
FFIV,282.3800048828125,84.64583333333334,Excellent,24,14.4% → 7.1% → 17.3% → 7.7% → 5.9% → 3.9% → 4.2% → 3.4% → 4.4% → 4.8% → 5.2% → 3.9% → 9.7% → 5.9% → 5.2% → 5.2% → 4.8% → 3.5% → 16.9% → 26.7% → 5.3% → 4.2% → 4.7% → 8.4%,26.72016046039316,Stage 2 Strong,75.0,70.72916666666667,80.0,True,Technology,16042316800,VCP 24 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 26.7% | Stage 2 Strong,2026-02-10 23:15:56
RMD,263.5400085449219,84.5578947368421,Excellent,19,10.6% → 4.4% → 5.3% → 11.2% → 7.1% → 5.1% → 5.3% → 3.6% → 4.2% → 5.6% → 9.6% → 5.6% → 4.8% → 16.0% → 5.3% → 7.9% → 7.7% → 4.2% → 5.3%,15.958153149828366,Stage 2 Strong,75.0,62.78947368421052,95.0,True,Healthcare,38467956736,VCP 19 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 16.0% | Stage 2 Strong,2026-02-10 23:15:56
HSIC,81.0199966430664,84.5,Excellent,23,14.3% → 22.2% → 6.8% → 3.9% → 6.0% → 4.7% → 8.1% → 4.3% → 4.2% → 9.3% → 10.4% → 11.2% → 3.4% → 5.5% → 5.3% → 6.3% → 8.0% → 4.1% → 7.5% → 4.8% → 6.1% → 3.6% → 7.4%,22.18938719191039,Stage 2 (Uptrend),65.0,75.0,100.0,True,Healthcare,9825165312,VCP 23 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 22.2% | Stage 2 (Uptrend),2026-02-10 23:15:56
CIEN,298.70001220703125,84.4,Excellent,3,18.7% → 9.0% → 17.3%,18.66935606925718,Stage 2 Strong,85.0,64.5,100.0,False,Technology,42133401600,VCP 3 contracciones (Excellent) | Base: 18.7% | Stage 2 Strong,2026-02-10 23:15:56
LYV,149.32000732421875,84.0,Excellent,19,28.4% → 16.0% → 11.6% → 5.0% → 4.2% → 4.2% → 8.4% → 5.4% → 5.0% → 6.5% → 7.6% → 8.7% → 11.4% → 8.2% → 17.9% → 3.5% → 6.5% → 3.5% → 7.9%,28.443741836185122,Stage 2 (Uptrend),65.0,72.5,100.0,True,Communication Services,34673487872,VCP 19 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 28.4% | Stage 2 (Uptrend),2026-02-10 23:15:56
ATO,174.1699981689453,83.53571428571429,Excellent,14,10.4% → 5.5% → 3.2% → 3.7% → 4.0% → 3.3% → 4.2% → 5.8% → 3.0% → 3.8% → 6.3% → 3.5% → 3.3% → 5.0%,10.421009082633361,Stage 2 (Uptrend),65.0,70.17857142857143,100.0,True,Utilities,28814499840,VCP 14 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 10.4% | Stage 2 (Uptrend),2026-02-10 23:15:56
META,670.719970703125,82.42105263157895,Excellent,19,16.5% → 24.0% → 18.4% → 4.3% → 5.5% → 3.7% → 4.2% → 4.7% → 6.3% → 5.0% → 8.2% → 4.9% → 12.6% → 4.9% → 23.4% → 5.6% → 10.2% → 4.3% → 9.8%,23.976157229643917,Stage 2 Strong,75.0,62.10526315789474,75.0,True,Communication Services,1696623362048,VCP 19 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 24.0% | Stage 2 Strong,2026-02-10 23:15:56
ANET,143.4499969482422,82.4,Excellent,10,10.1% → 11.4% → 7.3% → 15.9% → 30.6% → 5.8% → 10.8% → 3.5% → 15.1% → 6.2%,30.568694708399306,Stage 2 Strong,75.0,59.5,80.0,True,Technology,180644446208,VCP 10 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 30.6% | Stage 2 Strong,2026-02-10 23:15:56
COO,81.56999969482422,80.15,Excellent,20,17.0% → 18.1% → 4.1% → 4.3% → 23.7% → 7.5% → 6.5% → 3.9% → 8.9% → 5.2% → 18.2% → 8.1% → 3.8% → 4.5% → 11.8% → 3.7% → 4.4% → 13.6% → 4.8% → 5.8%,23.73577679237279,Stage 2 (Uptrend),55.0,68.25,100.0,True,Healthcare,16216844288,VCP 20 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 23.7% | Stage 2 (Uptrend),2026-02-10 23:15:56
MGM,37.36000061035156,79.56666666666666,Excellent,15,12.9% → 4.9% → 7.1% → 4.5% → 5.6% → 13.8% → 14.5% → 6.6% → 15.2% → 5.2% → 13.1% → 8.9% → 5.7% → 5.4% → 9.2%,15.228014623006125,Stage 2 Early,50.0,72.83333333333333,100.0,True,Consumer Cyclical,10218200064,VCP 15 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 15.2% | Stage 2 Early,2026-02-10 23:15:56
