ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime,oe_ai_adjustment,oe_ai_verdict
ATCO-B.ST,Atlas Copco AB ser. B,70.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,SEK,SEK,False,True,False,0.3199,"acciones × precio no cuadra con la capitalización (ratio 0.3199): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",80.0,60.0,60.5,90.0,55.0,,,,,8.2,True,1,9.1,True,1,"{'eps_growth_yoy': 8.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.7}","{'revenue_growth_yoy': 9.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 5.6, 'rs_6m': 2.4}","{'roe_pct': 25.7, 'debt_to_equity': 0.34, 'current_ratio': 1.27, 'operating_margin_pct': 20.6}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 22.1}",184.25,898885877760,Industrials,Specialty Industrial Machinery,,,False,185.2,-0.5,7,True,225.0,225.0,225.0,1,none,22.1,,,,,2.89,16.64,1.69,54.9,3.0,1.62,False,,126.5,4.0,78,2026-10-22,False,False,6,NEUTRAL,3.79,53.6,3.13,31.8,,,,2026-08-05T07:08:10.818012,OMXSTO,50.0,0.0,5.0,0.0,1.0,2.76,1.0,0.0,CONFIRMED_UPTREND,0,
LR.PA,LEGRAND,68.8,⭐⭐ GOOD,🟡 Good,EUR,EUR,False,True,True,1.0,,80.0,80.0,35.0,75.0,65.0,,,,,8.5,True,1,14.7,True,2,"{'eps_growth_yoy': 8.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.0}","{'revenue_growth_yoy': 14.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -20.0, 'rs_6m': -11.1}","{'roe_pct': 18.2, 'debt_to_equity': 1.03, 'current_ratio': 1.58, 'operating_margin_pct': 19.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 17.9}",138.15,36214099968,Industrials,Electrical Equipment & Parts,,,False,166.95,-17.3,3,False,162.84,200.0,114.0,19,buy,17.9,72.91,-47.2,49.6,-64.1,2.85,3.93,1.77,47.9,2.38,1.91,True,-0.31,11.3,5.9,92,2026-11-05,False,False,6,NEUTRAL,4.43,45.7,2.41,20.4,,,,2026-08-05T07:08:37.775080,CAC40,48.5,0.0,5.0,3.0,3.0,2.24,1.0,0.0,CONFIRMED_UPTREND,0,
MONC.MI,MONCLER,58.2,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,55.0,50.0,50.0,85.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 20.0},{},"{'rs_3m': -12.8, 'rs_6m': -6.2}","{'roe_pct': 18.1, 'debt_to_equity': 0.34, 'current_ratio': 2.3, 'operating_margin_pct': 19.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 21.6}",50.46,13724601344,Consumer Cyclical,Apparel Manufacturing,,,False,59.4,-15.1,2,False,61.37,70.0,49.0,25,buy,21.6,44.24,-12.3,23.5,-53.4,5.01,2.53,2.79,59.6,1.4,1.79,,,,5.0,197,2027-02-18,False,False,7,NEUTRAL,6.73,32.2,2.73,37.6,,,,2026-08-05T07:08:40.170796,FTSEMIB,48.3,6.0,5.0,0.0,1.0,2.7,1.0,0.0,CONFIRMED_UPTREND,0,
AUTO.L,AUTOTRADER GROUP PLC ORD 1P,59.0,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",60.0,50.0,50.0,90.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 47.1},{},"{'rs_3m': -0.7, 'rs_6m': -7.6}","{'roe_pct': 60.2, 'debt_to_equity': 0.52, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 5.1}",535.2,4189922304,Communication Services,Internet Content & Information,,,False,844.4,-36.6,1,False,562.33,800.0,410.0,18,hold,5.1,,,,,5.82,0.31,2.19,32.0,0.12,1.35,,,,2.0,92,2026-11-05,False,False,5,NEUTRAL,8.68,332.4,2.39,30.0,,,,2026-08-05T07:08:16.121615,FTSE100,42.6,6.0,5.0,0.0,1.0,0.64,-3.0,0.0,CONFIRMED_UPTREND,-5,MIXED/AVOID (-5)
NOVO-B.CO,Novo Nordisk B A/S,74.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,DKK,DKK,False,True,False,0.7569,"acciones × precio no cuadra con la capitalización (ratio 0.7569): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (-12,039,249,920) se aparta del derivado de flujo operativo menos capex (28,34",100.0,90.0,30.0,70.0,50.0,,,,,83.2,True,2,26.0,True,2,"{'eps_growth_yoy': 83.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 37.2}","{'revenue_growth_yoy': 26.0, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -0.9, 'rs_6m': -28.7}","{'roe_pct': 71.4, 'debt_to_equity': 0.72, 'current_ratio': 0.79, 'operating_margin_pct': 61.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 5.8}",299.85,1325905477632,Healthcare,Drug Manufacturers - General,,,False,409.95,-26.9,3,False,317.2,453.0,200.0,24,hold,5.8,,,,,-0.91,-3.6,5.26,42.7,15.9,1.88,True,-0.18,39.5,26.8,0,2026-08-05,True,False,5,NEUTRAL,9.04,64.7,0.21,35.7,,,,2026-08-05T07:07:31.618695,OMXCPH,47.6,-5.0,8.0,3.0,5.0,0.72,-3.0,0.0,CONFIRMED_UPTREND,0,
ASSA-B.ST,ASSA ABLOY AB ser. B,68.5,⭐⭐ GOOD,🟡 Good,SEK,SEK,False,True,True,,,90.0,60.0,50.0,70.0,60.0,,,,,15.9,True,1,3.3,True,1,"{'eps_growth_yoy': 15.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.8}","{'revenue_growth_yoy': 3.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -6.0, 'rs_6m': -12.8}","{'roe_pct': 15.6, 'debt_to_equity': 0.64, 'current_ratio': 1.01, 'operating_margin_pct': 16.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 11.6}",365.5,0,Industrials,Security & Protection Services,,,False,396.9,-7.9,5,False,407.9,500.0,340.0,21,buy,11.6,,,234.37,-35.9,,,1.78,41.7,6.4,1.69,False,,,15.9,83,2026-10-27,False,False,8,STRONG,4.9,118.2,1.27,25.3,,,,2026-08-05T07:08:06.325445,OMXSTO,46.4,0.0,5.0,0.0,5.0,1.45,0.0,0.0,CONFIRMED_UPTREND,0,
PGHN.SW,PARTNERS GROUP N,52.8,⭐ AVERAGE,🟡 Average,CHF,CHF,False,True,True,1.0,,60.0,50.0,15.0,85.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 49.3},{},"{'rs_3m': -22.8, 'rs_6m': -42.6}","{'roe_pct': 54.8, 'debt_to_equity': 1.14, 'current_ratio': 1.67, 'operating_margin_pct': 60.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 15.0}",717.2,18491666432,Financial Services,Asset Management,,,False,1158.0,-38.1,0,False,825.0,1050.0,680.0,13,buy,15.0,1070.36,49.2,532.84,-25.7,7.27,52.13,6.63,86.7,46.0,3.56,,,,7.7,27,2026-09-01,False,False,7,NEUTRAL,7.63,75.9,1.37,31.9,,,,2026-08-05T07:07:38.985453,SMI20,45.1,6.0,0.0,0.0,3.0,1.88,0.0,0.0,CONFIRMED_UPTREND,0,
HEXA-B.ST,Hexagon AB ser. B,69.8,⭐⭐ GOOD,🟡 Good,SEK,EUR,True,True,True,0.9586,"FCF declarado (7,505,857,762) se aparta del derivado de flujo operativo menos capex (15,196,255,339)",85.0,60.0,50.0,95.0,50.0,,,,,45.8,False,0,4.0,True,1,"{'eps_growth_yoy': 45.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.0}","{'revenue_growth_yoy': 4.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -9.3, 'rs_6m': -14.8}","{'roe_pct': 27.3, 'debt_to_equity': 0.47, 'current_ratio': 1.53, 'operating_margin_pct': 24.0}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 1.3}",97.1,258604269568,Technology,Scientific & Technical Instruments,,,False,122.1,-20.5,3,False,98.38,128.93,79.35,15,hold,1.3,45.14,-53.5,86.7,-10.7,2.9,2.94,1.58,17.8,1.52,1.22,True,-0.01,20.6,,79,2026-10-23,False,False,6,NEUTRAL,0.36,117.8,0.0,50.2,,,,2026-08-05T07:08:42.665504,OMXSTO,44.9,0.0,5.0,3.0,0.0,0.16,-3.0,0.0,CONFIRMED_UPTREND,0,
CPG.L,COMPASS GROUP PLC ORD 11 1/20P,57.1,⭐ AVERAGE,🟡 Average,USD,USD,False,True,True,1.0,"FCF declarado (1,974,125,056) se aparta del derivado de flujo operativo menos capex (2,725,999,872)",50.0,50.0,74.5,55.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 4.2},{},"{'rs_3m': 1.9, 'rs_6m': 37.1}","{'roe_pct': 26.9, 'debt_to_equity': 1.13, 'current_ratio': 0.7, 'operating_margin_pct': 6.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 17.3}",32.52,55294185472,Consumer Cyclical,Restaurants,,,False,34.69,-6.3,6,False,38.15,43.0,31.0,20,buy,17.3,29.45,-9.4,19.4,-40.3,3.57,1.16,2.13,55.9,0.69,2.93,,,,16.3,111,2026-11-24,False,False,6,NEUTRAL,4.63,100.5,1.22,33.5,,,,2026-08-05T07:07:59.301791,FTSE100,44.8,3.0,5.0,0.0,5.0,2.16,1.0,0.0,CONFIRMED_UPTREND,0,
LSEG.L,LONDON STOCK EXCHANGE GROUP PLC,57.7,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",55.0,50.0,56.0,70.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': -15.9, 'rs_6m': 5.8}","{'roe_pct': 7.7, 'debt_to_equity': 0.64, 'current_ratio': 1.0, 'operating_margin_pct': 29.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 41.6}",8500.0,41338613760,Financial Services,Financial Data & Stock Exchanges,,,False,10165.0,-16.4,2,False,12037.33,13630.0,10400.0,15,strong_buy,41.6,,,,,4.16,3.54,1.86,53.9,1.58,1.28,,,,33.7,204,2027-02-25,False,False,7,NEUTRAL,4.25,305.7,0.46,34.8,,,,2026-08-05T07:07:18.412032,FTSE100,38.1,3.0,5.0,0.0,5.0,5.2,3.0,0.0,CONFIRMED_UPTREND,-5,MIXED/AVOID (-5)
RMS.PA,HERMES INTL,57.2,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,60.0,50.0,30.0,95.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 28.0},{},"{'rs_3m': -15.2, 'rs_6m': -35.0}","{'roe_pct': 25.5, 'debt_to_equity': 0.12, 'current_ratio': 4.54, 'operating_margin_pct': 42.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 22.7}",1556.0,162978447360,Consumer Cyclical,Luxury Goods,,,False,2300.0,-32.3,0,False,1908.95,2320.0,1500.0,22,buy,22.7,690.41,-55.6,430.7,-72.3,3.02,46.92,1.15,41.9,18.0,0.66,,,,-0.2,190,2027-02-11,False,False,8,STRONG,4.47,37.5,,49.7,,,,2026-08-05T07:07:08.416360,CAC40,41.9,3.0,0.0,0.0,0.0,2.84,1.0,0.0,CONFIRMED_UPTREND,0,
