ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,upside_triangulated_pct,upside_divergence_pts,upside_divergence,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
COST,0.0,,,,34.0,Costco Wholesale Corporation,52.0,Consumer Defensive,Discount Stores,65.0,30.0,36.0,75.0,65.0,921.75,408776605696.0,15.0,6.3,False,down,-16.0,True,2.0,-18.1,False,0.0,1.6,2.8,False,1096.5,-15.9,0.0,False,"{'roe_pct': 29.2, 'debt_to_equity': 0.6, 'current_ratio': 1.07, 'operating_margin_pct': 3.7}","{'eps_growth_yoy': -16.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 3.0}",1077.97,1315.0,740.0,34.0,buy,16.9,665.02,-27.9,594.6,-35.5,1.7,15.68,0.63,27.0,0.59,True,-0.22,81.5,31.8,71.0,2026-09-24,False,False,7.0,NEUTRAL,2.69,30.6,0.9,BULLISH,0.37,100.0,15.0,12.0,5.0,0.0,10.2,15.6,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.9x ratio, 45% up volume)",MEGA_FLOAT,440.9,50.0,25.8,15.0,False,down,6.3,0.0,True,2.0,False,0.0,5.0,27.0,29.0,10.3,Bottom 25%,10.4,-3.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,1/3,63.5,0.0,0.0,0.0,0.0,3.0,5.0,-0.46,-0.4,0.0,0.0,0.0,2.11,2.0,5.0,118.0,0,,8,RELIABLE/BUY (+8),,0.0,41,0.3396,MEDIA,0.0,-27.9,48.6,ALTA,🔵 DECENT,🟡 Good,,,,,,,
JKHY,71.63157894736842,Excellent,Stage Unknown,16.110778817881748,50.7,"Jack Henry & Associates, Inc.",64.0,Technology,Information Technology Services,65.0,60.0,44.0,95.0,65.0,145.37,10328651776.0,35.0,29.4,False,down,-3.7,True,1.0,3.4,True,1.0,6.6,2.3,False,193.39,-24.8,0.0,False,"{'roe_pct': 24.9, 'debt_to_equity': 0.06, 'current_ratio': 1.74, 'operating_margin_pct': 24.4}","{'eps_growth_yoy': -3.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.6}",184.29,208.0,158.0,14.0,buy,26.8,114.65,-21.1,86.38,-40.6,3.62,5.26,1.58,32.8,1.22,True,-2.75,123.3,12.5,34.0,2026-08-18,False,False,9.0,STRONG,5.71,162.7,1.64,,,,,,21.1,28.7,15.2,19.2,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,75,"Strong institutional buying (1.6x ratio, 60% up volume)",HIGH_FLOAT,70.6,40.0,63.1,35.0,False,down,29.4,0.0,True,1.0,True,1.0,5.0,26.0,29.0,13.8,Bottom 25%,11.6,-3.0,1.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,46.535,0.0,0.0,3.0,3.0,3.0,3.0,-0.92,-1.98,0.0,2.0,0.0,3.35,0.0,10.0,15.0,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,44,0.5066,ALTA,34.71578947368421,-21.1,57.6,ALTA,🔵 DECENT,🟡 Average,BUY,100.0,Good pullback (-24.8% from high) - valid VCP setup | Strong upside (+26.8%) - analyst support,-24.8,NEUTRAL,BUY,False
SPGI,0.0,,,,56.1,S&P Global Inc.,71.0,Financial Services,Financial Data & Stock Exchanges,100.0,70.0,36.0,65.0,65.0,438.87,129905516544.0,15.0,22.1,False,up,30.1,True,1.0,11.1,True,1.0,1.2,1.4,False,547.82404,-19.9,0.0,False,"{'roe_pct': 13.9, 'debt_to_equity': 0.38, 'current_ratio': 0.68, 'operating_margin_pct': 44.3}","{'eps_growth_yoy': 30.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 30.4}",513.47,555.0,444.0,15.0,strong_buy,17.0,759.17,73.0,474.3,8.1,4.08,17.9,0.89,24.4,0.82,True,-4.12,22.7,32.5,13.0,2026-07-28,False,True,7.0,NEUTRAL,4.43,942.7,0.67,,,,,,2.0,0.0,16.8,21.3,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",MEGA_FLOAT,295.3,43.0,38.1,15.0,False,up,22.1,2.0,True,1.0,True,1.0,5.0,16.0,29.0,48.3,Bajo 50%,29.9,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,49.455,0.0,0.0,3.0,0.0,3.0,5.0,2.02,-3.8,3.0,2.0,1.5,2.12,2.0,5.0,16.0,0,,-5,MIXED/AVOID (-5),WATCH,-5.0,44,0.561,ALTA,0.0,17.0,-23.5,,🔵 DECENT,🟡 Average,,,,,,,
IT,0.0,,,,50.7,"Gartner, Inc.",42.7,Technology,Information Technology Services,50.0,30.0,36.0,50.0,55.0,132.97,8902592512.0,15.0,4.7,False,down,-7.7,False,0.0,-10.4,False,0.0,24.7,7.8,True,374.9,-64.5,0.0,False,"{'roe_pct': 94.9, 'debt_to_equity': 52.93, 'current_ratio': 0.94, 'operating_margin_pct': 20.5}","{'eps_growth_yoy': -7.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 11.4}",164.23,203.0,120.0,13.0,hold,23.5,419.26,215.3,164.7,23.9,11.95,15.89,,,,True,-26.54,8.5,6.9,20.0,2026-08-04,False,True,6.0,NEUTRAL,9.81,255.4,0.5,,,,,,0.0,0.0,15.2,12.8,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 51% up volume)",HIGH_FLOAT,61.0,40.0,28.0,15.0,False,down,4.7,0.0,False,0.0,False,0.0,0.0,26.0,29.0,13.8,Bottom 25%,11.6,-3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,48.61500000000001,0.0,0.0,8.0,0.0,3.0,3.0,-0.47,-1.39,0.0,0.0,0.0,2.94,2.0,2.0,2.0,0,,-5,MIXED/AVOID (-5),BEST,11.0,29,0.5066,ALTA,0.0,23.9,-96.1,,🔵 DECENT,🟡 Average,,,,,,,
MKC,0.0,,,,32.1,"McCormick & Company, Incorporat",56.2,Consumer Defensive,Packaged Foods,55.0,70.0,36.0,60.0,60.0,52.85,14208803840.0,15.0,21.7,False,up,-33.4,False,0.0,12.3,True,1.0,,0.0,False,73.84,-28.4,0.0,False,"{'roe_pct': 24.7, 'debt_to_equity': 0.65, 'current_ratio': 0.78, 'operating_margin_pct': 17.4}","{'eps_growth_yoy': -33.4, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 21.9}",60.23,75.0,51.0,13.0,buy,14.0,41.35,-21.8,59.1,11.8,5.03,2.81,3.57,30.9,2.11,True,-0.19,5.5,-9.9,83.0,2026-10-06,False,False,6.0,NEUTRAL,5.72,66.6,,,,,,,0.0,0.0,9.6,16.9,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,75,"Strong institutional buying (1.6x ratio, 59% up volume)",MEGA_FLOAT,265.4,43.0,26.5,15.0,False,up,21.7,2.0,False,0.0,True,1.0,2.0,20.0,29.0,34.5,Bajo 50%,26.6,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,45.385,0.0,0.0,6.0,5.0,3.0,0.0,0.0,-1.63,0.0,1.0,0.0,1.75,2.0,2.0,33.0,0,,-8,RELIABLE/AVOID (-8),BEST,5.0,20,0.3212,MEDIA,0.0,11.8,19.0,,🔵 DECENT,🟡 Average,,,,,,,
MSCI,0.0,,,,47.6,MSCI Inc.,67.3,Financial Services,Financial Data & Stock Exchanges,100.0,60.0,44.0,50.0,60.0,611.43,44467830784.0,35.0,49.1,False,flat,33.7,True,1.0,10.1,False,0.0,2.2,1.8,False,644.68,-5.2,0.0,False,"{'current_ratio': 0.86, 'operating_margin_pct': 53.7}","{'eps_growth_yoy': 33.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 40.7}",695.88,760.0,550.0,16.0,buy,13.8,703.29,15.0,517.2,-15.4,2.71,16.58,1.32,42.5,1.01,True,-6.04,7.7,49.1,6.0,2026-07-21,True,False,8.0,STRONG,3.36,851.3,0.55,BULLISH,0.0,60.0,3.0,0.0,5.0,0.0,14.3,20.2,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",HIGH_FLOAT,68.9,40.0,34.5,35.0,False,flat,49.1,0.0,True,1.0,False,0.0,2.0,16.0,29.0,48.3,Bajo 50%,29.9,0.0,0.0,3.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,44.900000000000006,0.0,0.0,0.0,0.0,3.0,5.0,0.79,1.06,0.0,0.0,0.0,1.72,2.0,10.0,44.0,0,,-8,RELIABLE/AVOID (-8),WATCH,0.0,33,0.4757,ALTA,8.23,13.8,14.0,,🔵 DECENT,🟡 Average,,,,,,,
BAC,0.0,,,,51.6,Bank of America Corporation,71.7,Financial Services,Banks - Diversified,95.0,60.0,62.0,65.0,60.0,60.62,425429204992.0,80.0,81.8,False,up,20.6,True,1.0,14.4,False,0.0,0.0,0.0,False,61.21,-1.0,1.0,False,"{'roe_pct': 10.6, 'operating_margin_pct': 36.0}","{'eps_growth_yoy': 20.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 29.0}",65.79,71.0,58.0,21.0,strong_buy,8.5,,,98.33,62.2,,,1.88,27.3,2.35,True,-5.91,,24.4,,,False,False,5.0,NEUTRAL,,,0.48,,,,,,7.0,0.0,15.5,21.5,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,7069.1,43.0,37.0,80.0,False,up,81.8,5.0,True,1.0,False,0.0,2.0,,29.0,,Sin datos suficientes,81.8,0.0,0.0,5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,51.260000000000005,0.0,0.0,0.0,3.0,3.0,5.0,0.73,4.16,2.0,0.0,0.0,1.06,0.0,0.0,,1,Berkshire Hathaway (Buffett),0,RELIABLE/INSUFFICIENT (0),,0.0,44,0.5159,ALTA,14.670000000000002,35.4,-53.7,,🔵 DECENT,🟡 Average,,,,,,,
KO,0.0,,,,15.3,Coca-Cola Company (The),64.3,Consumer Defensive,Beverages - Non-Alcoholic,85.0,40.0,54.0,80.0,60.0,83.08,357450252288.0,60.0,66.5,False,up,3.0,True,1.0,-0.5,True,1.0,1.2,2.4,False,85.68,-3.0,0.0,False,"{'roe_pct': 43.4, 'debt_to_equity': 1.25, 'current_ratio': 1.36, 'operating_margin_pct': 35.1}","{'eps_growth_yoy': 3.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 27.8}",86.85,95.0,71.38,24.0,buy,4.5,19.84,-76.1,56.97,-31.4,0.87,0.73,2.52,64.8,2.88,True,-0.24,11.1,18.2,13.0,2026-07-28,False,True,7.0,NEUTRAL,4.52,91.1,1.31,BULLISH,0.11,100.0,8.0,2.0,15.0,0.0,4.6,19.3,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",MEGA_FLOAT,3873.9,43.0,23.9,60.0,False,up,66.5,2.0,True,1.0,True,1.0,5.0,8.0,29.0,75.9,Top 25%,36.0,3.0,0.0,5.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,42.985,0.0,0.0,0.0,3.0,3.0,5.0,1.02,1.02,1.0,0.0,1.5,0.56,-3.0,5.0,45.0,1,Berkshire Hathaway (Buffett),-8,RELIABLE/AVOID (-8),CAUTION,2.0,44,0.1533,BAJA,13.93,-31.4,58.2,ALTA,🔵 DECENT,🟡 Average,AVOID,35.0,Near ATH (-3.0% from high) - poor entry point,-3.0,NEUTRAL,BUY,False
MCO,0.0,,,,19.5,Moody's Corporation,68.0,Financial Services,Financial Data & Stock Exchanges,95.0,60.0,44.0,65.0,60.0,494.73,86417670144.0,35.0,33.7,False,up,14.4,True,1.0,9.5,True,1.0,2.0,2.7,False,546.88,-9.5,0.0,False,"{'roe_pct': 71.4, 'debt_to_equity': 2.36, 'current_ratio': 1.16, 'operating_margin_pct': 45.7}","{'eps_growth_yoy': 14.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 31.7}",541.0,610.0,490.0,20.0,buy,9.4,233.63,-52.8,139.0,-71.9,2.62,12.97,0.83,27.6,0.8,False,,12.7,7.8,7.0,2026-07-22,True,False,8.0,STRONG,3.69,106.3,3.4,,,,,,5.0,0.0,5.8,20.4,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 57% up volume)",HIGH_FLOAT,160.0,40.0,26.2,35.0,False,up,33.7,2.0,True,1.0,True,1.0,5.0,16.0,29.0,48.3,Bajo 50%,29.9,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,42.175,0.0,0.0,0.0,0.0,0.0,3.0,0.55,0.93,0.0,0.0,0.0,1.18,0.0,10.0,63.0,1,Berkshire Hathaway (Buffett),-8,RELIABLE/AVOID (-8),CONFIRM,8.0,33,0.195,BAJA,8.3,-52.8,71.8,ALTA,🔵 DECENT,🟡 Average,,,,,,,
NYT,0.0,,,,58.7,New York Times Company (The),61.8,Communication Services,Publishing,70.0,50.0,44.0,90.0,60.0,72.98,11812741120.0,35.0,38.1,False,down,6.0,False,0.0,3.8,False,0.0,8.9,7.4,True,87.1,-16.2,0.0,False,"{'roe_pct': 19.7, 'debt_to_equity': 0.02, 'current_ratio': 1.6, 'operating_margin_pct': 13.1}","{'eps_growth_yoy': 6.0, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 13.3}",83.44,95.0,66.0,9.0,buy,14.3,102.9,41.0,68.1,-6.7,3.31,2.43,1.23,40.8,0.92,True,-1.38,525.6,80.0,21.0,2026-08-05,False,True,8.0,STRONG,4.03,52.8,0.28,,,,,,0.0,0.0,17.6,18.5,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,35,"Moderate distribution (0.9x ratio, 44% up volume)",HIGH_FLOAT,134.7,47.0,36.1,35.0,False,down,38.1,0.0,False,0.0,False,0.0,0.0,,29.0,,Sin datos suficientes,38.1,0.0,3.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,41.55500000000001,0.0,0.0,3.0,0.0,3.0,5.0,0.0,-1.7,0.0,1.0,0.0,1.79,2.0,10.0,76.0,1,Berkshire Hathaway (Buffett),-8,RELIABLE/AVOID (-8),,0.0,44,0.587,ALTA,0.0,14.3,-2.8,,⚪ WEAK,🟡 Average,,,,,,,
HEI,0.0,,,,28.8,Heico Corporation,77.8,Industrials,Aerospace & Defense,100.0,70.0,54.0,90.0,60.0,345.61,48294748160.0,60.0,53.1,False,up,31.8,True,1.0,19.9,True,1.0,1.5,1.4,False,369.48,-6.5,0.0,False,"{'roe_pct': 17.2, 'debt_to_equity': 0.48, 'current_ratio': 2.92, 'operating_margin_pct': 25.5}","{'eps_growth_yoy': 31.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 16.1}",385.53,472.0,290.0,19.0,buy,11.5,543.7,57.3,168.9,-51.1,1.47,12.82,0.07,4.3,0.1,False,,9.0,48.2,41.0,2026-08-25,False,False,8.0,STRONG,2.0,52.3,1.04,,,,,,5.0,0.0,8.6,23.3,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,75,"Strong institutional buying (1.6x ratio, 59% up volume)",HIGH_FLOAT,123.9,40.0,32.0,60.0,False,up,53.1,2.0,True,1.0,True,1.0,5.0,,29.0,,Sin datos suficientes,53.1,0.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,43.46000000000001,0.0,0.0,0.0,0.0,0.0,5.0,-0.14,-0.15,0.0,0.0,0.0,1.44,2.0,10.0,104.0,0,,-5,MIXED/AVOID (-5),WATCH,0.0,42,0.288,BAJA,9.28,11.5,8.4,,⚪ WEAK,🟡 Average,,,,,,,
FDS,0.0,,,,50.0,FactSet Research Systems Inc.,57.2,Financial Services,Financial Data & Stock Exchanges,65.0,60.0,36.0,70.0,50.0,252.61,8984212480.0,15.0,19.8,False,up,-17.5,True,1.0,4.4,True,1.0,17.1,5.1,True,441.43,-42.8,0.0,False,"{'roe_pct': 27.0, 'debt_to_equity': 0.77, 'current_ratio': 0.68, 'operating_margin_pct': 30.5}","{'eps_growth_yoy': -17.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 23.2}",254.0,340.0,210.0,16.0,hold,0.6,256.99,1.7,145.8,-42.3,6.91,17.47,1.76,29.4,1.0,True,-6.82,14.1,-3.8,64.0,2026-09-17,False,False,6.0,NEUTRAL,7.58,187.1,,,,,,,5.0,0.0,,17.2,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 48% up volume)",MEDIUM_FLOAT,35.4,42.0,24.5,15.0,False,up,19.8,2.0,True,1.0,True,1.0,5.0,16.0,29.0,48.3,Bajo 50%,29.9,0.0,3.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,38.88,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.69,2.0,0.0,0.0,0.08,-3.0,2.0,5.0,0,,-8,RELIABLE/AVOID (-8),BEST,11.0,26,,,0.0,0.6,20.9,MEDIA,⚪ WEAK,🟡 Average,,,,,,,
KR,0.0,,,,15.3,Kroger Company (The),66.6,Consumer Defensive,Grocery Stores,78.0,100.0,36.0,30.0,65.0,58.74,35986903040.0,15.0,11.5,False,down,48.3,False,0.0,35.9,True,2.0,4.5,2.9,False,76.58,-23.3,0.0,False,"{'roe_pct': 13.8, 'debt_to_equity': 3.73, 'current_ratio': 0.79, 'operating_margin_pct': 3.2}","{'eps_growth_yoy': 48.3, 'positive_quarters': 3, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 0.7}",70.64,86.0,58.0,22.0,buy,20.3,109.66,86.7,22.31,-62.0,8.32,4.89,2.43,80.1,2.01,True,-7.59,3.0,9.2,57.0,2026-09-10,False,False,7.0,NEUTRAL,2.7,5.9,0.8,,,,,,0.0,0.0,4.6,20.0,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",MEGA_FLOAT,793.5,45.0,24.6,15.0,False,down,11.5,0.0,False,0.0,True,2.0,2.0,,29.0,,Sin datos suficientes,11.5,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,48.405,0.0,0.0,8.0,0.0,3.0,3.0,-0.96,-6.27,1.0,1.0,0.0,2.54,2.0,5.0,123.0,1,Berkshire Hathaway (Buffett),2,RELIABLE/WATCH (+2),,0.0,44,0.1533,BAJA,0.0,20.3,8.0,,⚪ WEAK,🟡 Average,,,,,,,
7741.T,0.0,,,,29.8,HOYA CORP,61.2,Healthcare,Medical Instruments & Supplies,60.0,50.0,50.0,95.0,65.0,25410.0,8500013432832.0,,,,,,,0.0,,,0.0,,,False,30400.0,-16.4,4.0,False,"{'roe_pct': 25.1, 'debt_to_equity': 0.04, 'current_ratio': 4.81, 'operating_margin_pct': 27.3}",{'profit_margin_pct': 26.7},30380.0,34000.0,23100.0,15.0,strong_buy,19.6,9051.9,-64.4,7440.9,-70.7,2.0,508.94,1.15,39.7,0.75,,,,7.5,15.0,2026-07-31,False,True,6.0,NEUTRAL,4.1,33.1,4.96,,,,,,0.0,0.0,8.9,18.4,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,66,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 47% up volume)",MEGA_FLOAT,334.5,45.0,27.3,,,,,0.0,,0.0,,0.0,0.0,14.0,29.0,55.2,Medio,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1/3,44.720000000000006,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.89,0.0,0.0,0.0,2.45,2.0,2.0,88.0,0,,0,MIXED/INSUFFICIENT (0),,0.0,35,0.2981,BAJA,6.12,-64.4,87.2,ALTA,⚪ WEAK,🔴 Weak,,,,,,,
CNI,0.0,,,,50.0,Canadian National Railway Compa,58.0,Industrials,Railroads,55.0,50.0,70.0,60.0,60.0,124.79,75697610752.0,100.0,100.0,True,up,-2.2,False,0.0,2.5,False,0.0,,1.5,False,126.12,-1.1,1.0,False,"{'roe_pct': 21.8, 'debt_to_equity': 1.06, 'current_ratio': 0.67, 'operating_margin_pct': 38.4}","{'eps_growth_yoy': -2.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 27.2}",127.79,145.9,109.06,13.0,buy,2.4,63.03,-49.5,53.3,-57.3,3.43,4.28,2.06,47.1,2.04,True,-3.76,7.8,0.8,9.0,2026-07-24,False,True,7.0,NEUTRAL,7.33,14.5,18.16,BULLISH,0.0,80.0,3.0,0.0,20.0,0.0,,17.4,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,95,"Strong institutional buying (2.3x ratio, 67% up volume)",MEGA_FLOAT,606.7,43.0,24.9,100.0,True,up,100.0,10.0,False,0.0,False,0.0,0.0,1.0,29.0,100.0,Top 10%,84.4,5.0,0.0,5.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,39.5,0.0,0.0,3.0,3.0,3.0,1.0,7.24,8.77,2.0,0.0,3.0,0.3,-3.0,5.0,61.0,0,,-5,MIXED/AVOID (-5),,0.0,26,,,13.3,-49.5,55.8,ALTA,⚪ WEAK,🔴 Weak,AVOID,35.0,Near ATH (-1.1% from high) - poor entry point,-1.1,NEUTRAL,BUY,False
CTAS,0.0,,,,25.1,Cintas Corporation,66.2,Industrials,Specialty Business Services,90.0,50.0,36.0,90.0,60.0,184.33,73757237248.0,15.0,18.2,False,flat,12.1,True,1.0,6.5,False,0.0,4.0,5.3,False,226.75,-18.7,0.0,False,"{'roe_pct': 41.3, 'debt_to_equity': 0.61, 'current_ratio': 1.98, 'operating_margin_pct': 23.2}","{'eps_growth_yoy': 12.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 17.6}",208.69,245.0,160.0,16.0,buy,13.2,73.4,-60.2,47.6,-74.2,2.04,3.77,0.98,36.7,0.9,True,-1.61,24.3,6.8,0.0,2026-07-15,True,False,8.0,STRONG,3.09,64.5,3.5,BULLISH,0.0,70.0,5.0,0.0,5.0,0.0,7.5,19.9,2026-07-15 06:25:15,2026-07-15,UNKNOWN,CAUTION,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 56% up volume)",MEGA_FLOAT,342.1,43.0,27.4,15.0,False,flat,18.2,0.0,True,1.0,False,0.0,2.0,24.0,29.0,20.7,Bottom 25%,17.0,-3.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,36.33500000000001,0.0,0.0,0.0,0.0,3.0,3.0,0.0,-1.75,0.0,0.0,0.0,1.65,2.0,10.0,92.0,0,,-8,RELIABLE/AVOID (-8),CAUTION,-8.0,43,0.2505,BAJA,0.0,-60.2,80.4,ALTA,⚪ WEAK,🔴 Weak,,,,,,,
