ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime
DSY.PA,DASSAULT SYSTEMES,73.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,60.0,54.5,85.0,60.0,,,,,16.1,True,1,6.6,True,1,"{'eps_growth_yoy': 16.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 21.3}","{'revenue_growth_yoy': 6.6, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 4.2, 'rs_6m': -15.0}","{'roe_pct': 15.1, 'debt_to_equity': 0.36, 'current_ratio': 1.99, 'operating_margin_pct': 23.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.9}",21.2,27856754688,Technology,Software - Application,,,False,30.36,-30.2,3,False,23.5,33.35,17.0,19,buy,10.9,40.9,92.9,29.1,37.3,4.55,0.96,1.35,27.8,0.27,0.65,True,-0.65,,22.3,86,2026-10-28,False,False,8,STRONG,6.18,42.9,0.47,45.6,,,,2026-08-03T11:42:35.420002,CAC40,52.3,3.0,0.0,3.0,5.0,1.36,0.0,0.0,CONFIRMED_UPTREND
LR.PA,LEGRAND,71.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,80.0,80.0,50.0,75.0,65.0,,,,,8.5,True,1,14.7,True,2,"{'eps_growth_yoy': 8.5, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.0}","{'revenue_growth_yoy': 14.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -18.3, 'rs_6m': -8.5}","{'roe_pct': 18.2, 'debt_to_equity': 1.03, 'current_ratio': 1.58, 'operating_margin_pct': 19.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 22.7}",132.7,34785460224,Industrials,Electrical Equipment & Parts,,,False,166.95,-20.5,3,False,162.79,200.0,114.0,19,buy,22.7,72.91,-45.1,49.7,-62.5,2.96,3.93,1.81,47.9,2.38,1.91,True,-0.32,11.3,5.9,94,2026-11-05,False,False,6,NEUTRAL,4.62,45.7,2.32,18.6,,,,2026-08-03T11:42:21.339303,CAC40,49.7,0.0,5.0,3.0,3.0,2.84,1.0,0.0,CONFIRMED_UPTREND
MONC.MI,MONCLER,58.2,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,55.0,50.0,50.0,85.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 20.0},{},"{'rs_3m': -10.2, 'rs_6m': -2.6}","{'roe_pct': 18.1, 'debt_to_equity': 0.34, 'current_ratio': 2.3, 'operating_margin_pct': 19.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 22.8}",49.97,13591326720,Consumer Cyclical,Apparel Manufacturing,,,False,59.4,-15.9,2,False,61.37,70.0,49.0,25,buy,22.8,44.24,-11.5,23.5,-53.0,5.06,2.53,2.85,59.6,1.4,1.79,,,,5.0,199,2027-02-18,False,False,7,NEUTRAL,6.92,32.2,2.71,37.3,,,,2026-08-03T11:42:23.614679,FTSEMIB,48.3,6.0,5.0,0.0,1.0,2.85,1.0,0.0,CONFIRMED_UPTREND
NOVO-B.CO,Novo Nordisk B A/S,74.9,⭐⭐⭐ EXCELLENT,🟢 Excellent,DKK,DKK,False,True,False,0.7569,"acciones × precio no cuadra con la capitalización (ratio 0.7569): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (-12,039,249,920) se aparta del derivado de flujo operativo menos capex (28,34",100.0,90.0,34.5,70.0,50.0,,,,,83.2,True,2,26.0,True,2,"{'eps_growth_yoy': 83.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 37.2}","{'revenue_growth_yoy': 26.0, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 6.5, 'rs_6m': -25.3}","{'roe_pct': 71.4, 'debt_to_equity': 0.72, 'current_ratio': 0.79, 'operating_margin_pct': 61.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 3.3}",307.0,1357522010112,Healthcare,Drug Manufacturers - General,,,False,409.95,-25.1,3,False,317.2,453.0,200.0,24,hold,3.3,,,,,-0.89,-3.6,5.19,42.7,15.9,1.88,True,-0.18,39.5,26.8,2,2026-08-05,True,False,5,NEUTRAL,9.07,64.7,0.21,35.9,,,,2026-08-03T11:41:17.798155,OMXCPH,48.0,-5.0,8.0,3.0,5.0,0.41,-3.0,0.0,CONFIRMED_UPTREND
AUTO.L,AUTOTRADER GROUP PLC ORD 1P,59.9,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",60.0,50.0,54.5,90.0,50.0,,,,,,,0,,,0,{'profit_margin_pct': 47.1},{},"{'rs_3m': 2.5, 'rs_6m': -3.3}","{'roe_pct': 60.2, 'debt_to_equity': 0.52, 'current_ratio': 1.73, 'operating_margin_pct': 62.2}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 5.6}",532.6,4169567232,Communication Services,Internet Content & Information,,,False,844.4,-36.9,1,False,562.33,800.0,410.0,18,hold,5.6,,,,,5.85,0.31,2.21,32.0,0.12,1.35,,,,2.0,94,2026-11-05,False,False,5,NEUTRAL,8.87,332.4,2.38,30.2,,,,2026-08-03T11:42:00.551877,FTSE100,48.0,6.0,5.0,0.0,1.0,0.7,-3.0,0.0,CONFIRMED_UPTREND
PGHN.SW,PARTNERS GROUP N,55.8,⭐ AVERAGE,🟡 Average,CHF,CHF,False,True,True,1.0,,60.0,50.0,30.0,85.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 49.3},{},"{'rs_3m': -19.7, 'rs_6m': -38.5}","{'roe_pct': 54.8, 'debt_to_equity': 1.14, 'current_ratio': 1.67, 'operating_margin_pct': 60.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 18.6}",695.4,17929592832,Financial Services,Asset Management,,,False,1158.0,-39.9,0,False,825.0,1050.0,680.0,13,buy,18.6,1070.36,53.9,532.95,-23.4,7.5,52.13,6.85,86.7,46.0,3.56,,,,7.7,29,2026-09-01,False,False,7,NEUTRAL,8.09,75.9,1.33,32.2,,,,2026-08-03T11:41:24.982312,SMI20,47.3,6.0,0.0,0.0,3.0,2.33,1.0,0.0,CONFIRMED_UPTREND
ASSA-B.ST,ASSA ABLOY AB ser. B,68.5,⭐⭐ GOOD,🟡 Good,SEK,SEK,False,True,True,,,90.0,60.0,50.0,70.0,60.0,,,,,15.9,True,1,3.3,True,1,"{'eps_growth_yoy': 15.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.8}","{'revenue_growth_yoy': 3.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -0.7, 'rs_6m': -8.5}","{'roe_pct': 15.6, 'debt_to_equity': 0.64, 'current_ratio': 1.01, 'operating_margin_pct': 16.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 12.9}",361.3,0,Industrials,Security & Protection Services,,,False,396.9,-9.0,5,False,407.9,500.0,340.0,21,buy,12.9,,,234.68,-35.0,,,1.81,41.7,6.4,1.69,False,,,15.9,85,2026-10-27,False,False,8,STRONG,5.03,118.2,1.25,25.4,,,,2026-08-03T11:41:51.395807,OMXSTO,46.4,0.0,5.0,0.0,5.0,1.61,0.0,0.0,CONFIRMED_UPTREND
HEXA-B.ST,Hexagon AB ser. B,69.8,⭐⭐ GOOD,🟡 Good,SEK,EUR,True,True,True,0.9586,"FCF declarado (7,514,253,571) se aparta del derivado de flujo operativo menos capex (15,213,941,519)",85.0,60.0,50.0,95.0,50.0,,,,,45.8,False,0,4.0,True,1,"{'eps_growth_yoy': 45.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.0}","{'revenue_growth_yoy': 4.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -5.1, 'rs_6m': -13.8}","{'roe_pct': 27.3, 'debt_to_equity': 0.47, 'current_ratio': 1.53, 'operating_margin_pct': 24.0}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 2.0}",96.48,256953057280,Technology,Scientific & Technical Instruments,,,False,122.1,-21.0,3,False,98.4,129.08,79.44,15,hold,2.0,45.19,-53.2,86.7,-10.1,2.92,2.94,1.62,17.8,1.52,1.22,True,-0.01,20.6,,81,2026-10-23,False,False,6,NEUTRAL,0.37,117.8,0.0,51.1,,,,2026-08-03T11:42:26.088515,OMXSTO,44.9,0.0,5.0,3.0,0.0,0.25,-3.0,0.0,CONFIRMED_UPTREND
CPG.L,COMPASS GROUP PLC ORD 11 1/20P,57.1,⭐ AVERAGE,🟡 Average,USD,USD,False,True,True,1.0,"FCF declarado (1,974,125,056) se aparta del derivado de flujo operativo menos capex (2,725,999,872)",50.0,50.0,74.5,55.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 4.2},{},"{'rs_3m': 5.4, 'rs_6m': 41.9}","{'roe_pct': 26.9, 'debt_to_equity': 1.13, 'current_ratio': 0.7, 'operating_margin_pct': 6.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 18.1}",32.29,54903115776,Consumer Cyclical,Restaurants,,,False,34.69,-6.9,7,True,38.15,43.0,31.0,20,buy,18.1,29.45,-8.8,19.4,-39.9,3.6,1.16,2.16,55.9,0.69,2.93,,,,16.3,113,2026-11-24,False,False,6,NEUTRAL,4.73,100.5,1.21,33.8,,,,2026-08-03T11:41:44.894636,FTSE100,44.8,3.0,5.0,0.0,5.0,2.26,1.0,0.0,CONFIRMED_UPTREND
LSEG.L,LONDON STOCK EXCHANGE GROUP PLC,57.7,⭐ AVERAGE,🟡 Average,GBp,GBP,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",55.0,50.0,56.0,70.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 14.6},{},"{'rs_3m': -13.9, 'rs_6m': 8.5}","{'roe_pct': 7.7, 'debt_to_equity': 0.64, 'current_ratio': 1.0, 'operating_margin_pct': 29.0}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 43.2}",8404.0,40919912448,Financial Services,Financial Data & Stock Exchanges,,,False,10165.0,-17.3,2,False,12037.33,13630.0,10400.0,15,strong_buy,43.2,,,,,4.2,3.53,1.88,3.5,1.58,1.28,,,,33.7,206,2027-02-25,False,False,7,NEUTRAL,4.29,305.7,0.46,34.6,,,,2026-08-03T11:41:05.927675,FTSE100,43.1,3.0,5.0,0.0,5.0,5.4,3.0,0.0,CONFIRMED_UPTREND
INDT.ST,Indutrade AB,74.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,SEK,SEK,False,True,True,1.0,,85.0,70.0,71.0,70.0,65.0,,,,,22.7,True,1,10.7,True,1,"{'eps_growth_yoy': 22.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 8.1}","{'revenue_growth_yoy': 10.7, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 21.0, 'rs_6m': 5.7}","{'roe_pct': 15.7, 'debt_to_equity': 0.61, 'current_ratio': 1.49, 'operating_margin_pct': 12.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 15.2}",243.8,88821948416,Industrials,Industrial Distribution,,,False,266.6,-8.6,5,False,280.75,320.0,261.0,8,buy,15.2,261.95,7.4,167.81,-31.2,3.3,8.05,1.3,42.1,3.1,1.09,False,,,22.8,81,2026-10-23,False,False,8,STRONG,3.93,33.7,1.19,67.4,,,,2026-08-03T11:42:28.245103,OMXSTO,42.7,3.0,0.0,0.0,5.0,1.9,0.0,0.0,CONFIRMED_UPTREND
MC.PA,LVMH,57.5,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,55.0,50.0,50.0,80.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 13.7},{},"{'rs_3m': -1.4, 'rs_6m': -15.6}","{'roe_pct': 16.6, 'debt_to_equity': 0.53, 'current_ratio': 1.63, 'operating_margin_pct': 22.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 16.0}",490.45,241840521216,Consumer Cyclical,Luxury Goods,,,False,654.7,-25.1,1,False,569.12,660.0,420.0,25,buy,16.0,344.27,-29.8,219.5,-55.2,4.77,23.4,2.74,59.2,13.0,1.83,,,,0.8,176,2027-01-26,False,False,6,NEUTRAL,6.84,28.9,23.97,29.0,,,,2026-08-03T11:41:15.447246,CAC40,42.0,3.0,5.0,0.0,1.0,2.0,1.0,0.0,CONFIRMED_UPTREND
