ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,analyzed_at
BBT,Beacon Financial Corporation,69.8,⭐⭐ GOOD,🟡 Good,55.0,100.0,63.9,60.0,65.0,60.0,74.2,False,up,,,0,58.1,True,2,{'profit_margin_pct': 17.6},"{'revenue_growth_yoy': np.float64(58.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(16.2), 'rs_6m': np.float64(9.4), 'rs_line_percentile': 74.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 4.9, 'operating_margin_pct': 46.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 16.2}",29.74,2495449600,Financial Services,Banks - Regional,5.1,4.4,False,32.0,-7.1,8.0,True,34.57,42.0,31.0,7.0,buy,16.2,,,30.9,3.9,,,4.33,124.9,1.29,4.53,False,,,223.4,52.0,2026-04-23,False,False,2026-03-02T07:50:16.622664
ESOA,Energy Services of America Corp,68.5,⭐⭐ GOOD,🟡 Good,50.0,80.0,91.0,55.0,70.0,100.0,100.0,True,up,,,0,48.8,False,0,{'profit_margin_pct': 0.5},"{'revenue_growth_yoy': np.float64(48.8), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(75.9), 'rs_6m': np.float64(46.7), 'rs_line_percentile': 100.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 3.7, 'debt_to_equity': 1.06, 'current_ratio': 1.44, 'operating_margin_pct': 4.3}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 34.4}",15.62,260214192,Industrials,Engineering & Construction,7.1,3.5,False,15.84,-1.4,8.0,True,21.0,21.0,21.0,1.0,strong_buy,34.4,18.48,18.3,3.9,-75.0,2.79,0.44,0.77,92.3,0.12,,True,-0.33,1.9,110.0,65.0,2026-05-06,False,False,2026-03-02T07:51:49.290220
NIC,Nicolet Bankshares Inc.,68.1,⭐⭐ GOOD,🟡 Good,60.0,80.0,71.9,65.0,60.0,80.0,82.9,False,up,,,0,12.8,True,2,{'profit_margin_pct': 38.9},"{'revenue_growth_yoy': np.float64(12.8), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(19.1), 'rs_6m': np.float64(4.4), 'rs_line_percentile': 82.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 12.4, 'operating_margin_pct': 52.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 14.6}",152.76,2262596352,Financial Services,Banks - Regional,6.7,4.8,False,163.11,-6.3,8.0,True,175.0,190.0,157.0,5.0,buy,14.6,,,196.58,28.7,,,0.84,12.7,1.28,,True,-4.33,,14.1,43.0,2026-04-14,False,False,2026-03-02T07:53:44.434719
RRBI,"Red River Bancshares, Inc.",67.8,⭐⭐ GOOD,🟡 Good,60.0,70.0,83.0,65.0,60.0,80.0,88.7,False,up,,,0,11.3,True,1,{'profit_margin_pct': 34.1},"{'revenue_growth_yoy': np.float64(11.3), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(24.9), 'rs_6m': np.float64(30.0), 'rs_line_percentile': 88.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 12.0, 'operating_margin_pct': 44.9}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 9.7}",88.7,583345280,Financial Services,Banks - Regional,2.2,2.3,False,93.9,-5.5,8.0,True,97.33,105.0,90.0,3.0,strong_buy,9.7,,,168.43,89.9,,,0.76,8.5,0.67,0.61,True,-2.33,,26.4,59.0,2026-04-30,False,False,2026-03-02T07:55:06.635226
ATEX,Anterix Inc.,67.8,⭐⭐ GOOD,🟡 Good,60.0,60.0,75.0,85.0,70.0,60.0,62.3,False,up,,,0,13.2,False,0,{'profit_margin_pct': 1370.9},"{'revenue_growth_yoy': np.float64(13.2), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(78.9), 'rs_6m': np.float64(52.0), 'rs_line_percentile': 62.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 42.7, 'debt_to_equity': 0.02, 'current_ratio': 1.39, 'operating_margin_pct': -618.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 49.9}",36.91,691430912,Communication Services,Telecom Services,13.0,3.5,True,39.62,-6.8,6.0,False,55.33,72.0,44.0,3.0,strong_buy,49.9,,,43.5,17.9,-5.26,-1.94,,,,,True,-0.43,-179.7,,113.0,2026-06-23,False,False,2026-03-02T07:52:47.276939
MBBC,"Marathon Bancorp, Inc.",67.2,⭐⭐ GOOD,🟡 Good,50.0,80.0,91.0,60.0,50.0,100.0,100.0,True,up,,,0,34.7,False,0,{'profit_margin_pct': 9.6},"{'revenue_growth_yoy': np.float64(34.7), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(21.9), 'rs_6m': np.float64(29.6), 'rs_line_percentile': 100.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 1.9, 'operating_margin_pct': 26.6}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",14.04,41258240,Financial Services,Banks - Regional,0.2,2.6,False,14.64,-4.1,8.0,True,,,,,none,,,,8.7,-38.0,,,,,,,True,-0.09,,459.8,,,False,False,2026-03-02T07:55:00.497016
HQI,"HireQuest, Inc.",66.8,⭐⭐ GOOD,🟡 Good,60.0,70.0,61.4,90.0,55.0,35.0,41.9,False,up,,,0,5.1,True,2,{'profit_margin_pct': 21.9},"{'revenue_growth_yoy': np.float64(5.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(34.5), 'rs_6m': np.float64(17.1), 'rs_line_percentile': 41.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 11.1, 'debt_to_equity': 0.03, 'current_ratio': 2.4, 'operating_margin_pct': 31.5}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 20.1}",11.66,164406000,Industrials,Staffing & Employment Services,3.2,10.0,False,15.2,-23.3,6.0,False,14.0,15.0,13.0,2.0,none,20.1,11.79,1.1,5.2,-55.4,6.85,0.8,2.06,46.2,0.24,1.62,False,,18.5,,24.0,2026-03-26,False,False,2026-03-02T07:49:31.533569
FMFG,Farmers and Merchants Bancshare,66.2,⭐⭐ GOOD,🟡 Good,60.0,90.0,58.7,60.0,50.0,35.0,49.7,False,up,,,0,20.1,True,2,{'profit_margin_pct': 22.5},"{'revenue_growth_yoy': np.float64(20.1), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(11.0), 'rs_6m': np.float64(10.2), 'rs_line_percentile': 49.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 9.5, 'operating_margin_pct': 35.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",18.55,59912696,Financial Services,Banks - Regional,,,False,21.0,-11.7,6.0,False,,,,,none,,,,54.3,192.7,,,3.67,37.6,0.68,3.34,False,,,48.1,,,False,False,2026-03-02T07:55:24.780654
NGS,"Natural Gas Services Group, Inc",66.0,⭐⭐ GOOD,🟡 Good,55.0,60.0,91.0,75.0,50.0,100.0,100.0,True,up,,,0,6.7,True,1,{'profit_margin_pct': 11.2},"{'revenue_growth_yoy': np.float64(6.7), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(21.6), 'rs_6m': np.float64(39.0), 'rs_line_percentile': 100.0, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 7.2, 'debt_to_equity': 0.77, 'current_ratio': 1.83, 'operating_margin_pct': 24.7}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 8.5}",38.26,480886752,Energy,Oil & Gas Equipment & Services,2.1,1.5,False,39.67,-3.6,8.0,True,41.5,45.0,39.0,4.0,none,8.5,,,22.05,-42.4,-9.27,-3.55,0.55,6.8,0.21,,False,,2.9,7.5,14.0,2026-03-16,False,True,2026-03-02T07:52:39.223834
NTST,NetSTREIT Corp.,65.9,⭐⭐ GOOD,🟡 Good,50.0,70.0,84.7,70.0,60.0,100.0,91.8,True,up,,,0,15.4,True,1,{'profit_margin_pct': 3.5},"{'revenue_growth_yoy': np.float64(15.4), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(14.0), 'rs_6m': np.float64(10.5), 'rs_line_percentile': 91.8, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 0.5, 'debt_to_equity': 0.77, 'current_ratio': 3.58, 'operating_margin_pct': 35.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': -0.1}",20.77,2287047424,Real Estate,REIT - Retail,27.5,16.7,True,21.13,-1.7,8.0,True,20.75,23.0,19.0,18.0,strong_buy,-0.1,30.25,45.6,0.8,-96.1,5.03,1.05,4.24,1062.5,0.88,4.37,True,-0.03,1.1,,56.0,2026-04-27,False,False,2026-03-02T07:48:46.797890
RDW,Redwire Corporation,65.8,⭐⭐ GOOD,🟡 Good,50.0,100.0,45.0,65.0,70.0,15.0,21.1,False,up,,,0,48.7,True,2,{'profit_margin_pct': -67.6},"{'revenue_growth_yoy': np.float64(48.7), 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': np.float64(67.7), 'rs_6m': np.float64(-7.7), 'rs_line_percentile': 21.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 15}","{'roe_pct': -41.8, 'debt_to_equity': 0.11, 'current_ratio': 1.62, 'operating_margin_pct': -43.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 47.6}",9.07,1497917568,Industrials,Aerospace & Defense,22.8,0.8,True,22.25,-59.2,1.0,False,13.39,22.0,6.0,9.0,buy,47.6,,,,,-8.02,-0.73,,,,,True,-0.16,-5.3,,70.0,2026-05-11,False,False,2026-03-02T07:50:22.829708
APG,APi Group Corporation,65.7,⭐⭐ GOOD,🟡 Good,50.0,70.0,84.7,65.0,65.0,100.0,97.1,True,up,,,0,23.2,False,0,{'profit_margin_pct': 3.8},"{'revenue_growth_yoy': np.float64(23.2), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(12.1), 'rs_6m': np.float64(17.5), 'rs_line_percentile': 97.1, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 9.5, 'debt_to_equity': 0.9, 'current_ratio': 1.5, 'operating_margin_pct': 9.8}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 17.0}",44.46,19182536704,Industrials,Engineering & Construction,2.1,3.8,False,46.89,-5.2,8.0,True,52.0,54.0,50.0,11.0,strong_buy,17.0,36.98,-16.8,,,3.62,1.61,,,,,True,-0.39,3.9,,59.0,2026-04-30,False,False,2026-03-02T07:50:51.524273
CSBB,"CSB Bancorp, Inc.",65.4,⭐⭐ GOOD,🟡 Good,60.0,60.0,88.3,65.0,50.0,100.0,98.1,True,up,,,0,12.9,False,0,{'profit_margin_pct': 30.2},"{'revenue_growth_yoy': np.float64(12.9), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(18.0), 'rs_6m': np.float64(25.2), 'rs_line_percentile': 98.1, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 11.1, 'operating_margin_pct': 25.3}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",58.233,153107728,Financial Services,Banks - Regional,,,False,58.992,-1.3,8.0,True,,,,,none,,,,50.7,-12.9,,,2.87,32.3,1.67,3.51,True,-0.71,,-9.2,,,False,False,2026-03-02T07:55:10.696311
UBSI,"United Bankshares, Inc.",65.1,⭐⭐ GOOD,🟡 Good,60.0,80.0,60.3,60.0,60.0,60.0,59.8,False,up,,,0,23.6,True,1,{'profit_margin_pct': 38.6},"{'revenue_growth_yoy': np.float64(23.6), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(9.4), 'rs_6m': np.float64(3.2), 'rs_line_percentile': 59.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 8.9, 'operating_margin_pct': 56.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 10.9}",41.3,5756610560,Financial Services,Banks - Regional,3.5,4.5,False,45.93,-10.1,6.0,False,45.8,47.0,43.0,5.0,buy,10.9,,,98.1,137.5,,,3.63,45.6,1.5,4.02,True,-1.38,,12.8,52.0,2026-04-23,False,False,2026-03-02T07:50:39.383844
ACNB,ACNB Corporation,64.8,⭐⭐ GOOD,🟡 Good,60.0,80.0,60.3,65.0,50.0,60.0,67.4,False,down,,,0,50.7,False,0,{'profit_margin_pct': 25.3},"{'revenue_growth_yoy': np.float64(50.7), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(3.2), 'rs_6m': np.float64(5.6), 'rs_line_percentile': 67.4, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 60}","{'roe_pct': 10.2, 'operating_margin_pct': 41.9}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 12.4}",50.4,523394528,Financial Services,Banks - Regional,1.3,3.7,False,53.89,-6.5,7.0,True,56.67,57.0,56.0,3.0,none,12.4,,,108.0,114.3,,,3.01,38.3,1.52,3.15,True,-1.66,,17.5,52.0,2026-04-23,False,False,2026-03-02T07:54:17.309180
AROW,Arrow Financial Corporation,64.8,⭐⭐ GOOD,🟡 Good,60.0,80.0,60.3,65.0,50.0,60.0,73.7,False,flat,,,0,26.3,True,1,{'profit_margin_pct': 27.8},"{'revenue_growth_yoy': np.float64(26.3), 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': np.float64(9.0), 'rs_6m': np.float64(7.6), 'rs_line_percentile': 73.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'flat', 'rs_line_score': 60}","{'roe_pct': 10.6, 'operating_margin_pct': 40.7}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 3.6}",33.31,547794368,Financial Services,Banks - Regional,0.6,1.2,False,36.44,-8.6,8.0,True,34.5,34.5,34.5,1.0,none,3.6,,,79.5,138.7,,,3.61,43.0,1.2,3.8,True,-1.89,,108.9,59.0,2026-04-30,False,False,2026-03-02T07:51:36.701210
BWFG,"Bankwell Financial Group, Inc.",64.8,⭐⭐ GOOD,🟡 Good,60.0,80.0,60.3,65.0,50.0,60.0,68.2,False,down,,,0,34.6,False,0,{'profit_margin_pct': 32.8},"{'revenue_growth_yoy': np.float64(34.6), 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': np.float64(0.7), 'rs_6m': np.float64(4.6), 'rs_line_percentile': 68.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 60}","{'roe_pct': 12.3, 'operating_margin_pct': 50.0}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 11.3}",46.7,368927360,Financial Services,Banks - Regional,2.8,5.7,False,51.54,-9.4,6.0,False,52.0,55.0,49.0,2.0,none,11.3,,,133.5,185.9,,,1.71,18.0,0.8,2.49,True,-0.36,,104.9,51.0,2026-04-22,False,False,2026-03-02T07:47:44.474863
