ticker,company_name,fundamental_score,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at
WST,"West Pharmaceutical Services, I",75.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (277,937,504) se aparta del derivado de flujo operativo menos capex (376,300,000)",100.0,50.0,62.0,95.0,65.0,80.0,77.9,False,up,10.0,True,2,8.4,False,0,"{'eps_growth_yoy': 10.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 17.0}","{'revenue_growth_yoy': 8.4, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 77.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 19.1, 'debt_to_equity': 0.11, 'current_ratio': 2.82, 'operating_margin_pct': 22.5}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 16.3}",347.94,24486541312,Healthcare,Medical Instruments & Supplies,3.9,2.9,False,386.0,-9.9,1.0,False,404.73,459.0,340.0,15.0,strong_buy,16.3,107.46,-69.1,141.36,-59.4,1.14,3.95,0.26,11.1,0.88,0.25,True,-1.87,155.1,18.1,79.0,2026-10-22,False,False,7.0,NEUTRAL,,,1.93,32.2,,,,2026-08-04T06:32:48.907347
THC,Tenet Healthcare Corporation,74.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (2,247,875,072) se aparta del derivado de flujo operativo menos capex (3,005,000,064)",100.0,60.0,62.0,75.0,60.0,80.0,87.5,False,up,141.5,False,0,14.2,False,0,"{'eps_growth_yoy': 141.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.3}","{'revenue_growth_yoy': 14.2, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 87.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 37.3, 'debt_to_equity': 1.52, 'current_ratio': 1.41, 'operating_margin_pct': 18.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 11.0}",249.99,20128946176,Healthcare,Medical Care Facilities,4.3,2.2,False,262.68,-4.8,1.0,False,277.48,309.0,231.0,21.0,strong_buy,11.0,1183.92,373.6,775.8,210.3,11.17,27.92,,,,2.75,True,-8.2,5.7,213.4,84.0,2026-10-27,False,False,6.0,NEUTRAL,10.27,33.4,0.06,76.2,,,,2026-08-04T06:38:37.922958
NUE,Nucor Corporation,74.6,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (669,000,000) se aparta del derivado de flujo operativo menos capex (1,002,000,000)",85.0,70.0,68.0,80.0,60.0,95.0,90.9,False,up,23.2,True,1,12.3,True,1,"{'eps_growth_yoy': 23.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 8.0}","{'revenue_growth_yoy': 12.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 90.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 95}","{'roe_pct': 14.5, 'debt_to_equity': 0.31, 'current_ratio': 2.51, 'operating_margin_pct': 15.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 7.3}",261.28,59504152576,Basic Materials,Steel,2.3,2.2,False,270.9,-3.6,1.0,False,280.31,303.0,231.0,16.0,buy,7.3,124.58,-52.3,375.9,43.9,1.12,2.94,0.87,17.8,2.24,1.41,True,-0.88,23.8,93.8,83.0,2026-10-26,False,False,6.0,NEUTRAL,4.2,11.9,0.15,34.6,,,,2026-08-04T06:37:46.503934
FICO,Fair Isaac Corporation,74.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,,100.0,80.0,36.0,65.0,70.0,15.0,9.7,False,down,53.0,False,0,30.7,False,0,"{'eps_growth_yoy': 53.0, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 34.1}","{'revenue_growth_yoy': 30.7, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 9.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'current_ratio': 1.18, 'operating_margin_pct': 53.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 43.9}",1045.46,22579464192,Technology,Software - Application,12.5,7.5,True,1998.01,-47.7,0.0,False,1504.75,1950.0,707.0,20.0,buy,43.9,1520.61,45.4,1037.7,-0.7,3.43,35.86,,,,0.09,True,-15.92,6.7,41.2,92.0,2026-11-04,False,False,7.0,NEUTRAL,3.35,996.8,0.48,71.1,,,,2026-08-04T06:31:53.336682
TT,Trane Technologies plc,73.8,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,,90.0,80.0,44.0,80.0,60.0,35.0,43.6,False,flat,9.1,True,2,10.6,True,2,"{'eps_growth_yoy': 9.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 13.3}","{'revenue_growth_yoy': 10.6, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 43.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'flat', 'rs_line_score': 35}","{'roe_pct': 36.6, 'debt_to_equity': 0.53, 'current_ratio': 1.07, 'operating_margin_pct': 19.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 13.9}",461.21,101476892672,Industrials,Building Products & Equipment,1.9,3.3,False,505.87,-8.8,0.0,False,525.28,575.0,422.0,21.0,buy,13.9,248.18,-46.2,134.2,-70.9,3.08,14.19,0.92,29.7,4.2,1.19,True,-1.34,18.0,5.0,86.0,2026-10-29,False,False,9.0,STRONG,3.73,102.0,3.73,28.1,,,,2026-08-04T06:34:45.412257
KO,Coca-Cola Company (The),73.4,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (5,218,749,952) se aparta del derivado de flujo operativo menos capex (14,229,999,616)",85.0,70.0,62.0,80.0,60.0,80.0,80.6,False,up,19.7,False,0,7.4,True,2,"{'eps_growth_yoy': 19.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 28.6}","{'revenue_growth_yoy': 7.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 80.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 42.1, 'debt_to_equity': 1.16, 'current_ratio': 1.3, 'operating_margin_pct': 34.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 9.0}",86.86,373719400448,Consumer Defensive,Beverages - Non-Alcoholic,1.1,2.4,False,90.92,-4.5,1.0,False,94.7,104.0,75.0,23.0,buy,9.0,31.5,-63.7,56.28,-35.2,1.4,1.21,2.42,62.5,2.12,2.87,True,-0.25,12.0,16.9,77.0,2026-10-20,False,False,7.0,NEUTRAL,4.37,91.1,1.46,29.6,,,,2026-08-04T06:30:39.634662
BAC,Bank of America Corporation,73.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,,95.0,60.0,70.0,65.0,60.0,100.0,91.2,True,up,20.6,True,1,14.4,False,0,"{'eps_growth_yoy': 20.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 29.5}","{'revenue_growth_yoy': 14.4, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 91.2, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 11.2, 'operating_margin_pct': 38.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 9.9}",62.48,438482599936,Financial Services,Banks - Diversified,0.0,0.0,False,62.99,-0.8,1.0,False,68.68,75.0,62.0,22.0,buy,9.9,76.22,22.0,129.9,107.9,2.88,1.8,2.07,25.9,1.28,2.35,True,-5.74,,34.1,71.0,2026-10-14,False,False,5.0,NEUTRAL,,,0.35,20.3,,,,2026-08-04T06:36:50.897939
JNJ,Johnson & Johnson,73.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,,95.0,60.0,54.0,85.0,60.0,60.0,68.2,False,up,7.4,True,2,5.5,True,1,"{'eps_growth_yoy': 7.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 21.5}","{'revenue_growth_yoy': 5.5, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 68.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': 25.7, 'debt_to_equity': 0.58, 'current_ratio': 1.09, 'operating_margin_pct': 29.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 6.5}",254.41,613102256128,Healthcare,Drug Manufacturers - General,1.3,3.0,False,274.9,-7.5,0.0,False,271.05,305.0,190.0,22.0,buy,6.5,103.1,-59.5,86.1,-66.2,2.75,7.01,2.09,60.8,5.36,2.77,True,-1.32,25.9,-0.9,70.0,2026-10-13,False,False,4.0,NEUTRAL,5.23,136.0,,26.5,,,,2026-08-04T06:36:04.977351
BRK-B,Berkshire Hathaway Inc. New,72.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,False,0.6483,"acciones × precio no cuadra con la capitalización (ratio 0.6483): el dato por acción y el precio no están en la misma unidad — típico de ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables | FCF declarado (61,228,249,088) se aparta del derivado de flujo operativo menos capex (24,577",100.0,60.0,44.0,85.0,60.0,35.0,37.2,False,up,119.6,False,0,10.5,False,0,"{'eps_growth_yoy': 119.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.3}","{'revenue_growth_yoy': 10.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 37.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': 10.5, 'debt_to_equity': 0.18, 'current_ratio': 2.88, 'operating_margin_pct': 14.4}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 2.4}",513.14,1106767904768,Financial Services,Insurance - Diversified,1.0,2.3,False,520.665,-1.4,0.0,False,525.33,585.0,481.0,3.0,buy,2.4,,,,,5.53,43.79,,,,,True,-0.02,14.4,83.7,4.0,2026-08-08,True,False,4.0,NEUTRAL,,,0.2,15.0,,,,2026-08-04T06:33:35.210688
EQIX,"Equinix, Inc.",72.3,⭐⭐⭐ EXCELLENT,🟢 Excellent,USD,USD,False,True,True,1.0,"FCF declarado (3,776,000,000) se aparta del derivado de flujo operativo menos capex (-368,999,872)",90.0,70.0,54.0,70.0,65.0,60.0,59.7,False,down,28.1,False,0,13.3,True,1,"{'eps_growth_yoy': 28.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 15.5}","{'revenue_growth_yoy': 13.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan, 'rs_line_percentile': 59.7, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 60}","{'roe_pct': 10.7, 'debt_to_equity': 1.62, 'current_ratio': 1.13, 'operating_margin_pct': 27.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 18.3}",1031.44,101773918208,Real Estate,REIT - Specialty,2.2,2.8,False,1128.68,-8.6,0.0,False,1220.14,1350.0,1060.0,29.0,buy,18.3,1554.22,50.7,446.11,-56.7,3.71,38.27,2.02,126.8,20.64,1.86,False,,4.0,28.8,85.0,2026-10-28,False,False,6.0,NEUTRAL,1.64,7.8,1.92,33.0,,,,2026-08-04T06:35:09.461764
