ticker,target_mean,reco_mean,analyst_count,snapshots,target_change_1d_pct,reco_change_1d,analyst_count_change_1d,target_change_7d_pct,reco_change_7d,analyst_count_change_7d,target_change_30d_pct,reco_change_30d,analyst_count_change_30d,upgrade_days_14d,downgrade_days_14d
4684.T,5513.3335,1.58333,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KYCCF,,,,,,,,,,,,,,,
VEEV,297.2963,1.96552,27.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24,-0.03,-1.0,1.0,0.0
7741.T,30200.0,1.5,15.0,66.0,0.0,0.0,0.0,0.22,0.0,0.0,-1.37,0.0,0.0,0.0,2.0
GOOG,422.336,1.38333,15.0,7.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.01,0.0,0.0,0.0
RACE,458.06815,1.42857,14.0,66.0,-0.11,0.0,0.0,-1.01,0.0,0.0,-1.43,0.0,0.0,1.0,1.0
DSGX,101.23077,1.57143,13.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0
BLK,1323.3125,1.47059,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THC,284.63635,1.56522,22.0,66.0,0.0,0.0,0.0,-0.33,-0.07,1.0,0.76,-0.07,1.0,0.0,0.0
AME,278.33334,1.75,18.0,66.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.3,0.0,0.0,0.0,0.0
OXY,68.0,2.30769,25.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.03,2.0,2.0,0.0
SAP,251.5,1.625,12.0,66.0,0.0,0.0,0.0,0.47,0.0,0.0,2.51,-0.06,0.0,1.0,0.0
TMO,649.96295,1.51724,27.0,66.0,0.0,0.0,0.0,0.75,0.0,0.0,2.94,0.02,1.0,2.0,0.0
NDSN,349.7143,2.0,7.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
CDNS,403.37964,1.42308,27.0,66.0,0.0,0.0,0.0,0.31,-0.04,-1.0,-0.14,0.02,0.0,0.0,0.0
DHR,230.8261,1.5,23.0,66.0,0.0,0.0,0.0,0.76,0.0,0.0,1.26,0.0,0.0,1.0,0.0
ODFL,228.78261,2.44,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTAS,218.25,2.2,16.0,66.0,0.14,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,1.0,0.0
HHH,89.66667,2.0,3.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
NDAQ,109.66667,1.76471,15.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.0,0.0,0.0,0.0
TT,526.99146,2.0,21.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,666.7138,1.425,37.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,-0.05,0.0,0.0,0.0
EQIX,1233.4839,1.5,31.0,66.0,0.0,0.0,0.0,0.02,0.02,1.0,-0.09,0.03,2.0,0.0,0.0
KO,94.69565,1.75,23.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDXX,698.9231,2.21429,13.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
META,786.8021,1.33871,57.0,7.0,2.15,0.0,1.0,4.17,0.0,1.0,4.17,0.0,1.0,2.0,0.0
COF,258.7619,1.56522,21.0,66.0,0.0,0.0,0.0,0.19,-0.02,-1.0,0.54,-0.02,-1.0,0.0,0.0
HEI,394.45,1.95833,20.0,66.0,0.0,0.0,0.0,0.13,0.0,0.0,1.33,-0.09,1.0,0.0,1.0
V,419.36163,1.45,37.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,-0.07,1.0,0.0,0.0
6383.T,7540.7144,1.64286,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANH,220.7,1.54545,10.0,7.0,0.0,0.0,0.0,1.38,0.0,0.0,1.38,0.0,0.0,1.0,0.0
UNH,481.72,1.57692,25.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,-0.02,-1.0,1.0,0.0
UNP,329.33334,1.72,24.0,7.0,-0.16,0.0,0.0,-0.34,0.0,0.0,-0.34,0.0,0.0,0.0,0.0
AMZN,329.5393,1.32203,57.0,7.0,0.0,0.0,0.0,0.4,-0.01,-2.0,0.4,-0.01,-2.0,0.0,0.0
FAST,48.83846,2.72222,13.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,1.0,0.0
ADSK,308.65912,1.52778,34.0,7.0,0.0,0.0,0.0,-1.35,-0.01,-1.0,-1.35,-0.01,-1.0,0.0,1.0
MCO,561.9048,1.70833,21.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.04,0.0,0.0,0.0
ORCL,237.97415,1.60465,41.0,7.0,0.0,0.0,0.0,-0.43,0.0,0.0,-0.43,0.0,0.0,0.0,0.0
ALLY,53.67222,1.5,18.0,66.0,-0.08,0.0,0.0,-0.19,0.08,0.0,-0.05,0.17,1.0,0.0,0.0
ICE,187.2857,1.46667,14.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0
MTD,1457.5,2.6,14.0,66.0,0.0,0.0,0.0,0.34,0.0,0.0,-0.78,,3.0,0.0,0.0
CNI,136.95465,0.0,13.0,66.0,-0.33,2.23,0.0,-1.32,2.23,0.0,-2.15,2.27,0.0,0.0,1.0
SYK,369.0,1.67857,25.0,66.0,0.0,0.0,0.0,-1.57,0.0,0.0,-3.58,0.0,0.0,0.0,2.0
PAYX,117.28571,3.0,14.0,66.0,0.0,0.0,0.0,-3.07,0.05,0.0,5.32,0.22,0.0,4.0,1.0
SHW,390.0,2.0,22.0,66.0,0.0,0.0,0.0,-0.26,0.0,0.0,-0.15,0.0,1.0,0.0,0.0
GGG,91.28571,2.6,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMT,637.8421,2.42857,19.0,7.0,0.0,0.0,0.0,-0.37,0.0,1.0,-0.37,0.0,1.0,0.0,0.0
JNJ,277.9091,1.91304,22.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,1.0,0.0
COST,1069.2,1.94872,35.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,,0.0,0.0,0.0
ASAZY,21.7435,,1.0,66.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
VLTO,114.78571,1.875,14.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.07,-1.0,1.0,0.0
MSI,526.9091,1.64286,11.0,66.0,0.0,0.0,0.0,0.02,0.0,0.0,0.8,0.0,0.0,0.0,0.0
NYT,79.0,1.7,9.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.2,0.0,1.0,0.0
FHN,27.97619,2.38095,21.0,66.0,-0.17,0.0,0.0,-0.25,-0.03,0.0,-0.46,-0.07,2.0,0.0,1.0
HRI,189.08333,1.81818,12.0,66.0,0.89,0.0,0.0,0.89,0.0,0.0,1.34,0.09,0.0,1.0,0.0
ATLKY,26.0,,1.0,66.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
WTKWY,108.6,1.0,1.0,66.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
BAC,68.61905,1.5,21.0,66.0,-0.28,0.0,0.0,-0.35,0.04,0.0,-0.22,0.04,-1.0,0.0,0.0
GWW,1332.5714,2.78947,14.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FICO,1434.8932,2.0,19.0,66.0,0.0,0.0,0.0,-0.37,0.0,0.0,-2.81,-0.1,0.0,0.0,1.0
PSA,336.5,2.5,18.0,7.0,0.0,0.0,0.0,-0.31,0.0,0.0,-0.31,0.0,0.0,0.0,0.0
DOL.TO,207.4706,1.94118,17.0,7.0,0.0,0.0,0.0,-0.23,0.0,0.0,-0.23,0.0,0.0,0.0,0.0
TW,123.64286,2.2,14.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0
CSU.TO,4026.5217,1.5,12.0,66.0,0.33,0.0,0.0,1.23,0.0,0.0,2.21,0.08,0.0,0.0,0.0
BRO,76.5,2.78947,16.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0
ITW,302.5,3.1875,14.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.06,0.0,0.0,0.0
ISRG,476.34482,1.78125,29.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,0.04,-1.0,0.0,0.0
DBOEY,34.401093,1.0,1.0,66.0,-0.11,0.0,0.0,0.55,,0.0,-3.18,,0.0,1.0,1.0
FDS,270.0,3.22222,16.0,66.0,0.0,0.0,0.0,1.22,0.0,0.0,5.86,0.11,0.0,3.0,0.0
SPGI,520.3,1.33333,20.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0
FCNCA,2339.3845,2.69231,13.0,66.0,0.0,0.0,0.0,0.16,0.0,0.0,-0.14,-0.03,1.0,0.0,0.0
FERG,287.4762,1.86364,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADP,287.6,2.72222,15.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0
UBER,100.77319,1.56863,47.0,66.0,0.0,0.0,0.0,-0.46,0.01,1.0,-0.99,-0.05,1.0,0.0,1.0
CLPBY,8.3325,2.5,4.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0
ECL,324.9524,1.54167,21.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWK,141.45454,2.61538,11.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,1.0,0.0
BR,213.375,2.33333,8.0,66.0,0.0,0.0,0.0,0.0,,0.0,0.06,-0.11,0.0,0.0,0.0
RMD,247.5625,2.36842,16.0,7.0,0.0,0.0,0.0,0.46,0.05,0.0,0.46,0.05,0.0,0.0,0.0
ETN,479.5708,1.51852,25.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.04,0.0,1.0,0.0
BSX,61.0,1.64516,29.0,7.0,0.0,0.0,0.0,-1.61,-0.06,0.0,-1.61,-0.06,0.0,0.0,1.0
NOW,144.99261,1.42857,46.0,66.0,0.0,0.0,0.0,0.8,0.0,0.0,1.94,0.0,0.0,1.0,0.0
ORLY,107.8,1.53571,25.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROL,44.52941,2.57895,17.0,66.0,-0.66,0.0,0.0,-2.32,-0.05,0.0,-2.32,-0.05,0.0,0.0,2.0
VRSN,324.4,2.0,5.0,66.0,0.0,0.0,0.0,0.0,-0.2,0.0,2.01,,0.0,1.0,0.0
WCN,202.04,1.42857,25.0,66.0,0.0,0.0,0.0,0.48,0.07,0.0,0.72,0.07,0.0,0.0,0.0
AXP,378.53708,2.17241,24.0,66.0,0.0,0.0,0.0,0.69,0.13,-1.0,0.69,0.13,-1.0,1.0,0.0
MLM,652.7083,1.83333,24.0,7.0,-0.71,0.0,0.0,-0.82,0.04,0.0,-0.82,0.04,0.0,0.0,1.0
AZO,3715.6956,1.48148,23.0,66.0,0.0,0.0,0.0,-4.79,0.0,0.0,-5.94,0.0,0.0,0.0,3.0
PGR,231.38095,2.6,21.0,66.0,0.0,0.04,0.0,-0.14,0.04,0.0,0.25,0.04,0.0,0.0,0.0
SBGSY,79.46667,1.33333,3.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,,0.0,1.0,0.0
YUM,172.88696,2.07407,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSG,245.91667,2.0,24.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSCI,692.05884,1.5,17.0,66.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
HD,377.1875,1.94444,32.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QSR,86.04,1.85714,25.0,66.0,0.0,0.0,0.0,0.05,0.0,0.0,0.45,0.03,2.0,0.0,0.0
MCD,299.8,2.08571,30.0,66.0,-2.12,0.0,0.0,-4.17,0.0,-1.0,-5.15,-0.03,-1.0,0.0,3.0
ROP,445.2,2.4,15.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYL,426.63635,1.54545,22.0,66.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
SGSOY,14.0,,1.0,7.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
CME,283.6,2.625,15.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,-0.06,0.0,0.0,0.0
TJX,169.8,,20.0,66.0,0.0,,0.0,0.0,,0.0,-1.74,,0.0,0.0,0.0
BN,54.4,1.81818,10.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPZ,377.0,2.16129,28.0,66.0,0.0,0.0,0.0,-1.08,0.0,0.0,-0.86,-0.06,0.0,0.0,1.0
CB,365.91302,2.44,23.0,66.0,0.0,0.0,0.0,0.0,0.04,0.0,-0.06,0.04,0.0,0.0,0.0
CP,99.00105,1.8,13.0,66.0,-0.35,0.0,0.0,-1.18,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
HLT,353.0,1.96429,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRH,133.18124,1.30435,24.0,7.0,-0.87,0.0,0.0,-1.24,0.0,0.0,-1.24,0.0,0.0,0.0,1.0
ATO,185.54546,2.64286,11.0,7.0,0.0,0.0,0.0,-0.54,0.07,0.0,-0.54,0.07,0.0,0.0,1.0
WM,259.92,1.75,25.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POOL,217.0,2.4,12.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.53,-0.04,1.0,0.0,1.0
STZ,165.47826,2.04167,23.0,66.0,0.0,0.0,0.0,-1.88,0.0,0.0,-3.13,,0.0,0.0,4.0
CPRT,38.7,2.25,10.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.97,-0.02,0.0,0.0,3.0
LIN,542.6,1.67857,25.0,66.0,0.0,0.0,0.0,-0.33,0.0,0.0,-0.85,0.03,0.0,0.0,0.0
KVUE,19.5,2.78571,12.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVA,219.85715,2.375,7.0,66.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.65,0.0,0.0,1.0,0.0
OTIS,88.25,2.15385,12.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,-0.01,0.0,0.0,0.0
PEP,153.86365,2.625,22.0,66.0,0.8,0.0,0.0,-0.73,0.04,0.0,-0.73,0.04,0.0,1.0,1.0
INTU,405.6,2.05882,31.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75,-0.2,-2.0,0.0,0.0
RELX,53.05,,2.0,66.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
AJG,289.66666,1.72727,18.0,66.0,-0.19,0.0,0.0,-0.55,0.0,0.0,-0.65,0.0,0.0,0.0,0.0
ERIE,,,,,,,,,,,,,,,
MRSH,207.09525,2.52174,21.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
CHD,105.10526,2.2381,19.0,66.0,0.0,0.0,0.0,-0.25,0.0,0.0,-0.25,0.0,0.0,0.0,0.0
MKC,60.07692,2.26667,13.0,66.0,0.0,0.0,0.0,-0.26,0.0,0.0,-0.89,-0.13,0.0,0.0,1.0
IT,185.15385,,13.0,66.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
PG,160.6087,2.2,23.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRSK,234.76471,2.05263,17.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.24,0.0,0.0,0.0,1.0
ZTS,96.0,,15.0,65.0,0.0,,0.0,0.0,,0.0,-4.6,,-1.0,0.0,0.0
JKHY,190.23529,1.78947,17.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.08,2.0,0.0,1.0
AON,383.8421,2.14286,19.0,66.0,0.0,0.0,0.0,0.75,0.11,1.0,-5.0,-0.1,0.0,1.0,1.0
GVDNY,84.38774,,2.0,66.0,-0.59,,0.0,-0.72,,0.0,-3.09,,0.0,0.0,2.0
EFX,214.38095,1.66667,21.0,7.0,0.0,0.0,0.0,-0.27,0.0,0.0,-0.27,0.0,0.0,0.0,0.0
HESAY,215.33333,,3.0,66.0,-5.42,,0.0,-5.42,,0.0,-6.51,,0.0,0.0,1.0
LRLCY,103.06667,,3.0,66.0,0.0,,0.0,0.0,,0.0,3.34,,0.0,0.0,0.0
NVR,6717.8,2.66667,5.0,66.0,0.0,0.0,0.0,-0.95,0.0,0.0,-0.95,0.0,0.0,0.0,1.0
ESLOY,143.5,,2.0,66.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
SXYAY,25.65,,2.0,66.0,0.0,,0.0,0.0,,0.0,4.06,,0.0,0.0,0.0
ABT,120.2636,1.51852,25.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.0,0.0,0.0
KHC,25.47222,3.05,18.0,66.0,0.0,0.0,0.0,1.53,0.06,1.0,1.53,0.06,1.0,1.0,0.0
TEVA,44.0,1.5,5.0,66.0,0.0,0.0,0.0,4.76,0.5,4.0,6.28,0.0,-5.0,3.0,2.0
WMT,127.425,1.53488,40.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.78,0.05,0.0,0.0,0.0
VCISY,38.82618,,3.0,7.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
CL,98.8,2.04762,20.0,66.0,0.0,0.0,0.0,-0.15,0.0,0.0,-0.15,0.0,0.0,0.0,0.0
LEN,80.07692,3.42105,13.0,66.0,0.0,0.0,0.0,-5.71,0.0,0.0,-7.14,0.02,0.0,0.0,3.0
KR,67.90909,2.08333,22.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.68,0.0,0.0,0.0,3.0
LPX,92.07143,1.57143,14.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,,1.0,0.0,0.0
GPK,12.4,3.0,11.0,64.0,0.0,0.08,0.0,-0.73,0.08,0.0,-1.45,0.08,0.0,0.0,2.0
TLC.AX,5.65467,2.375,15.0,7.0,-0.12,0.0,0.0,-0.12,0.0,0.0,-0.12,0.0,0.0,0.0,0.0
CHTR,179.10526,3.0,19.0,66.0,0.0,0.0,0.0,0.0,0.05,0.0,-2.88,-0.05,2.0,0.0,1.0
KD,14.2,,5.0,66.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
