Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker,Insider Activity
Chipotle Mexican Grill,Consumer Cyclical,Restaurants,USA,NYSE,S&P 500,43.70,1.14,0.77%,1.35B,-2.09%,67.00B,34.62,1.44,-1.73%,1.34B,-1.82%,1.56B,2.90,0.33,89.18%,2.34%,-5.71%,11.49B,5.83,8.51%,0.67%,2.27,-19.80%,2.59,19.23,18.19%,17.89%,31.30M,-21.10%,1.05,47.36,15.07%,45.57%,44.46,69.26,-17.53%,-,45.05,35.11%,19.92%,-28.20%,1.06,-,1.48,15.32%,23.42%,11.85%,1.28,-,1.52,21.42%,17.66%,44.53,1.05%,1.73%,130504,1.33,12.57%,13.59%,1.69,58.57,Yes / Yes,1.25,9.23%,0.00%,0.57,50.07,-2.35%,4.69%,6.42%,Apr 23 AMC,13.79M,49.73,-2.47%,-0.60%,-10.48%,"

","7,993,804",-0.68%,CMG,-0.0173
"Cadence Design Systems, Inc",Technology,Software - Application,USA,NASD,"NDX, S&P 500",72.05,3.95,0.64%,273.04M,-10.41%,77.68B,36.63,7.77,-8.13%,271.30M,-5.86%,1.08B,5.06,1.58,88.59%,1.50%,14.46%,4.87B,15.94,13.38%,-0.43%,1.75,-8.78%,17.49,16.26,14.75%,14.68%,4.08M,-3.32%,10.17,27.97,14.23%,25.92%,221.56,328.99,-5.31%,-,56.36,1.80%,14.91%,-13.52%,0.98,-,2.90,14.74%,85.16%,28.41%,10.63,-,3.07,2.35%,30.60%,39.52,5.96%,2.86%,12700,0.52,19.55%,22.19%,1.67,326.64,Yes / Yes,0.52,10.44%,0.00%,2.77,288.61,0.20%,5.28%,23.12%,Apr 28 AMC,2.33M,284.50,-8.54%,0.89%,0.76%,"

","6,282,229",-1.42%,CDNS,-0.08130000000000001
Stryker Corp,Healthcare,Medical Devices,USA,NYSE,S&P 500,51.60,7.41,6.46%,382.10M,0.68%,146.12B,25.77,14.84,-1.61%,357.49M,3.08%,2.86B,4.76,3.07,80.47%,1.68%,-1.68%,23.22B,6.29,9.52%,0.98%,3.68,-0.65%,54.78,6.98,11.15%,6.69%,5.99M,13.95%,6.30,60.66,10.85%,14.26%,314.93,406.19,6.19%,3.21 (0.84%),40.85,7.20%,8.00%,-5.87%,0.92,3.28 (0.86%),1.00,8.96%,61.73%,21.41%,8.03,"Jun 30, 2025",1.64,-15.22%,22.19%,53.54,1.23%,1.15%,53000,0.83,10.76%,12.31%,1.76,431.00,Yes / Yes,0.71,-17.28%,41.74%,0.51,380.39,3.07%,4.63%,11.88%,May 01 AMC,1.63M,382.35,-0.33%,3.34%,3.13%,"

","840,283",0.52%,SYK,-0.0161
Bank Of America Corp,Financial,Banks - Diversified,USA,NYSE,S&P 500,13.21,3.35,0.20%,7.56B,2.29%,333.21B,10.41,4.25,0.00%,7.52B,10.63%,26.35B,0.91,0.90,74.87%,1.28%,0.27%,198.36B,1.68,13.76%,-1.39%,1.96,-5.87%,36.39,1.22,16.36%,0.84%,96.37M,11.44%,-,-,14.52%,9.46%,33.06,48.08,0.66%,1.08 (2.45%),9.17,3.14%,4.46%,-7.99%,1.31,1.02 (2.31%),-,13.55%,-,33.80%,1.02,"Jun 06, 2025",0.96,16.15%,15.34%,63.34,1.25%,1.46%,213000,2.47,8.23%,13.28%,1.42,49.28,Yes / Yes,1.00,17.61%,31.12%,0.57,44.06,1.45%,10.20%,-1.16%,Apr 15 BMO,49.23M,44.24,2.80%,8.46%,3.74%,"

","28,553,008",0.41%,BAC,0.0
Autodesk Inc,Technology,Software - Application,USA,NASD,"NDX, S&P 500",63.69,4.66,0.27%,213.94M,1.39%,63.54B,26.81,11.08,-0.70%,213.37M,8.84%,1.01B,4.41,2.45,90.86%,1.46%,5.19%,6.33B,10.03,13.77%,-1.50%,1.89,-7.55%,12.25,24.25,14.98%,9.91%,3.12M,38.21%,9.54,31.15,14.44%,42.36%,195.32,326.62,0.48%,-,38.84,39.67%,21.07%,-9.07%,1.46,-,0.68,13.44%,89.70%,52.06%,6.47,"Mar 22, 2005",0.65,1.23%,22.50%,63.46,1.07%,1.10%,15300,0.97,13.03%,15.98%,1.73,339.00,Yes / Yes,0.84,-39.72%,0.00%,0.75,299.23,1.64%,6.65%,15.65%,May 22 AMC,1.66M,297.00,1.99%,8.27%,5.46%,"

","1,250,690",-0.75%,ADSK,-0.006999999999999999
Alphabet Inc,Communication Services,Internet Content & Information,USA,NASD,"NDX, S&P 500",19.17,8.97,52.17%,5.83B,1.96%,2091.53B,16.92,10.16,-0.01%,5.80B,7.31%,111.00B,1.48,2.16,38.29%,1.28%,1.99%,359.31B,5.82,18.97%,-3.14%,1.87,4.31%,28.41,6.05,6.19%,25.15%,74.30M,-1.79%,7.83,21.94,12.91%,34.79%,140.53,207.05,-9.21%,0.52 (0.30%),27.93,26.76%,30.02%,-17.00%,1.01,0.80 (0.47%),1.77,17.30%,58.54%,22.29%,5.27,"Jun 09, 2025",1.77,37.73%,32.60%,60.79,1.72%,2.45%,183323,0.08,13.02%,30.89%,1.42,199.56,Yes / Yes,0.07,48.77%,7.46%,0.73,172.36,1.15%,38.81%,11.81%,Apr 24 AMC,39.76M,171.86,4.79%,7.53%,0.42%,"

","29,373,804",-0.29%,GOOGL,-0.0001
A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,18.10,3.58,19.59%,118.45M,-3.56%,9.20B,15.47,4.19,-0.02%,114.27M,-3.42%,522.60M,2.97,0.98,80.42%,4.45%,-1.84%,3.80B,2.42,1.30%,0.64%,3.33,-11.86%,12.85,5.04,10.77%,16.20%,5.09M,-23.65%,1.41,45.95,6.10%,27.97%,58.83,92.44,-5.10%,1.35 (2.09%),22.62,10.33%,24.42%,-29.98%,1.21,1.34 (2.07%),1.01,5.36%,38.00%,10.03%,1.74,"Apr 30, 2025",1.61,-7.12%,18.56%,41.92,3.87%,2.20%,12700,0.16,-1.60%,13.74%,2.50,74.80,Yes / Yes,0.15,-4.96%,35.83%,1.33,64.23,1.21%,4.26%,-1.52%,Apr 29 BMO,1.53M,64.73,-5.01%,-2.05%,-10.56%,"

","2,027,659",0.78%,AOS,-0.0002
Ansys Inc,Technology,Software - Application,USA,NASD,"NDX, S&P 500",48.80,6.74,0.37%,87.91M,-4.16%,28.90B,25.38,12.95,-0.12%,87.59M,2.79%,592.78M,6.98,2.61,90.94%,1.95%,-0.49%,2.58B,11.19,6.46%,-0.64%,2.64,-6.07%,70.29,4.68,11.52%,7.84%,1.71M,-0.72%,20.80,15.81,6.99%,10.23%,275.06,363.03,-2.55%,-,33.34,4.51%,8.45%,-9.45%,1.19,-,3.66,10.93%,88.11%,19.52%,8.58,-,3.66,35.52%,30.07%,46.54,3.03%,1.87%,6500,0.14,15.98%,22.95%,3.15,346.00,Yes / Yes,0.14,48.54%,0.00%,2.30,329.93,-3.91%,-4.93%,8.21%,Apr 30 AMC,646.28K,328.74,-2.54%,2.24%,-0.26%,"

","1,455,541",-0.36%,ANSS,-0.0012
Otis Worldwide Corp,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,24.96,3.81,0.14%,395.50M,-2.53%,37.56B,21.19,4.49,-19.90%,394.14M,0.27%,1.53B,2.67,1.02,92.60%,1.54%,-2.99%,14.17B,2.65,5.13%,-2.03%,2.05,-5.97%,-12.97,-,11.52%,14.64%,6.07M,-2.47%,4.89,19.47,9.33%,-,89.70,106.83,2.75%,1.66 (1.75%),25.85,9.56%,72.61%,-10.92%,0.98,1.59 (1.67%),0.87,1.85%,30.22%,6.09%,1.64,"May 16, 2025",0.94,9.98%,13.76%,42.16,1.03%,0.94%,72000,-,-0.88%,10.83%,2.82,99.42,Yes / Yes,-,-29.61%,37.12%,0.71,95.16,-0.79%,2.66%,-2.53%,Apr 23 BMO,2.96M,95.16,-2.02%,-2.69%,-2.73%,"

","2,121,617",0.00%,OTIS,-0.19899999999999998
Colgate-Palmolive Co,Consumer Defensive,Household & Personal Products,USA,NYSE,S&P 500,26.13,3.53,0.16%,810.42M,0.69%,74.80B,23.52,3.92,-0.78%,809.14M,-0.03%,2.90B,4.77,0.90,85.50%,1.50%,2.33%,19.95B,3.75,1.59%,0.19%,2.15,-2.76%,0.45,206.06,7.28%,17.44%,12.13M,-1.07%,1.62,57.06,5.48%,977.07%,85.32,109.30,1.53%,2.08 (2.25%),21.58,5.01%,41.78%,-15.55%,0.38,2.02 (2.19%),0.54,5.09%,60.73%,8.18%,1.75,"Apr 17, 2025",0.85,12.12%,22.30%,53.80,1.11%,1.05%,34000,22.78,0.98%,14.52%,2.13,100.00,Yes / Yes,18.10,2.37%,56.42%,0.83,91.76,0.92%,6.32%,-3.04%,Apr 25 BMO,5.65M,92.30,1.69%,0.50%,-2.36%,"

","4,718,649",0.59%,CL,-0.0078000000000000005
Corteva Inc,Basic Materials,Agricultural Inputs,USA,NYSE,S&P 500,42.50,1.64,0.19%,683.03M,1.09%,47.55B,19.85,3.51,-9.03%,680.88M,12.80%,1.14B,2.65,1.85,86.32%,1.09%,10.97%,16.83B,2.83,16.15%,-2.99%,2.07,13.85%,35.56,1.96,17.64%,2.66%,7.42M,25.58%,3.37,20.71,16.03%,4.66%,50.01,70.71,22.38%,0.71 (1.01%),22.62,-,4.37%,-1.41%,0.74,0.67 (0.96%),1.00,4.23%,40.88%,39.39%,1.29,"Jun 02, 2025",1.44,108.45%,13.46%,71.24,1.20%,1.61%,22000,0.17,-0.01%,6.77%,1.69,72.76,Yes / Yes,0.07,59.28%,50.64%,0.88,70.32,-2.70%,29.25%,-1.67%,May 07 AMC,3.58M,69.71,3.89%,10.27%,15.73%,"

","3,173,078",-0.87%,CTVA,-0.09029999999999999
Roper Technologies Inc,Technology,Software - Application,USA,NASD,"NDX, S&P 500",40.70,13.86,0.37%,107.52M,-1.49%,60.67B,26.07,21.64,-2.31%,107.11M,1.46%,1.50B,4.40,4.83,94.78%,1.63%,-1.44%,7.24B,8.38,8.98%,-0.98%,2.82,0.74%,178.80,3.16,8.46%,4.88%,1.74M,3.60%,3.47,162.74,9.26%,8.09%,499.47,595.17,8.54%,2.74 (0.48%),26.10,-3.13%,5.83%,-5.19%,1.03,3.15 (0.56%),0.43,6.02%,68.92%,12.97%,10.20,"Apr 04, 2025",0.46,1.98%,28.19%,46.47,0.96%,0.98%,18200,0.39,13.34%,20.69%,2.05,646.85,Yes / Yes,0.34,-13.56%,21.44%,1.27,569.13,0.06%,0.93%,12.02%,Apr 28 BMO,617.98K,564.27,-1.31%,-0.50%,1.52%,"

","782,005",-0.85%,ROP,-0.0231
Emerson Electric Co,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,28.62,4.19,0.30%,562.50M,3.25%,67.45B,18.57,6.46,-2.81%,560.84M,14.11%,2.40B,3.42,1.50,82.46%,2.15%,-0.07%,17.60B,3.83,8.86%,0.47%,3.63,-7.80%,34.22,3.50,8.04%,4.46%,12.08M,5.73%,3.35,35.75,8.38%,9.82%,90.06,134.85,-3.24%,2.13 (1.77%),24.42,-1.60%,8.58%,-11.07%,1.27,2.11 (1.76%),0.59,0.18%,47.13%,33.16%,3.06,"May 16, 2025",0.80,24.14%,18.29%,63.03,1.38%,1.79%,73000,0.78,6.49%,13.61%,1.77,135.84,Yes / Yes,0.45,-1.71%,61.25%,0.59,119.74,1.02%,4.80%,1.23%,May 07 BMO,3.33M,119.92,3.48%,9.71%,3.93%,"

","1,990,244",0.15%,EMR,-0.0281
"Costar Group, Inc",Real Estate,Real Estate Services,USA,NASD,"NDX, S&P 500",257.72,0.29,1.42%,423.16M,0.15%,31.25B,55.07,1.35,-0.14%,415.88M,-10.44%,117.20M,7.51,0.14,102.63%,4.14%,-0.39%,2.81B,11.11,0.37%,6.30%,4.93,-7.19%,20.22,3.66,66.70%,1.20%,17.23M,-13.80%,9.63,7.69,34.30%,1.47%,68.26,83.68,3.46%,-,140.89,-16.93%,1.22%,-11.48%,0.88,-,6.01,14.38%,77.53%,8.52%,1.89,-,6.01,-60.22%,-0.21%,42.38,0.59%,1.54%,6593,0.13,11.27%,4.17%,1.81,87.33,Yes / Yes,0.13,-319.51%,0.00%,0.61,74.24,2.15%,17.61%,11.55%,Apr 29 AMC,3.49M,74.07,-1.87%,-4.51%,-2.76%,"

","2,135,685",-0.23%,CSGP,-0.0014000000000000002
Hubbell Inc,Industrials,Electrical Equipment & Parts,USA,NYSE,S&P 500,26.85,14.79,0.42%,53.37M,3.94%,21.19B,20.79,19.09,-3.79%,53.15M,10.42%,798.20M,4.16,4.45,94.18%,4.96%,7.49%,5.59B,3.79,5.14%,-1.24%,3.70,-13.86%,61.11,6.50,9.58%,11.58%,2.64M,-3.89%,6.75,58.80,6.45%,25.78%,299.42,481.35,-5.24%,5.31 (1.34%),27.50,14.51%,18.05%,-17.54%,0.99,5.18 (1.30%),0.73,5.09%,34.21%,32.57%,10.30,"May 30, 2025",1.17,10.22%,19.97%,65.48,1.24%,2.31%,17700,0.62,1.97%,14.27%,2.33,421.40,Yes / Yes,0.36,15.27%,34.64%,0.74,395.22,-1.34%,-5.35%,-2.42%,May 01 BMO,712.49K,396.94,5.47%,11.59%,-1.17%,"

","528,875",0.44%,HUBB,-0.0379
Baidu Inc ADR,Communication Services,Internet Content & Information,China,NASD,-,8.37,10.09,0.01%,279.90M,-1.28%,23.62B,8.05,10.48,0.00%,279.88M,-5.67%,3.52B,3.80,2.22,27.48%,3.01%,-4.38%,18.57B,1.27,-11.39%,4.43%,1.80,5.05%,107.68,0.78,10.87%,5.87%,8.44M,-15.85%,69.96,1.21,2.20%,9.85%,74.71,116.25,0.09%,-,-,61.95%,7.30%,-27.41%,0.33,-,2.29,4.04%,49.06%,12.96%,2.76,-,2.29,32.92%,15.14%,42.28,0.98%,2.29%,41300,0.38,-1.33%,18.97%,1.84,101.69,Yes / Yes,0.30,42.66%,0.00%,0.69,83.19,4.68%,29.07%,1.73%,May 21 BMO,4.68M,84.39,-3.96%,-4.31%,-5.36%,"

","3,245,785",1.44%,BIDU,0.0
Chemed Corp,Healthcare,Medical Care Facilities,USA,NYSE,-,27.92,20.53,1.87%,14.57M,0.34%,8.39B,20.82,27.53,-3.08%,14.36M,-0.31%,308.74M,3.69,6.04,95.11%,2.39%,-2.21%,2.49B,3.37,9.30%,-1.20%,2.58,0.39%,81.09,7.07,8.90%,17.88%,0.34M,3.21%,11.89,48.23,7.56%,26.11%,512.12,623.60,8.19%,2.05 (0.36%),26.62,8.37%,24.05%,-8.08%,0.54,2.00 (0.35%),1.70,4.68%,32.28%,11.92%,12.46,"May 29, 2025",1.73,10.36%,15.63%,49.49,1.54%,1.35%,15695,0.12,8.52%,12.40%,1.25,677.33,Yes / Yes,0.09,14.66%,9.05%,0.46,573.01,0.80%,1.50%,9.79%,Apr 23 AMC,133.21K,573.19,0.27%,-1.74%,0.42%,"

","62,410",0.03%,CHE,-0.0308
Wheaton Precious Metals Corp,Basic Materials,Gold,Canada,NYSE,-,63.16,1.36,0.12%,453.81M,0.93%,39.06B,38.14,2.26,0.00%,453.29M,5.17%,619.08M,3.31,0.52,65.71%,0.85%,26.48%,1.46B,26.78,55.15%,-3.55%,1.87,34.87%,16.45,5.23,3.14%,8.30%,3.87M,52.56%,2.39,35.98,19.11%,8.51%,51.96,87.42,53.02%,0.67 (0.78%),43.37,43.30%,8.28%,-1.56%,0.45,0.64 (0.74%),11.38,9.47%,65.06%,65.63%,2.49,"May 28, 2025",11.38,4.73%,59.81%,59.14,1.55%,2.96%,44,0.00,32.76%,42.45%,1.33,94.68,Yes / Yes,0.00,54.56%,53.17%,0.47,86.17,9.66%,6.94%,58.49%,May 08 AMC,2.07M,86.06,4.12%,7.24%,28.17%,"

","976,324",-0.13%,WPM,0.0
Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,NASD,NDX,171.92,0.75,0.45%,1.06B,-1.80%,135.40B,53.84,2.38,0.00%,1.05B,14.73%,792.00M,7.85,0.35,6.79%,1.60%,-1.72%,4.01B,33.79,9.42%,17.69%,3.06,-5.80%,6.47,19.80,33.41%,9.40%,16.87M,11.74%,2.67,47.93,21.90%,13.05%,80.00,188.75,3.84%,-,760.68,18.47%,11.07%,-32.13%,4.15,-,5.20,19.27%,94.70%,60.13%,6.30,-,5.20,156.53%,20.74%,54.25,4.57%,3.60%,8330,0.05,23.94%,19.77%,1.92,139.94,Yes / Yes,0.05,-6.10%,0.00%,1.36,135.54,0.54%,4.86%,33.73%,May 07 AMC,5.51M,128.10,0.82%,11.38%,-4.25%,"

","7,438,789",-5.49%,ARM,0.0
