ticker,vcp_score,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
G24.DE,0.0,74.8,Scout24 SE                    N,54.0,Communication Services,Internet Content & Information,60.0,50.0,30.0,70.0,70.0,71.0,5020798976.0,,,,,,,0.0,,,0.0,,,False,122.8,-42.2,1.0,False,"{'roe_pct': 16.5, 'debt_to_equity': 0.13, 'current_ratio': 0.38, 'operating_margin_pct': 31.7}",{'profit_margin_pct': 35.9},103.44,134.0,80.0,16.0,buy,45.7,175.94,147.8,99.9,40.7,5.84,4.15,2.22,39.6,1.54,,,19.7,31.6,0.0,2026-04-29,True,False,6.0,NEUTRAL,5.74,635.9,0.49,,,,,,3.6000000000000014,0.0,22.4,16.2,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",HIGH_FLOAT,69.5,25.0,38.6,,,,,0.0,,0.0,,0.0,0.0,7,22.0,72.7,Medio,30.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,62.940000000000005,5.0,6.0,3.0,0.0,5.0,,,0.0,0.0,0.0,5.71,3.0,2.0,7,0,,0,MIXED/INSUFFICIENT (0),,0.0,0.0,⭐ GOOD,🟡 Good,,,,,,,
GVDNY,0.0,75.4,Givaudan SA,52.3,Basic Materials,Specialty Chemicals,55.0,50.0,24.0,80.0,65.0,70.86,32699043840.0,15.0,0.0,False,down,,,0.0,,,0.0,,,False,103.39,-31.5,0.0,False,"{'roe_pct': 23.4, 'debt_to_equity': 0.97, 'current_ratio': 1.74, 'operating_margin_pct': 16.9}",{'profit_margin_pct': 14.3},88.45,103.53,73.36,2.0,buy,24.8,36.06,-49.1,29.3,-58.7,3.46,2.45,2.58,60.4,1.85,,,,-2.4,85.0,2026-07-23,False,False,7.0,NEUTRAL,32.53,34.8,,,,,,,3.299999999999997,0.0,22.6,15.7,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 49% up volume)",MICRO_FLOAT,9.2,25.0,38.3,15.0,False,down,0.0,0.0,,0.0,,0.0,0.0,11,22.0,54.5,Medio,23.4,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,58.89000000000001,0.0,3.0,3.0,0.0,0.0,,,0.0,0.0,0.0,3.1,3.0,5.0,37,0,,0,MIXED/INSUFFICIENT (0),BEST,8.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
LSEG.L,0.0,98.0,LONDON STOCK EXCHANGE GROUP PLC,58.1,Financial Services,Financial Data & Stock Exchanges,55.0,50.0,60.5,70.0,65.0,9756.0,48061636608.0,,,,,,,0.0,,,0.0,,,False,11810.0,-17.4,4.0,False,"{'roe_pct': 6.4, 'debt_to_equity': 0.53, 'current_ratio': 1.0, 'operating_margin_pct': 24.9}",{'profit_margin_pct': 13.4},12281.65,13750.0,11000.0,17.0,strong_buy,25.9,17678.0,81.2,7110.0,-27.1,4.27,4.17,1.53,57.4,1.24,,,,80.4,92.0,2026-07-30,False,False,7.0,NEUTRAL,3.87,305.7,0.23,,,,,,21.799999999999997,0.0,29.4,17.4,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,95,"Strong institutional buying (2.0x ratio, 66% up volume)",MEGA_FLOAT,446.3,23.0,46.8,,,,,0.0,,0.0,,0.0,0.0,6,22.0,77.3,Top 25%,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,False,2/3,58.39,0.0,3.0,3.0,0.0,5.0,,,0.0,0.0,0.0,3.24,3.0,5.0,37,0,,0,MIXED/INSUFFICIENT (0),BEST,8.0,5.81,🔵 DECENT,🟡 Good,,,,,,,
HESAY,0.0,45.0,Hermes International SA,54.8,Consumer Cyclical,Luxury Goods,60.0,50.0,15.0,95.0,70.0,189.51,198612566016.0,15.0,0.0,False,down,,,0.0,,,0.0,,,False,294.72,-35.7,0.0,False,"{'roe_pct': 25.2, 'debt_to_equity': 0.12, 'current_ratio': 4.99, 'operating_margin_pct': 41.4}",{'profit_margin_pct': 28.3},291.0,308.0,265.0,3.0,strong_buy,53.6,56.72,-70.1,50.4,-73.4,2.03,3.85,1.1,31.3,0.59,,,,1.8,91.0,2026-07-29,False,False,8.0,STRONG,68.67,37.5,16.85,,,,,,0.0,0.0,13.5,16.4,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,30,"Moderate distribution (0.7x ratio, 39% up volume)",MEDIUM_FLOAT,34.3,35.0,29.9,15.0,False,down,0.0,0.0,,0.0,,0.0,0.0,,22.0,,Sin datos suficientes,0.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,56.92,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,6.7,3.0,10.0,34,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
IT,0.0,31.3,"Gartner, Inc.",59.8,Technology,Information Technology Services,90.0,70.0,15.0,45.0,55.0,150.12,10134629376.0,15.0,0.5,False,down,14.8,True,1.0,14.2,True,1.0,17.1,5.7,True,451.73,-66.8,0.0,False,"{'roe_pct': 86.9, 'debt_to_equity': 10.47, 'current_ratio': 1.0, 'operating_margin_pct': 19.0}","{'eps_growth_yoy': np.float64(14.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 11.2}",173.0,240.0,140.0,13.0,hold,15.2,201.13,34.0,96.5,-35.7,9.11,13.67,,,,True,-19.65,8.7,-13.7,6.0,2026-05-05,True,False,6.0,NEUTRAL,8.96,255.4,,,,,,,2.3000000000000007,0.0,9.4,17.9,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",HIGH_FLOAT,67.9,20.0,27.3,15.0,False,down,0.5,0.0,True,1.0,True,1.0,5.0,19,22.0,18.2,Bottom 25%,2.2,-3.0,3.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,56.535,8.0,8.0,0.0,3.0,-3.0,,,0.0,0.0,0.0,1.9,0.0,2.0,3,0,,0,MIXED/INSUFFICIENT (0),SQUEEZE,15.0,0.0,🔵 DECENT,🟡 Good,,,,,,,
TJX,0.0,45.0,"TJX Companies, Inc. (The)",81.8,Consumer Cyclical,Apparel Retail,100.0,90.0,60.3,75.0,60.0,157.2,174565425152.0,60.0,50.2,False,down,71.1,True,1.0,35.3,True,1.0,1.0,2.7,False,165.82,-5.2,6.0,False,"{'roe_pct': 59.1, 'debt_to_equity': 1.32, 'current_ratio': 1.14, 'operating_margin_pct': 13.3}","{'eps_growth_yoy': np.float64(71.1), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 9.1}",171.78,193.0,100.0,18.0,strong_buy,9.3,138.23,-12.1,135.87,-13.6,2.23,3.52,1.22,33.9,1.31,True,-1.44,99.6,27.9,21.0,2026-05-20,False,True,7.0,NEUTRAL,4.07,36.2,0.99,,,,,,33.0,0.0,13.5,24.5,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 44% up volume)",MEGA_FLOAT,1104.0,18.0,38.0,60.0,False,down,50.2,0.0,True,1.0,True,1.0,5.0,,22.0,,Sin datos suficientes,50.2,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,False,2/3,55.47,0.0,0.0,0.0,3.0,5.0,,,0.0,0.0,0.0,1.16,0.0,5.0,73,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,24.68,🔵 DECENT,🟡 Good,,,,,,,
NDAQ,0.0,74.6,"Nasdaq, Inc.",62.3,Financial Services,Financial Data & Stock Exchanges,85.0,50.0,44.0,60.0,65.0,91.31,51639529472.0,35.0,33.0,False,up,14.8,False,0.0,2.2,False,0.0,1.7,2.6,False,101.79,-10.3,3.0,False,"{'roe_pct': 16.2, 'debt_to_equity': 0.79, 'current_ratio': 1.0, 'operating_margin_pct': 48.4}","{'eps_growth_yoy': np.float64(14.8), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.3}",106.67,120.0,82.0,15.0,buy,16.8,116.95,28.1,99.6,9.1,3.02,2.76,1.23,32.5,1.28,True,-2.03,7.8,33.8,85.0,2026-07-23,False,False,9.0,STRONG,4.12,205.3,0.61,,,,,,26.1,0.0,22.4,18.7,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,75,"Strong institutional buying (1.6x ratio, 60% up volume)",MEGA_FLOAT,503.0,23.0,41.1,35.0,False,up,33.0,2.0,False,0.0,False,0.0,0.0,6,22.0,77.3,Top 25%,32.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,2/3,55.150000000000006,0.0,3.0,0.0,3.0,5.0,,,0.0,0.0,0.0,2.1,1.0,10.0,27,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,15.23,🔵 DECENT,🟡 Good,,,,,,,
MSI,0.0,52.3,"Motorola Solutions, Inc.",78.1,Technology,Communication Equipment,100.0,90.0,46.7,65.0,65.0,434.74,72255356928.0,35.0,29.5,False,down,50.9,True,1.0,33.7,True,1.0,1.7,2.5,False,492.22,-11.7,4.0,False,"{'roe_pct': 104.2, 'debt_to_equity': 4.02, 'current_ratio': 1.04, 'operating_margin_pct': 27.8}","{'eps_growth_yoy': np.float64(50.9), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 18.4}",505.45,540.0,470.0,11.0,buy,16.3,223.57,-48.6,127.4,-70.7,2.76,12.01,1.11,35.1,1.13,True,-1.6,8.8,8.6,8.0,2026-05-07,False,True,6.0,NEUTRAL,3.93,161.2,2.77,,,,,,22.1,0.0,15.7,23.4,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,NEUTRAL,40,"No clear pattern (1.0x ratio, 47% up volume)",HIGH_FLOAT,164.9,25.0,39.1,35.0,False,down,29.5,0.0,True,1.0,True,1.0,5.0,,22.0,,Sin datos suficientes,29.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,1/3,54.955,8.0,0.0,0.0,3.0,3.0,,,0.0,0.0,0.0,2.04,1.0,2.0,44,0,,0,MIXED/INSUFFICIENT (0),,0.0,16.81,🔵 DECENT,🟡 Average,,,,,,,
CLPBY,0.0,91.7,Coloplast AS,69.5,Healthcare,Medical Instruments & Supplies,100.0,70.0,15.0,80.0,70.0,6.31,14220644352.0,15.0,0.8,False,down,33.8,True,2.0,0.2,True,2.0,,,False,11.44,-44.8,0.0,False,"{'roe_pct': 27.3, 'debt_to_equity': 1.82, 'current_ratio': 1.3, 'operating_margin_pct': 26.3}","{'eps_growth_yoy': np.float64(33.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 14.3}",10.16,12.2,8.45,4.0,buy,61.1,70.96,1024.6,8.4,33.1,24.4,1.67,5.66,129.2,2.58,False,,6.4,23.7,,,False,False,7.0,NEUTRAL,28.32,105.6,0.43,,,,,,21.4,0.0,27.5,20.8,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 46% up volume)",HIGH_FLOAT,143.4,25.0,48.4,15.0,False,down,0.8,0.0,True,2.0,True,2.0,8.0,8,22.0,68.2,Medio,29.3,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,54.785,0.0,8.0,-2.0,0.0,5.0,,,0.0,0.0,0.0,7.64,3.0,5.0,8,0,,0,MIXED/INSUFFICIENT (0),BEST,8.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
ICE,0.0,85.1,Intercontinental Exchange Inc.,60.5,Financial Services,Financial Data & Stock Exchanges,85.0,40.0,36.0,75.0,65.0,156.3,88533131264.0,15.0,6.5,False,down,6.8,True,1.0,-2.7,True,1.0,1.4,2.3,False,189.35,-17.5,1.0,False,"{'roe_pct': 11.9, 'debt_to_equity': 0.7, 'current_ratio': 1.02, 'operating_margin_pct': 49.6}","{'eps_growth_yoy': np.float64(6.8), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 33.4}",198.8,240.0,174.0,15.0,strong_buy,27.2,204.86,31.1,135.02,-13.6,3.94,6.15,1.33,33.3,1.23,True,-1.58,6.4,23.4,1.0,2026-04-30,True,False,8.0,STRONG,4.75,118.3,0.77,,,,,,23.700000000000003,0.0,25.5,18.1,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 48% up volume)",MEGA_FLOAT,564.0,23.0,43.7,15.0,False,down,6.5,0.0,True,1.0,True,1.0,5.0,6,22.0,77.3,Top 25%,32.0,3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,54.205,0.0,3.0,0.0,3.0,5.0,,,0.0,0.0,0.0,3.4,3.0,10.0,33,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
FDS,0.0,81.1,FactSet Research Systems Inc.,51.5,Financial Services,Financial Data & Stock Exchanges,55.0,50.0,24.0,85.0,50.0,229.56,8363129856.0,15.0,8.5,False,up,-10.4,False,0.0,4.4,False,0.0,15.0,4.3,True,474.79,-51.7,1.0,False,"{'roe_pct': 28.1, 'debt_to_equity': 0.73, 'current_ratio': 1.43, 'operating_margin_pct': 29.8}","{'eps_growth_yoy': np.float64(-10.4), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 24.5}",252.44,380.0,200.0,16.0,hold,10.0,238.4,3.9,155.4,-32.3,7.06,16.2,1.92,28.3,0.96,True,-5.86,14.2,-1.8,57.0,2026-06-25,False,False,6.0,NEUTRAL,8.07,187.1,,,,,,,17.799999999999997,0.0,24.3,15.4,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,STRONG_ACCUMULATION,75,"Strong institutional buying (1.8x ratio, 62% up volume)",MEDIUM_FLOAT,36.3,20.0,39.8,15.0,False,up,8.5,2.0,False,0.0,False,0.0,0.0,6,22.0,77.3,Top 25%,32.0,3.0,3.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,52.255,0.0,6.0,3.0,3.0,0.0,,,0.0,0.0,0.0,1.25,0.0,2.0,4,0,,0,MIXED/INSUFFICIENT (0),BEST,11.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
OTIS,0.0,72.3,Otis Worldwide Corporation,43.0,Industrials,Specialty Industrial Machinery,50.0,30.0,36.0,45.0,65.0,77.36,29684275200.0,15.0,0.6,False,down,-13.5,False,0.0,-0.8,False,0.0,3.4,3.1,False,101.42,-23.7,1.0,False,"{'current_ratio': 0.84, 'operating_margin_pct': 15.4}","{'eps_growth_yoy': np.float64(-13.5), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.1}",94.36,120.0,77.0,14.0,buy,22.0,185.91,140.3,112.8,45.8,5.67,4.38,2.2,44.7,1.46,True,-3.22,,29.8,84.0,2026-07-22,False,False,6.0,NEUTRAL,5.95,171.1,0.39,,,,,,0.0,0.0,21.7,12.9,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 40% up volume)",MEGA_FLOAT,383.0,38.0,34.6,15.0,False,down,0.6,0.0,False,0.0,False,0.0,0.0,2,22.0,95.5,Top 10%,48.3,5.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,52.214999999999996,0.0,6.0,3.0,3.0,5.0,,,0.0,0.0,0.0,2.75,1.0,2.0,8,0,,0,MIXED/INSUFFICIENT (0),BEST,5.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
DSGX,0.0,32.9,The Descartes Systems Group Inc,68.8,Technology,Software - Application,95.0,60.0,24.0,90.0,70.0,70.91,6099983360.0,15.0,6.8,False,up,25.8,False,0.0,14.2,False,0.0,,3.6,False,117.35,-39.6,1.0,False,"{'roe_pct': 10.9, 'debt_to_equity': 0.01, 'current_ratio': 2.16, 'operating_margin_pct': 31.2}","{'eps_growth_yoy': np.float64(25.8), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 22.5}",100.85,126.0,82.0,13.0,buy,42.2,83.52,17.8,39.27,-44.6,3.87,2.75,,,,False,,225.5,21.0,35.0,2026-06-03,False,False,6.0,NEUTRAL,3.79,77.7,1.04,,,,,,2.5,0.0,9.9,20.6,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 57% up volume)",HIGH_FLOAT,85.7,20.0,30.5,15.0,False,up,6.8,2.0,False,0.0,False,0.0,0.0,16,22.0,31.8,Bajo 50%,9.3,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,51.46499999999999,8.0,3.0,0.0,0.0,5.0,,,0.0,0.0,0.0,5.28,3.0,2.0,58,0,,0,MIXED/INSUFFICIENT (0),,0.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
MA,0.0,35.9,Mastercard Incorporated,66.5,Financial Services,Credit Services,85.0,70.0,36.0,65.0,65.0,507.62,448927236096.0,15.0,2.3,False,down,23.8,False,0.0,21.5,False,0.0,0.7,1.9,False,601.77,-15.6,2.0,False,"{'roe_pct': 209.9, 'debt_to_equity': 2.56, 'current_ratio': 1.03, 'operating_margin_pct': 57.7}","{'eps_growth_yoy': np.float64(23.8), 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 45.6}",652.69,735.0,550.0,36.0,strong_buy,28.6,635.83,25.3,399.3,-21.3,3.62,18.53,0.69,18.4,0.53,True,-2.61,26.7,24.2,1.0,2026-04-30,True,False,9.0,STRONG,4.18,622.8,0.93,,,,,,0.0,0.0,10.8,19.9,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",MEGA_FLOAT,884.0,23.0,30.7,15.0,False,down,2.3,0.0,False,0.0,False,0.0,0.0,20,22.0,13.6,Bottom 25%,2.1,-3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,51.395,0.0,3.0,0.0,3.0,5.0,,,0.0,0.0,0.0,3.58,3.0,10.0,24,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CAUTION,-5.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
MKC,0.0,45.0,"McCormick & Company, Incorporat",66.0,Consumer Defensive,Packaged Foods,100.0,60.0,24.0,65.0,65.0,51.14,13748640768.0,15.0,2.1,False,down,484.2,True,1.0,12.9,False,0.0,,0.0,False,78.16,-34.6,0.0,False,"{'roe_pct': 25.3, 'debt_to_equity': 0.65, 'current_ratio': 0.76, 'operating_margin_pct': 14.3}","{'eps_growth_yoy': np.float64(484.2), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 23.1}",62.69,77.0,52.0,13.0,buy,22.6,62.24,21.7,183.0,257.8,2.71,1.47,3.75,30.0,2.03,True,-0.21,5.7,369.8,64.0,2026-07-02,False,False,6.0,NEUTRAL,5.82,66.6,0.03,,,,,,0.0,0.0,13.5,19.8,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,0,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.7x ratio, 40% up volume)",MEGA_FLOAT,265.3,38.0,33.3,15.0,False,down,2.1,0.0,True,1.0,False,0.0,2.0,,22.0,,Sin datos suficientes,2.1,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,50.95,0.0,0.0,5.0,3.0,5.0,,,0.0,0.0,0.0,2.82,1.0,2.0,35,0,,0,MIXED/INSUFFICIENT (0),BEST,5.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
MSCI,0.0,77.7,MSCI Inc.,68.0,Financial Services,Financial Data & Stock Exchanges,100.0,60.0,47.6,50.0,60.0,594.78,43256918016.0,35.0,39.3,False,up,33.7,True,1.0,10.1,False,0.0,1.9,2.5,False,626.28,-5.0,5.0,False,"{'current_ratio': 0.86, 'operating_margin_pct': 53.7}","{'eps_growth_yoy': np.float64(33.7), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 40.7}",683.56,730.0,550.0,16.0,buy,14.9,703.29,18.2,524.7,-11.8,2.79,16.58,1.38,42.5,0.99,True,-6.21,7.7,49.1,83.0,2026-07-21,False,False,8.0,STRONG,3.44,851.3,0.54,,,,,,53.7,0.0,23.3,20.4,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,True,66,Passes Minervini Template (4/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.0x ratio, 50% up volume)",HIGH_FLOAT,68.7,5.0,43.7,35.0,False,up,39.3,2.0,True,1.0,False,0.0,2.0,6,22.0,77.3,Top 25%,32.0,3.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,False,3/3,50.68500000000001,0.0,0.0,0.0,3.0,5.0,,,0.0,0.0,0.0,1.86,0.0,10.0,39,0,,0,MIXED/INSUFFICIENT (0),WATCH,0.0,26.3,🔵 DECENT,🟡 Average,HOLD,55.0,Close to ATH (-5.0% from high) - wait for pullback,-5.0,NEUTRAL,BUY,False
TW,0.0,65.9,Tradeweb Markets Inc.,72.0,Financial Services,Capital Markets,100.0,60.0,38.7,85.0,65.0,112.36,24497403904.0,15.0,11.3,False,down,119.0,True,2.0,2.3,True,1.0,1.8,1.6,False,149.25,-24.7,2.0,False,"{'roe_pct': 13.6, 'debt_to_equity': 0.02, 'current_ratio': 4.84, 'operating_margin_pct': 42.4}","{'eps_growth_yoy': np.float64(119.0), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 39.6}",135.21,197.0,112.0,14.0,buy,20.3,,,113.4,0.9,,,0.5,12.7,0.39,True,-0.43,606.3,90.2,0.0,2026-04-29,True,False,8.0,STRONG,5.17,57.1,0.19,,,,,,19.4,0.0,19.8,21.6,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 47% up volume)",HIGH_FLOAT,115.5,25.0,41.4,15.0,False,down,11.3,0.0,True,2.0,True,1.0,8.0,,22.0,,Sin datos suficientes,11.3,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,50.495,0.0,0.0,0.0,3.0,5.0,,,0.0,0.0,0.0,2.54,1.0,10.0,46,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
MCO,0.0,64.4,Moody's Corporation,67.0,Financial Services,Financial Data & Stock Exchanges,95.0,60.0,36.0,65.0,65.0,457.99,80000057344.0,15.0,19.6,False,up,14.4,True,1.0,9.5,True,1.0,2.4,3.4,False,546.88,-16.3,2.0,False,"{'roe_pct': 71.4, 'debt_to_equity': 2.36, 'current_ratio': 1.16, 'operating_margin_pct': 45.7}","{'eps_growth_yoy': np.float64(14.4), 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 31.7}",535.0,610.0,460.0,20.0,buy,16.8,233.63,-49.0,139.2,-69.6,2.83,12.97,0.9,27.6,0.8,False,,12.7,7.8,85.0,2026-07-23,False,False,8.0,STRONG,3.96,106.3,3.16,,,,,,19.4,0.0,19.3,20.1,2026-04-29 09:39:54,2026-04-29,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 45% up volume)",HIGH_FLOAT,161.0,25.0,39.4,15.0,False,up,19.6,2.0,True,1.0,True,1.0,5.0,6,22.0,77.3,Top 25%,32.0,3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,50.019999999999996,0.0,0.0,0.0,0.0,3.0,,,0.0,0.0,0.0,2.1,1.0,10.0,50,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),WATCH,0.0,0.0,🔵 DECENT,🟡 Average,,,,,,,
