ticker,company_name,fundamental_score,sin_score_motivo,base_periodos,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,dist_ma50_pct,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,pe_eps_usado,pe_ancla,pe_sin_ancla_motivo,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,ai_descartados,piotroski_evaluables,piotroski_motivo,interest_coverage,interest_coverage_base,interest_coverage_ebit,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_fecha_conocida,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,pe_ancla_n,pe_ancla_dispersion,pe_ancla_fragil,dcf_no_aplicable,acciones_efectivas,per_share_no_fiable,pe_ancla_excluidos,shares_change_es_gasto,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,eu_insider_bonus,market_regime,modelos_dispersion_pts,modelos_acuerdo,upside_triangulated_pct,upside_divergence_pts,upside_divergence,why_cheap,why_cheap_resumen,why_cheap_fuentes,oe_ai_adjustment,oe_ai_verdict,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason,tasa_base_frase,tasa_base_n,tasa_base_caida_mediana_pct,tasa_base_caida_peor_pct,tasa_base_arriba_pct,tasa_base_bimodal,soporte_frase,soporte_nivel,soporte_distancia_pct,soporte_dias,soporte_aguanto,soporte_roto,soporte_antiguo
CPG.L,Compass Group PLC,65.8,,anual,⭐⭐ GOOD,🟡 Good,USD,USD,False,True,True,1.0,"FCF declarado (1,974,125,056) se aparta del derivado de flujo operativo menos capex (2,725,999,872)",95.0,50.0,50.0,55.0,65.0,,,,,33.0,True,1,9.7,False,0,"{'eps_growth_yoy': 33.0, 'op_growth_yoy': 11.8, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 4.2, 'score_bruto_sin_capar': 95.0, 'satura': False}","{'revenue_growth_yoy': 9.7, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 26.9, 'debt_to_equity': 1.13, 'current_ratio': 0.7, 'operating_margin_pct': 6.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 28.0}",30.2,51349458944,Consumer Cyclical,Restaurants,,,False,35.227425,-14.3,0,False,,38.67,43.0,32.45,18,buy,28.0,43.45,43.9,34.17,13.1,reportado,múltiplo propio,,5.31,1.6,2.28,55.9,0.69,2.93,,,,9,,,,,16.3,61.0,2026-11-24,False,True,False,6,NEUTRAL,5.49,111.8,1.13,21.8,,,,2026-09-24T05:17:51.989611,FTSE100,4.0,0.43,False,,,,,,55.3,6.0,5.0,0.0,5.0,3.5,0.0,CONFIRMED_UPTREND,30.8,DISPERSOS,28.0,-0.5,,,,,0,,False,2,0.883,False,-13.0,16.68,-4.37,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 12 veces anteriores (RSI normal, bajo su MA200 que baja) cayó otro 4% de mediana (peor caso -11%); al año el 100% estaba en positivo (mediana +23%).",12,-3.8,-11.3,100,False,"soporte vivo más cercano en 29.65 (-1.5%), puesto a prueba hace 4 días; aguantó 8 y se rompió 2",29.65,-1.5,4,8,2,False
PGHN.SW,Partners Group Holding AG,71.5,,anual,⭐⭐⭐ EXCELLENT,🟢 Excellent,CHF,CHF,False,True,True,1.0,,85.0,90.0,30.0,80.0,55.0,,,,,11.8,False,0,21.9,True,2,"{'eps_growth_yoy': 11.8, 'op_growth_yoy': 17.8, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 48.0, 'score_bruto_sin_capar': 85.0, 'satura': False}","{'revenue_growth_yoy': 21.9, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -8.8, 'rs_6m': -38.2}","{'roe_pct': 75.4, 'debt_to_equity': 1.93, 'current_ratio': 1.06, 'operating_margin_pct': 59.4}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 26.8}",624.4,16084459520,Financial Services,Asset Management,,,False,1097.5,-43.1,0,False,-9.2,791.79,940.0,680.0,14,hold,26.8,,,1042.98,67.0,reportado,múltiplo propio,,11.93,74.49,7.4,100.4,46.0,3.64,,,,9,,,,,-4.8,,,False,False,False,7,NEUTRAL,8.23,74.3,,31.7,,,,2026-09-24T05:17:33.883306,SMI20,4.0,0.45,False,"Asset Management: el flujo operativo son depósitos, préstamos o primas, no caja libre para el accionista",,,,,54.6,8.0,-2.0,0.0,0.0,3.35,0.0,CONFIRMED_UPTREND,,,46.9,-40.2,,,,,0,,False,0,0.912,False,-40.04,2.46,-31.74,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 8 veces anteriores (sobrevendido (RSI<25), bajo su MA200 que baja) o paró casi donde estaba o se desplomó hasta -30% — sin término medio; al año el 75% estaba en positivo (mediana +29%).",8,-9.3,-30.4,75,True,"el soporte más cercano está en 609.40 (-2.4%), puesto a prueba hace 8 días; nunca llegó a resolverse",609.4,-2.4,8,0,0,False
ATCO-B.ST,Atlas Copco AB (publ),68.0,,trimestral,⭐⭐ GOOD,🟡 Good,SEK,SEK,False,True,True,0.3199,"acciones × precio no cuadra (ratio 0.3199) pero la divisa sí: son clases múltiples. Se usan 4,879 M de acciones efectivas (capitalización ÷ precio) en vez de las 1,561 M declaradas",80.0,60.0,50.0,90.0,55.0,,,,,7.0,True,1,5.3,True,1,"{'eps_growth_yoy': 7.0, 'op_growth_yoy': 7.5, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.7, 'score_bruto_sin_capar': 80.0, 'satura': False}","{'revenue_growth_yoy': 5.3, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 25.7, 'debt_to_equity': 0.34, 'current_ratio': 1.27, 'operating_margin_pct': 20.6}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 25.0}",180.0,878151729152,Industrials,Specialty Industrial Machinery,,,False,185.2,-2.8,0,False,,225.0,225.0,225.0,1,none,25.0,79.98,-55.6,131.56,-26.9,reportado,múltiplo propio,,2.77,4.99,1.65,54.9,3.0,1.63,False,,,9,,117.7,Operating Income,117.4,4.0,28.0,2026-10-22,False,True,False,6,NEUTRAL,3.87,54.0,3.06,28.3,,,,2026-09-24T05:18:02.904089,OMXSTO,4.0,0.23,False,,4878620718.0,,,,53.2,0.0,5.0,0.0,1.0,3.12,0.0,CONFIRMED_UPTREND,28.7,DISPERSOS,-26.9,66.2,ALTA,,,,0,,True,3,1.206,False,-1.73,38.03,18.36,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback,"las 45 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 9% de mediana (peor caso -35%); al año el 78% estaba en positivo (mediana +16%).",45,-9.0,-35.2,78,False,"soporte vivo más cercano en 172.30 (-5.3%), puesto a prueba hace 12 días; aguantó 4 de 4 veces",172.3,-5.3,12,4,0,False
NOVO-B.CO,Novo Nordisk A/S,55.0,,trimestral,⭐ AVERAGE,🟡 Average,DKK,DKK,False,True,True,0.7567,"acciones × precio no cuadra (ratio 0.7567) pero la divisa sí: son clases múltiples. Se usan 4,418 M de acciones efectivas (capitalización ÷ precio) en vez de las 3,343 M declaradas",55.0,50.0,50.0,70.0,55.0,,,,,-20.8,False,0,2.1,False,0,"{'eps_growth_yoy': -20.8, 'op_growth_yoy': -19.1, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.3, 'score_bruto_sin_capar': 55.0, 'satura': False}","{'revenue_growth_yoy': 2.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 59.8, 'debt_to_equity': 0.63, 'current_ratio': 0.87, 'operating_margin_pct': 42.5}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 21.9}",252.25,1114409009152,Healthcare,Drug Manufacturers - General,,,False,409.95,-38.5,0,False,,307.56,457.0,203.0,23,hold,21.9,,,,,reportado,múltiplo propio,"objetivo 787 sobre un precio de 252 (+212%): el BPA no cuadra con el múltiplo histórico, no se publica",3.75,9.46,4.52,44.6,11.7,1.93,False,-0.24,,9,,25.6,Operating Income,26.9,-8.2,41.0,2026-11-04,False,True,False,5,NEUTRAL,10.53,61.3,,35.0,,,,2026-09-24T05:17:27.256420,OMXCPH,4.0,0.71,False,"el capex se lleva el 68% del flujo operativo: lo que queda no es lo que gana el dueño, es lo que sobra tras decidir invertir",4417875160.0,,,,53.0,3.0,8.0,0.0,0.0,2.74,0.0,CONFIRMED_UPTREND,,,,,,,,,0,,False,1,0.94,False,-33.86,20.91,2.99,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 7 veces anteriores (sobrevendido (RSI<25), bajo su MA200 que baja) o paró casi donde estaba o se desplomó hasta -54% — sin término medio; al año el 43% estaba en positivo (mediana -13%).",7,-35.0,-53.5,43,True,"soporte vivo más cercano en 254.76 (-1.6%), puesto a prueba hace 1 días; aguantó 1 de 1 veces",254.76,-1.6,1,1,0,False
ASSA-B.ST,ASSA ABLOY AB (publ),71.5,,trimestral,⭐⭐⭐ EXCELLENT,🟢 Excellent,SEK,SEK,False,True,True,,,100.0,60.0,50.0,70.0,60.0,,,,,80.4,True,1,3.5,True,1,"{'eps_growth_yoy': 80.4, 'op_growth_yoy': 53.9, 'crecimiento_respaldado': False, 'crecimiento_puntuado': 78.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.8, 'score_bruto_sin_capar': 110.0, 'satura': True}","{'revenue_growth_yoy': 3.5, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 15.6, 'debt_to_equity': 0.64, 'current_ratio': 1.01, 'operating_margin_pct': 16.9}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 14.5}",357.1,0,Industrials,Security & Protection Services,,,False,396.9,-10.0,0,False,,408.76,500.0,340.0,21,strong_buy,14.5,,,333.76,-6.5,reportado,múltiplo propio,,,,1.78,41.7,6.4,1.7,False,,,9,,,,,15.9,33.0,2026-10-27,False,True,False,8,STRONG,5.08,120.6,1.23,17.1,,,,2026-09-24T05:17:58.502262,OMXSTO,4.0,0.41,False,,,,,,52.6,0.0,5.0,0.0,5.0,1.81,0.0,CONFIRMED_UPTREND,,,4.0,21.0,MEDIA,,,,0,,False,2,1.143,False,-8.66,15.46,-1.07,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 13 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 11% de mediana (peor caso -23%); al año el 77% estaba en positivo (mediana +11%).",13,-11.2,-22.6,77,False,"soporte vivo más cercano en 352.15 (-2.0%), puesto a prueba hace 39 días; aguantó 2 y se rompió 3",352.15,-2.0,39,2,3,False
DG.PA,Vinci SA,56.0,,anual,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,65.0,50.0,50.0,50.0,65.0,,,,,0.8,False,0,4.0,False,0,"{'eps_growth_yoy': 0.8, 'op_growth_yoy': 5.0, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 6.7, 'score_bruto_sin_capar': 65.0, 'satura': False}","{'revenue_growth_yoy': 4.0, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 16.3, 'debt_to_equity': 1.21, 'current_ratio': 0.82, 'operating_margin_pct': 11.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 29.3}",110.9,61317857280,Industrials,Engineering & Construction,,,False,143.15,-22.5,0,False,,143.38,163.5,123.0,21,buy,29.3,319.5,188.1,105.82,-4.6,reportado,múltiplo propio,,13.49,14.96,4.5,55.5,5.05,3.65,,,,9,,,,,10.8,134.0,2027-02-05,False,True,False,7,NEUTRAL,9.91,54.0,1.02,21.9,,,,2026-09-24T05:19:07.171188,CAC40,4.0,0.23,False,,,,,,51.4,8.0,8.0,0.0,3.0,3.66,0.0,CONFIRMED_UPTREND,192.7,CONTRADICEN,,33.9,MEDIA,,,,0,,False,1,0.853,False,-19.22,2.8,-20.0,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 13 veces anteriores (RSI normal, bajo su MA200 que baja) cayó otro 5% de mediana (peor caso -22%); al año el 100% estaba en positivo (mediana +27%).",13,-5.4,-21.5,100,False,"soporte vivo más cercano en 110.94 (-1.2%), puesto a prueba hace 13 días; aguantó 6 de 6 veces",110.94,-1.2,13,6,0,False
DB1.DE,Deutsche Börse AG,63.0,,trimestral,⭐⭐ GOOD,🟡 Good,EUR,EUR,False,True,True,1.0,,75.0,50.0,50.0,80.0,60.0,,,,,8.4,False,0,7.8,False,0,"{'eps_growth_yoy': 8.4, 'op_growth_yoy': 8.2, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 27.3, 'score_bruto_sin_capar': 75.0, 'satura': False}","{'revenue_growth_yoy': 7.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 20.4, 'debt_to_equity': 0.58, 'current_ratio': 1.01, 'operating_margin_pct': 41.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 3.5}",282.3,50895204352,Financial Services,Financial Data & Stock Exchanges,,,False,291.8,-3.3,0,False,,292.15,323.0,252.0,13,buy,3.5,350.84,24.3,226.7,-19.7,reportado,múltiplo propio,,5.08,14.34,1.5,36.2,4.2,1.87,,,,9,,,,,13.7,26.0,2026-10-20,False,True,False,5,NEUTRAL,5.35,65.3,1.52,20.3,,,,2026-09-24T05:17:18.262945,DAX40,4.0,0.1,False,,,,,,51.2,6.0,5.0,0.0,3.0,0.44,0.0,CONFIRMED_UPTREND,44.0,CONTRADICEN,,23.2,MEDIA,,,,0,,True,3,1.024,False,-4.08,42.32,8.72,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback,"las 48 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 6% de mediana (peor caso -34%); al año el 83% estaba en positivo (mediana +18%).",48,-6.1,-34.5,83,False,"soporte vivo más cercano en 270.35 (-3.4%), puesto a prueba hace 13 días; aguantó 4 y se rompió 1",270.35,-3.4,13,4,1,False
LIFCO-B.ST,Lifco AB (publ),68.5,,trimestral,⭐⭐ GOOD,🟡 Good,SEK,SEK,False,True,True,0.9331,acciones × precio no cuadra (ratio 0.9331) pero la divisa sí: son clases múltiples. Se usan 454 M de acciones efectivas (capitalización ÷ precio) en vez de las 424 M declaradas,90.0,70.0,50.0,60.0,50.0,,,,,22.8,True,1,11.0,True,1,"{'eps_growth_yoy': 22.8, 'op_growth_yoy': 19.9, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.2, 'score_bruto_sin_capar': 90.0, 'satura': False}","{'revenue_growth_yoy': 11.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 20.2, 'debt_to_equity': 0.58, 'current_ratio': 0.94, 'operating_margin_pct': 19.3}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 11.5}",316.2,143623192576,Industrials,Conglomerates,,,False,388.2,-18.5,0,False,,352.43,385.0,330.0,7,none,11.5,175.29,-44.6,325.84,3.0,reportado,múltiplo propio,,3.26,10.31,0.85,31.8,2.7,0.72,False,,,9,,,,,8.9,29.0,2026-10-23,False,True,False,7,NEUTRAL,3.35,164.1,2.23,15.5,,,,2026-09-24T05:18:36.137578,OMXSTO,4.0,0.42,False,,454216295.0,,,,50.4,3.0,0.0,0.0,3.0,1.44,0.0,CONFIRMED_UPTREND,47.6,CONTRADICEN,,56.1,ALTA,,,,0,,False,1,0.984,False,-17.82,18.95,4.02,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 3 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 1% de mediana (peor caso -8%); al año el 100% estaba en positivo (mediana +29%). ⚠ solo 3 casos, no decide nada",3,-1.3,-8.5,100,False,"soporte vivo más cercano en 310.68 (-1.7%), puesto a prueba hace 36 días; aguantó 12 y se rompió 3",310.68,-1.7,36,12,3,False
GEBN.SW,Geberit AG,72.2,,anual,⭐⭐⭐ EXCELLENT,🟢 Excellent,CHF,CHF,False,True,True,1.0,"FCF declarado (482,224,992) se aparta del derivado de flujo operativo menos capex (686,900,000)",90.0,70.0,50.0,85.0,50.0,,,,,0.1,True,2,2.5,True,2,"{'eps_growth_yoy': 0.1, 'op_growth_yoy': 0.7, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 19.4, 'score_bruto_sin_capar': 90.0, 'satura': False}","{'revenue_growth_yoy': 2.5, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 54.1, 'debt_to_equity': 1.34, 'current_ratio': 1.64, 'operating_margin_pct': 24.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 7.4}",542.4,17551196160,Industrials,Building Products & Equipment,,,False,659.8,-17.8,0,False,,582.35,712.0,465.0,17,hold,7.4,287.36,-47.0,514.55,-5.1,reportado,múltiplo propio,,3.91,21.21,2.35,68.4,12.9,2.35,,,,9,,,,,5.0,40.0,2026-11-03,False,True,False,7,NEUTRAL,4.06,50.1,2.08,18.4,,,,2026-09-24T05:18:17.863042,SMI20,4.0,0.52,False,,,,,,49.9,3.0,5.0,0.0,1.0,0.92,0.0,CONFIRMED_UPTREND,41.9,DISPERSOS,-5.1,33.4,MEDIA,,,,0,,False,2,1.005,False,-14.86,11.83,-6.14,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 13 veces anteriores (RSI normal, bajo su MA200 que baja) o paró casi donde estaba o se desplomó hasta -30% — sin término medio; al año el 69% estaba en positivo (mediana +21%).",13,-5.1,-30.1,69,True,"soporte vivo más cercano en 534.11 (-2.6%), puesto a prueba hace 7 días; aguantó 2 y se rompió 3",534.11,-2.6,7,2,3,False
HLMA.L,Halma plc,80.0,,anual,🏆 ELITE,🟢 Elite,GBp,GBP,True,True,True,,"FCF declarado (261,262,496) se aparta del derivado de flujo operativo menos capex (409,600,000)",100.0,80.0,50.0,90.0,65.0,,,,,25.6,True,1,14.9,True,2,"{'eps_growth_yoy': 25.6, 'op_growth_yoy': 28.4, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 14.4, 'score_bruto_sin_capar': 100.0, 'satura': False}","{'revenue_growth_yoy': 14.9, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.3, 'debt_to_equity': 0.42, 'current_ratio': 2.14, 'operating_margin_pct': 20.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 22.3}",3584.0,0,Industrials,Conglomerates,,,False,4902.0,-26.9,0,False,,4385.0,5010.0,3650.0,16,buy,22.3,,,,,reportado,,múltiplo propio 3469x fuera del rango 8-45,,,0.69,24.2,25.0,0.79,,,,9,,,,,11.2,56.0,2026-11-19,False,True,False,7,NEUTRAL,3.68,57.9,1.54,31.8,,,,2026-09-24T05:17:42.721785,FTSE100,,,,,,,,,49.0,0.0,0.0,0.0,3.0,2.79,0.0,CONFIRMED_UPTREND,,,,,,,,,0,,False,1,0.972,False,-26.92,9.61,-15.66,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 16 veces anteriores (RSI normal, bajo su MA200 que sube) o paró casi donde estaba o se desplomó hasta -34% — sin término medio; al año el 94% estaba en positivo (mediana +26%).",16,-2.1,-33.5,94,True,"soporte vivo más cercano en 3525.19 (-1.6%), puesto a prueba hace 12 días; aguantó 11 y se rompió 1",3525.19,-1.6,12,11,1,False
ROP.SW,Roche Holding AG,72.2,,anual,⭐⭐⭐ EXCELLENT,🟢 Excellent,CHF,CHF,False,True,True,0.8661,acciones × precio no cuadra (ratio 0.8661) pero la divisa sí: son clases múltiples. Se usan 797 M de acciones efectivas (capitalización ÷ precio) en vez de las 690 M declaradas,100.0,50.0,54.5,85.0,60.0,,,,,55.6,True,1,1.5,False,0,"{'eps_growth_yoy': 55.6, 'op_growth_yoy': 37.7, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 19.6, 'score_bruto_sin_capar': 110.0, 'satura': True}","{'revenue_growth_yoy': 1.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 2.4, 'rs_6m': -1.1}","{'roe_pct': 38.1, 'debt_to_equity': 0.91, 'current_ratio': 1.23, 'operating_margin_pct': 36.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 3.3}",363.2,289385381888,Healthcare,Drug Manufacturers - General,,,False,375.8,-3.4,7,True,1.6,375.34,434.5,230.0,19,buy,3.3,320.39,-11.8,251.25,-30.8,reportado,múltiplo propio,,4.7,17.07,2.69,63.9,9.8,3.31,,,,9,,,,,-5.4,126.0,2027-01-28,False,True,False,7,NEUTRAL,5.83,54.9,,25.0,,,,2026-09-24T05:18:58.053740,SMI20,3.0,0.27,True,,796765919.0,,2024-12-31,,48.9,3.0,5.0,0.0,0.0,0.41,0.0,CONFIRMED_UPTREND,19.0,COHERENTES,-11.8,24.6,MEDIA,,,,0,,True,3,1.064,False,-3.35,48.42,5.43,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback,"las 37 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 8% de mediana (peor caso -24%); al año el 68% estaba en positivo (mediana +8%).",37,-8.0,-24.5,68,False,"soporte vivo más cercano en 351.80 (-3.1%), puesto a prueba hace 6 días; aguantó 4 y se rompió 1",351.8,-3.1,6,4,1,False
RACE.MI,Ferrari N.V.,75.5,,trimestral,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,70.0,50.0,90.0,60.0,,,,,9.0,True,2,8.4,True,2,"{'eps_growth_yoy': 9.0, 'op_growth_yoy': 9.5, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2, 'score_bruto_sin_capar': 95.0, 'satura': False}","{'revenue_growth_yoy': 8.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 6.4}",365.0,64097558528,Consumer Cyclical,Auto Manufacturers,,,False,431.2,-15.4,0,False,,388.39,430.4,330.0,19,buy,6.4,211.42,-42.1,376.28,3.1,reportado,múltiplo propio,,2.28,8.32,1.0,39.0,3.62,0.68,True,-1.38,,9,,63.9,Operating Income,63.9,10.1,40.0,2026-11-03,False,True,False,9,STRONG,3.18,46.7,3.28,21.9,,,,2026-09-24T05:18:15.949960,FTSEMIB,4.0,0.31,False,,,,,,48.2,0.0,0.0,3.0,3.0,0.8,0.0,CONFIRMED_UPTREND,45.2,CONTRADICEN,,48.5,ALTA,,,,0,,True,3,0.965,False,-15.35,35.69,19.52,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado,"las 35 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 9% de mediana (peor caso -37%); al año el 86% estaba en positivo (mediana +19%).",35,-8.6,-37.2,86,False,"soporte vivo más cercano en 352.80 (-2.2%), puesto a prueba hace 21 días; aguantó 2 y se rompió 2",352.8,-2.2,21,2,2,False
