ticker,company,purchase_count,unique_insiders,days_span,first_purchase,last_purchase,total_qty,confidence_score
CR,Crane Co,16,2,3,2026-02-03,2026-02-06,21856.0,340
NWFL,Norwood Financial Corp,16,2,6,2026-01-29,2026-02-04,38800.0,340
GME,Gamestop Corp.,16,2,9,2026-01-21,2026-01-30,4116000.0,340
WBI,Waterbridge Infrastructure LLC,16,2,5,2026-01-08,2026-01-13,52572.0,340
CJMB,Callan Jmb Inc.,16,2,32,2025-12-11,2026-01-12,194279.0,340
WYY,Widepoint Corp,16,2,9,2025-12-31,2026-01-09,18000.0,340
COCP,"Cocrystal Pharma, Inc.",16,1,59,2025-12-30,2026-02-27,680000.0,330
GABC,"German American Bancorp, Inc.",16,1,65,2025-12-17,2026-02-20,540.0,330
CZNC,Citizens & Northern Corp,16,1,66,2025-12-09,2026-02-13,1948.0,330
YYAI,Airwa Inc.,16,1,20,2026-01-08,2026-01-28,22615748.0,330
PRPO,"Precipio, Inc.",16,1,19,2026-01-07,2026-01-26,384.0,330
FGBI,"First Guaranty Bancshares, Inc.",16,1,30,2025-12-08,2026-01-07,1084869.0,330
COO,"Cooper Companies, Inc.",15,3,12,2025-12-17,2025-12-29,48826.0,330
VANI,"Vivani Medical, Inc.",15,2,63,2025-12-17,2026-02-18,18293627.0,320
SGP,"Spyglass Pharma, Inc.",15,2,6,2026-02-11,2026-02-17,19900000.0,320
RAL,Ralliant Corp,15,2,7,2026-02-10,2026-02-17,30890.0,320
BOBS,"Bob'S Discount Furniture, Inc.",15,2,2,2026-02-09,2026-02-11,93885.0,320
IMNM,Immunome Inc.,15,2,17,2025-12-19,2026-01-05,227561.0,320
AMR,"Alpha Metallurgical Resources, Inc.",15,2,11,2025-12-11,2025-12-22,404152.0,320
MANE,"Veradermics, Inc",14,3,25,2026-02-06,2026-03-03,5896545.0,310
BWFG,"Bankwell Financial Group, Inc.",15,1,84,2025-12-09,2026-03-03,30136.0,310
QDEL,Quidelortho Corp,14,3,75,2025-12-11,2026-02-24,70930.0,310
PW,Power Reit,15,1,25,2026-01-19,2026-02-13,119692.0,310
APRE,"Aprea Therapeutics, Inc.",14,3,56,2025-12-12,2026-02-06,214577.0,310
NRIM,Northrim Bancorp Inc,14,3,56,2025-12-11,2026-02-05,17432.0,310
UA,"Under Armour, Inc.",15,1,36,2025-12-30,2026-02-04,147268751.0,310
GLSI,"Greenwich Lifesciences, Inc.",15,1,30,2025-12-22,2026-01-21,45700.0,310
SAIC,Science Applications International Corp,13,5,26,2025-12-17,2026-01-12,7100.0,310
MPB,Mid Penn Bancorp Inc,15,1,2,2026-01-05,2026-01-07,2220.0,310
MRUS,Merus N.V.,15,1,17,2025-12-19,2026-01-05,312882113.0,310
VENU,Venu Holding Corp,14,2,56,2025-12-31,2026-02-25,28984.0,300
MDBH,"Mdb Capital Holdings, LLC",14,2,35,2025-12-05,2026-01-09,66048.0,300
ZIVO,"Zivo Bioscience, Inc.",13,3,21,2026-01-28,2026-02-18,101202.0,290
EIKN,"Eikon Therapeutics, Inc.",13,3,4,2026-02-09,2026-02-13,9804366.0,290
IVFH,Innovative Food Holdings Inc,13,3,11,2026-01-09,2026-01-20,4349999.0,290
KKR,Kkr & Co. Inc.,13,2,11,2026-02-12,2026-02-23,1081616.0,280
CHRW,"C. H. Robinson Worldwide, Inc.",12,4,2,2026-02-16,2026-02-18,9126.0,280
ENTX,Entera Bio Ltd.,13,2,49,2025-12-31,2026-02-18,160000.0,280
CING,Cingulate Inc.,12,4,2,2026-02-11,2026-02-13,99222.0,280
ALMS,Alumis Inc.,13,2,45,2025-12-05,2026-01-19,5083181.0,280
AXR,Amrep Corp.,13,1,18,2026-02-13,2026-03-03,89572.0,270
VRNS,Varonis Systems Inc,12,3,2,2026-02-11,2026-02-13,157515.0,270
ACRV,"Acrivon Therapeutics, Inc.",12,3,6,2026-01-16,2026-01-22,271328.0,270
ADC,Agree Realty Corp,12,3,20,2025-12-30,2026-01-19,158000.0,270
GLP,Global Partners LP,13,1,24,2025-12-05,2025-12-29,79068.0,270
HYNE,"Hoyne Bancorp, Inc.",12,3,1,2025-12-08,2025-12-09,282852.0,270
CNDT,Conduent Inc,12,2,6,2026-02-20,2026-02-26,1341297.0,260
COCH,"Envoy Medical, Inc.",11,4,1,2026-02-18,2026-02-19,22117300.0,260
MSTR,Strategy Inc,12,2,15,2026-01-12,2026-01-27,24048.0,260
NKE,"Nike, Inc.",12,2,12,2025-12-24,2026-01-05,300316.0,260
AGIG,"Abundia Global Impact Group, Inc.",12,2,9,2025-12-24,2026-01-02,241844.0,260
MDLN,Medline Inc.,12,2,3,2025-12-23,2025-12-26,71006888.0,260
CDNL,Cardinal Infrastructure Group Inc.,12,2,3,2025-12-12,2025-12-15,123000.0,260
AMH,American Homes 4 Rent,12,1,81,2025-12-12,2026-03-03,41142.0,250
AVBC,"Avidia Bancorp, Inc.",11,3,83,2025-12-05,2026-02-26,25976.0,250
FNRN,First Northern Community Bancorp,12,1,11,2026-02-13,2026-02-24,13581.0,250
LUCK,Lucky Strike Entertainment Corp,11,3,69,2025-12-10,2026-02-17,45602.0,250
THM,International Tower Hill Mines Ltd,12,1,8,2026-01-28,2026-02-05,129947212.0,250
PETV,"Petvivo Holdings, Inc.",12,1,3,2026-01-19,2026-01-22,3937240.0,250
LB,Landbridge Co LLC,12,1,5,2026-01-08,2026-01-13,14168.0,250
PROP,Prairie Operating Co.,12,1,21,2025-12-16,2026-01-06,4978052.0,250
BOC,Boston Omaha Corp,12,1,5,2025-12-31,2026-01-05,418500.0,250
PPTIN,"Presidio Property Trust, Inc.",12,1,5,2025-12-31,2026-01-05,84000.0,250
VSTS,Vestis Corp,11,3,18,2025-12-08,2025-12-26,3471684.0,250
BH,Biglari Holdings Inc.,12,1,14,2025-12-08,2025-12-22,32503.0,250
RZLT,"Rezolute, Inc.",10,5,3,2025-12-16,2025-12-19,245500.0,250
CFBK,Cf Bankshares Inc.,11,3,10,2025-12-09,2025-12-19,5471.0,250
HKHC,Horizon Kinetics Holding Corp,12,1,10,2025-12-05,2025-12-15,264.0,250
ACVA,Acv Auctions Inc.,11,2,75,2025-12-18,2026-03-03,415936.0,240
HLNE,Hamilton Lane Inc,10,4,2,2026-02-25,2026-02-27,80000.0,240
GEF,"Greif, Inc",11,2,8,2026-02-09,2026-02-17,49953.0,240
LSAK,Lesaka Technologies Inc,11,2,65,2025-12-10,2026-02-13,5752533.0,240
AZO,Autozone Inc,11,2,13,2025-12-13,2025-12-26,1333.0,240
MDRR,"Medalist Diversified Reit, Inc.",11,2,11,2025-12-05,2025-12-16,230135.0,240
RMBI,"Richmond Mutual Bancorporation, Inc.",11,1,22,2026-02-02,2026-02-24,3167.0,230
ASST,"Strive, Inc.",10,3,68,2025-12-17,2026-02-23,3084232.0,230
GALT,Galectin Therapeutics Inc,11,1,50,2025-12-24,2026-02-12,25700.0,230
ASTS,"Ast Spacemobile, Inc.",11,1,22,2025-12-11,2026-01-02,7345.0,230
XZO,"Exzeo Group, Inc.",10,3,16,2025-12-10,2025-12-26,92120.0,230
BRR,"Procap Financial, Inc.",10,3,7,2025-12-19,2025-12-26,749000.0,230
SMRT,"Smartrent, Inc.",11,1,13,2025-12-05,2025-12-18,873616.0,230
TBBK,"Bancorp, Inc.",10,2,25,2026-02-06,2026-03-03,29240.0,220
LEE,"Lee Enterprises, Inc",10,2,18,2026-02-12,2026-03-02,5182009.0,220
NWPP,New Peoples Bankshares Inc,10,2,69,2025-12-12,2026-02-19,505320.0,220
ZBIO,"Zenas Biopharma, Inc.",10,2,37,2026-01-12,2026-02-18,537535.0,220
DMLP,"Dorchester Minerals, L.P.",10,2,75,2025-12-05,2026-02-18,165000.0,220
AAT,"American Assets Trust, Inc.",10,1,10,2026-02-20,2026-03-02,907024.0,210
VERX,"Vertex, Inc.",9,3,11,2026-02-19,2026-03-02,1493220.0,210
IBM,International Business Machines Corp,10,1,28,2026-02-02,2026-03-02,5452.0,210
KELYA,Kelly Services Inc,10,1,10,2026-02-20,2026-03-02,61000.0,210
EMPD,Empery Digital Inc.,10,1,23,2026-02-02,2026-02-25,5336336.0,210
TLPH,"Talphera, Inc.",9,3,2,2026-02-23,2026-02-25,556092.0,210
MMS,"Maximus, Inc.",9,3,74,2025-12-05,2026-02-17,15756.0,210
QNTO,"Quaint Oak Bancorp, Inc.",9,3,63,2025-12-09,2026-02-10,8756.0,210
OTH,Off the Hook Ys Inc.,10,1,45,2025-12-13,2026-01-27,54000.0,210
STRR,"Star Equity Holdings, Inc.",10,1,26,2025-12-11,2026-01-06,643170.0,210
ROLR,"High Roller Technologies, Inc.",9,3,17,2025-12-09,2025-12-26,61040.0,210
MLP,Maui Land & Pineapple Co Inc,10,1,13,2025-12-05,2025-12-18,37760.0,210
ATLO,Ames National Corp,9,2,88,2025-12-05,2026-03-03,1950.0,200
LXRX,"Lexicon Pharmaceuticals, Inc.",9,2,21,2026-02-09,2026-03-02,2845953.0,200
PRU,Prudential Financial Inc,9,2,10,2026-02-10,2026-02-20,4950.0,200
FRST,Primis Financial Corp.,9,2,62,2025-12-13,2026-02-13,15094.0,200
LIFE,Ethos Technologies Inc.,9,2,4,2026-02-02,2026-02-06,1323677.0,200
ELAN,Elanco Animal Health Inc,8,4,2,2025-12-16,2025-12-18,86900.0,200
SVCO,"Silvaco Group, Inc.",8,4,8,2025-12-09,2025-12-17,98200.0,200
SONO,Sonos Inc,9,1,21,2026-02-09,2026-03-02,5974686.0,190
BLCO,Bausch & Lomb Corp,9,1,3,2026-02-24,2026-02-27,70200.0,190
VRSK,"Verisk Analytics, Inc.",9,1,2,2026-02-25,2026-02-27,7500.0,190
SSTI,"Soundthinking, Inc.",9,1,8,2026-02-19,2026-02-27,2147706.0,190
WY,Weyerhaeuser Co,9,1,68,2025-12-19,2026-02-25,85500.0,190
NSPR,"Inspiremd, Inc.",9,1,79,2025-12-08,2026-02-25,51045.0,190
SNES,"Senestech, Inc.",9,1,15,2026-02-09,2026-02-24,377448.0,190
NEOG,Neogen Corp,9,1,30,2026-01-19,2026-02-18,767.0,190
BMI,Badger Meter Inc,8,3,3,2026-02-10,2026-02-13,21660.0,190
IOR,Income Opportunity Realty Investors Inc /Tx/,9,1,33,2025-12-10,2026-01-12,7780.0,190
EP,Empire Petroleum Corp,9,1,32,2025-12-08,2026-01-09,56227.0,190
ADMQ,"Adm Endeavors, Inc.",9,1,24,2025-12-13,2026-01-06,1872200.0,190
NEXT,Nextdecade Corp,9,1,12,2025-12-05,2025-12-17,8935468.0,190
MSBI,"Midland States Bancorp, Inc.",8,3,3,2025-12-05,2025-12-08,32196.0,190
APCX,Apptech Payments Corp.,8,2,88,2025-12-05,2026-03-03,588400.0,180
BLIN,"Bridgeline Digital, Inc.",8,2,10,2026-02-20,2026-03-02,193044.0,180
SINT,"Sintx Technologies, Inc.",8,2,80,2025-12-09,2026-02-27,92400.0,180
FRD,Friedman Industries Inc,8,2,84,2025-12-05,2026-02-27,4400.0,180
TLSI,"Trisalus Life Sciences, Inc.",8,2,1,2026-02-24,2026-02-25,809996.0,180
BOTJ,Bank of the James Financial Group Inc,8,2,12,2026-02-12,2026-02-24,4764.0,180
IP,International Paper Co /New/,8,2,4,2026-02-02,2026-02-06,300000.0,180
CCNE,Cnb Financial Corp/Pa,8,2,3,2026-02-03,2026-02-06,7500.0,180
CBK,"Commercial Bancgroup, Inc.",8,2,4,2026-02-02,2026-02-06,2864.0,180
AIG,"American International Group, Inc.",8,2,36,2026-01-01,2026-02-06,164.0,180
AMTB,Amerant Bancorp Inc.,8,2,7,2026-01-29,2026-02-05,23264.0,180
ALLY,Ally Financial Inc.,8,2,8,2026-01-26,2026-02-03,141464.0,180
RLI,Rli Corp,8,2,3,2026-01-26,2026-01-29,28000.0,180
VIRC,Virco Mfg Corporation,8,2,11,2026-01-08,2026-01-19,18000.0,180
INTZ,Intrusion Inc,8,2,3,2026-01-13,2026-01-16,18700.0,180
PMCB,"Pharmacyte Biotech, Inc.",8,2,5,2026-01-08,2026-01-13,640000.0,180
UTZ,"Utz Brands, Inc.",8,2,5,2026-01-07,2026-01-12,5524.0,180
DOMH,Dominari Holdings Inc.,8,2,4,2025-12-11,2025-12-15,192000.0,180
IMMX,"Immix Biopharma, Inc.",8,2,4,2025-12-11,2025-12-15,6064.0,180
SOFI,"Sofi Technologies, Inc.",7,3,25,2026-02-06,2026-03-03,86000.0,170
NAII,Natural Alternatives International Inc,8,1,8,2026-02-23,2026-03-03,22000.0,170
NZF,Nuveen Municipal Credit Income Fund,8,1,56,2026-01-06,2026-03-03,19270.0,170
TBI,"Trueblue, Inc.",7,3,5,2026-02-25,2026-03-02,92300.0,170
AASP,Agassi Sports Entertainment Corp.,7,3,29,2026-01-29,2026-02-27,7000.0,170
AVTR,"Avantor, Inc.",8,1,78,2025-12-10,2026-02-26,1150000.0,170
CEVA,Ceva Inc,7,3,2,2026-02-24,2026-02-26,19130.0,170
EKSO,"Ekso Bionics Holdings, Inc.",8,1,7,2026-02-18,2026-02-25,153449.0,170
BCDA,"Biocardia, Inc.",8,1,53,2025-12-18,2026-02-09,11900.0,170
USAR,"USA Rare Earth, Inc.",8,1,5,2026-01-30,2026-02-04,405200.0,170
NWBI,"Northwest Bancshares, Inc.",8,1,57,2025-12-09,2026-02-04,19000.0,170
BDSX,Biodesix Inc,8,1,6,2026-01-27,2026-02-02,729860.0,170
PEBO,Peoples Bancorp Inc,8,1,3,2026-01-26,2026-01-29,2628.0,170
TCI,Transcontinental Realty Investors Inc,8,1,12,2026-01-15,2026-01-27,560184.0,170
PALI,"Palisade Bio, Inc.",8,1,13,2026-01-14,2026-01-27,40000.0,170
MYNZ,Mainz Biomed N.V.,8,1,7,2026-01-19,2026-01-26,5315400.0,170
STAA,Staar Surgical Co,8,1,10,2026-01-09,2026-01-19,1736552.0,170
LMNR,Limoneira Co,8,1,8,2026-01-07,2026-01-15,100000.0,170
LFT,"Lument Finance Trust, Inc.",8,1,22,2025-12-23,2026-01-14,140000.0,170
INDV,Indivior Plc,8,1,5,2026-01-08,2026-01-13,10184.0,170
QNBC,Qnb Corp.,8,1,12,2025-12-31,2026-01-12,2240.0,170
FKYS,First Keystone Corp,8,1,9,2025-12-31,2026-01-09,11200.0,170
BNTC,Benitec Biopharma Inc.,8,1,10,2025-12-23,2026-01-02,761456.0,170
AFCG,Advanced Flower Capital Inc.,8,1,12,2025-12-05,2025-12-17,338000.0,170
GRND,Grindr Inc.,8,1,7,2025-12-05,2025-12-12,1160000.0,170
NDAQ,"Nasdaq, Inc.",7,2,8,2026-02-16,2026-02-24,648000.0,160
SPGI,S&P Global Inc.,7,2,32,2026-01-16,2026-02-17,7592.0,160
KVHI,Kvh Industries Inc De,7,2,74,2025-12-05,2026-02-17,329896.0,160
TECX,"Tectonic Therapeutic, Inc.",7,2,5,2026-02-12,2026-02-17,31500.0,160
SPT,"Sprout Social, Inc.",7,2,31,2025-12-19,2026-01-19,647919.0,160
IPSC,"Century Therapeutics, Inc.",7,2,16,2025-12-17,2026-01-02,388240.0,160
NWTG,"Newton Golf Company, Inc.",7,2,16,2025-12-17,2026-01-02,60550.0,160
ICU,Seastar Medical Holding Corp,7,2,14,2025-12-12,2025-12-26,60300.0,160
REXR,"Rexford Industrial Realty, Inc.",6,3,1,2026-03-02,2026-03-03,25920.0,150
LFVN,Lifevantage Corp,7,1,75,2025-12-18,2026-03-03,50627.0,150
CWBC,Community West Bancshares,7,1,23,2026-02-02,2026-02-25,3128.0,150
FLYW,Flywire Corp,7,1,46,2026-01-08,2026-02-23,979448.0,150
NMCO,Nuveen Municipal Credit Opportunities Fund,7,1,54,2025-12-31,2026-02-23,10200.0,150
BFST,"Business First Bancshares, Inc.",7,1,20,2026-01-28,2026-02-17,6360.0,150
FAST,Fastenal Co,7,1,16,2026-01-28,2026-02-13,280.0,150
MHH,"Mastech Digital, Inc.",7,1,56,2025-12-12,2026-02-06,31739.0,150
HQI,"Hirequest, Inc.",7,1,8,2025-12-30,2026-01-07,106216.0,150
PHIO,Phio Pharmaceuticals Corp.,7,1,8,2025-12-30,2026-01-07,35000.0,150
SLSN,"Solesence, Inc.",7,1,24,2025-12-12,2026-01-05,115168.0,150
UPXI,"Upexi, Inc.",7,1,11,2025-12-18,2025-12-29,650000.0,150
GRNT,"Granite Ridge Resources, Inc.",7,1,11,2025-12-08,2025-12-19,28684.0,150
ELWT,"Elauwit Connection, Inc.",6,3,2,2025-12-16,2025-12-18,17000.0,150
LAW,"Cs Disco, Inc.",6,2,19,2026-02-12,2026-03-03,72500.0,140
PATK,Patrick Industries Inc,6,2,21,2026-02-10,2026-03-03,4120.0,140
FNWD,Finward Bancorp,6,2,1,2026-03-02,2026-03-03,192.0,140
PODD,Insulet Corp,6,2,83,2025-12-09,2026-03-02,14584.0,140
TYL,Tyler Technologies Inc,6,2,5,2026-02-25,2026-03-02,6630.0,140
VEEE,"Twin Vee Powercats, Co.",6,2,4,2026-02-26,2026-03-02,360000.0,140
SRBK,"Sr Bancorp, Inc.",6,2,83,2025-12-05,2026-02-26,4600.0,140
MSCI,Msci Inc.,6,2,76,2025-12-10,2026-02-24,45962.0,140
MSFT,Microsoft Corp,6,2,72,2025-12-13,2026-02-23,26526.0,140
ARE,"Alexandria Real Estate Equities, Inc.",6,2,67,2025-12-13,2026-02-18,84300.0,140
SMBK,Smartfinancial Inc.,6,2,15,2026-01-29,2026-02-13,3270.0,140
IT,Gartner Inc,6,2,61,2025-12-13,2026-02-12,130050.0,140
ABT,Abbott Laboratories,6,2,14,2026-01-27,2026-02-10,95200.0,140
NBBK,"Nb Bancorp, Inc.",6,2,45,2025-12-22,2026-02-05,49736.0,140
FWDI,"Forward Industries, Inc.",6,2,10,2025-12-16,2025-12-26,42000.0,140
SCWO,374Water Inc.,6,2,5,2025-12-18,2025-12-23,1410000.0,140
BFLY,"Butterfly Network, Inc.",6,2,11,2025-12-08,2025-12-19,3530344.0,140
OPTT,"Ocean Power Technologies, Inc.",6,2,2,2025-12-16,2025-12-18,57542.0,140
CE,Celanese Corp,6,2,4,2025-12-12,2025-12-16,26400.0,140
AARD,"Aardvark Therapeutics, Inc.",6,2,3,2025-12-13,2025-12-16,30000.0,140
BLNK,Blink Charging Co.,6,2,3,2025-12-13,2025-12-16,295998.0,140
SXC,"Suncoke Energy, Inc.",5,3,4,2026-02-27,2026-03-03,50000.0,130
MWA,"Mueller Water Products, Inc.",6,1,52,2026-01-09,2026-03-02,54500.0,130
CSPI,Csp Inc /Ma/,6,1,11,2026-02-19,2026-03-02,50048.0,130
ARES,Ares Management Corp,6,1,16,2026-02-11,2026-02-27,31440.0,130
FPI,Farmland Partners Inc.,6,1,72,2025-12-17,2026-02-27,13800.0,130
FFIN,First Financial Bankshares Inc,6,1,17,2026-02-09,2026-02-26,32100.0,130
MPLT,"Maplight Therapeutics, Inc.",6,1,12,2026-02-13,2026-02-25,117372.0,130
CSBB,"Csb Bancorp, Inc.",6,1,14,2026-02-10,2026-02-24,5310.0,130
LYFT,"Lyft, Inc.",6,1,73,2025-12-12,2026-02-23,37560.0,130
TENB,"Tenable Holdings, Inc.",6,1,8,2026-02-10,2026-02-18,49500.0,130
PBHC,"Pathfinder Bancorp, Inc.",6,1,9,2026-02-09,2026-02-18,7143.0,130
OVBC,Ohio Valley Banc Corp,6,1,2,2026-02-16,2026-02-18,312.0,130
NG,Novagold Resources Inc,6,1,4,2026-02-09,2026-02-13,79410.0,130
KMB,Kimberly Clark Corp,6,1,3,2026-02-09,2026-02-12,30798.0,130
CLYM,"Climb Bio, Inc.",6,1,28,2025-12-16,2026-01-13,657566.0,130
ABTC,American Bitcoin Corp.,6,1,10,2025-12-19,2025-12-29,754000.0,130
NTST,Netstreit Corp.,6,1,17,2025-12-09,2025-12-26,6000.0,130
SCND,Scientific Industries Inc,6,1,6,2025-12-16,2025-12-22,76400.0,130
LCGMF,Lion Copper & Gold Corp.,6,1,6,2025-12-16,2025-12-22,3309519.0,130
DTIL,Precision Biosciences Inc,6,1,1,2025-12-18,2025-12-19,14162.0,130
DGICA,Donegal Group Inc,6,1,11,2025-12-05,2025-12-16,209505.0,130
MMLP,Martin Midstream Partners L.P.,6,1,11,2025-12-05,2025-12-16,68830.0,130
CNTM,"Connectm Technology Solutions, Inc.",6,1,3,2025-12-12,2025-12-15,1087203.0,130
TENX,"Tenax Therapeutics, Inc.",6,1,7,2025-12-08,2025-12-15,30000.0,130
TBTC,Table Trac Inc,6,1,4,2025-12-08,2025-12-12,88704.0,130
GENB,"Generate Biomedicines, Inc.",4,4,0,2026-03-03,2026-03-03,4691300.0,120
ABCL,Abcellera Biologics Inc.,5,2,1,2026-03-02,2026-03-03,478114.0,120
POOL,Pool Corp,5,2,5,2026-02-26,2026-03-03,19490.0,120
MERC,Mercer International Inc.,5,2,83,2025-12-10,2026-03-03,3045620.0,120
TDG,Transdigm Group Inc,5,2,21,2026-02-10,2026-03-03,2852.0,120
ALIT,"Alight, Inc. / Delaware",5,2,87,2025-12-05,2026-03-02,302036.0,120
FRAF,Franklin Financial Services Corp /Pa/,5,2,20,2026-02-10,2026-03-02,1178.0,120
AVX,Avax One Technology Ltd.,5,2,9,2026-02-18,2026-02-27,17000.0,120
PMN,Promis Neurosciences Inc.,5,2,19,2026-02-06,2026-02-25,2105481.0,120
WTW,Willis Towers Watson Plc,5,2,3,2026-02-16,2026-02-19,7723.0,120
BY,"Byline Bancorp, Inc.",5,2,19,2026-01-30,2026-02-18,1426.0,120
UWHR,Uwharrie Capital Corp,5,2,21,2025-12-17,2026-01-07,2987.0,120
CRM,"Salesforce, Inc.",5,2,14,2025-12-09,2025-12-23,197808.0,120
ARX,Accelerant Holdings,5,2,12,2025-12-10,2025-12-22,45184.0,120
ADGM,"Adagio Medical Holdings, Inc.",5,2,6,2025-12-16,2025-12-22,651945.0,120
WMG,Warner Music Group Corp.,5,2,11,2025-12-05,2025-12-16,178954.0,120
ADVM,"Adverum Biotechnologies, Inc.",5,2,2,2025-12-09,2025-12-11,486097.0,120
PARK,"Park Dental Partners, Inc.",5,2,3,2025-12-05,2025-12-08,17399.0,120
JAGU,Jaguar Uranium Corp.,5,1,5,2026-02-26,2026-03-03,1256300.0,110
PKBK,"Parke Bancorp, Inc.",5,1,29,2026-02-02,2026-03-03,4600.0,110
OVLY,Oak Valley Bancorp,5,1,13,2026-02-18,2026-03-03,1856.0,110
RPC,"Ridgepost Capital, Inc.",5,1,6,2026-02-24,2026-03-02,40000.0,110
