ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,pct_from_52w_low,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date,oe_ai_adjustment,oe_ai_verdict
9983.T,"Fast Retailing Co., Ltd.",72470.0,JPY,53.0,B,53.0,ROE 22.5% | Potencial +19% | Crecimiento ingresos +22% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Consumer Cyclical,Japan,🇯🇵,29.4,86058.82,18.8,17,1.6,2.34,0.8,,22.5,52.9,46.5,13.5,22.2,-18.3,63.3,,,,,2026-08-26,0,
012330.KS,"Hyundai Mobis Co.,Ltd",491500.0,KRW,52.0,B,52.0,P/E 9.3x | Potencial +40% analistas | Dividendo 1.3%,0,0,Consumer Cyclical,Korea,🇰🇷,21.2,690500.0,40.5,30,2.8,5.06,1.31,,7.4,9.3,,5.8,2.4,-40.2,73.7,,,,,2026-08-26,0,
ABEV3.SA,Ambev S.A.,15.31,BRL,49.0,C,49.0,ROE 18.4% | FCF yield 8.4% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Consumer Defensive,Brazil,🇧🇷,9.0,16.34,6.7,17,8.4,0.84,4.79,,18.4,13.8,14.9,18.4,0.3,-10.2,,,ABEV,,,2026-08-26,0,
WEGE3.SA,WEG S.A.,49.58,BRL,48.0,C,48.0,ROE 30.8% | Potencial +12% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,55.3,11.5,16,2.4,1.44,4.1,,30.8,26.8,33.3,15.6,-0.6,-9.1,,,WEGZY,,,2026-08-26,0,
9988.HK,Alibaba Group Holding Limited,115.8,HKD,48.0,C,48.0,Potencial +54% analistas | FCF negativo | Mercado HongKong CAPE 11 (33% descuento histórico),2,1,Consumer Cyclical,HongKong,🇭🇰,10.7,178.63,54.3,23,-4.3,6.78,6.25,,6.4,12.4,26.7,7.0,8.6,-37.8,30.6,,BABA,,,2026-08-26,0,
6758.T,Sony Group Corporation,3894.0,JPY,46.0,C,46.0,Potencial +24% | FCF yield 14.7% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Technology,Japan,🇯🇵,29.4,4818.18,23.7,22,14.7,2.97,0.64,,13.2,21.3,20.9,-1.7,8.2,-18.5,28.0,,SONY,,,2026-08-26,0,
6098.T,"Recruit Holdings Co., Ltd.",16920.0,JPY,46.0,C,46.0,ROE 36.2% | Crecimiento ingresos +19% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Communication Services,Japan,🇯🇵,29.4,15531.25,-8.2,16,2.1,-1.03,0.15,,36.2,55.9,48.8,15.0,18.9,-0.4,180.1,,RCRUY,,,2026-08-26,0,
009150.KS,"Samsung Electro-Mechanics Co., Ltd.",1355000.0,KRW,42.0,C,42.0,Potencial +73% analistas | FCF negativo | Crecimiento ingresos +24%,1,1,Technology,Korea,🇰🇷,21.2,2338148.2,72.6,27,-0.4,9.07,,,10.6,32.4,,8.1,24.2,-43.9,757.6,,,,,2026-08-26,0,
9432.T,"NTT, Inc.",169.8,JPY,42.0,C,42.0,P/E 11.7x | FCF yield 81.7% | Dividendo 3.2% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Communication Services,Japan,🇯🇵,29.4,169.36,-0.3,14,81.7,-0.03,3.19,,10.7,11.7,13.5,7.1,10.9,-0.1,19.1,,,,,2026-08-26,0,
8766.T,"Tokio Marine Holdings, Inc.",7577.0,JPY,38.0,C,38.0,P/E 15.4x | Potencial +14% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Financial Services,Japan,🇯🇵,29.4,8601.0,13.5,12,,1.69,2.88,,,15.4,27.1,,0.1,-10.5,43.0,FCF no comparable (sector financiero),TKOMY,,,2026-08-26,0,
7733.T,Olympus Corporation,2145.5,JPY,37.0,C,37.0,Crecimiento ingresos +16% | Dividendo 1.4% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Healthcare,Japan,🇯🇵,29.4,2080.77,-3.0,13,0.8,-0.38,1.39,,10.6,17.1,35.0,7.5,16.4,-2.9,64.7,,,,,2026-08-26,0,
6861.T,Keyence Corporation,81440.0,JPY,37.0,C,37.0,Potencial +20% | Crecimiento ingresos +33% | Margen 39% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Technology,Japan,🇯🇵,29.4,97366.66,19.6,15,,2.44,0.68,,,43.6,44.4,39.2,32.8,-7.4,58.1,,,,,2026-08-26,0,
1211.HK,BYD Company Limited,93.6,HKD,37.0,C,37.0,Potencial +34% analistas | FCF negativo | Mercado HongKong CAPE 11 (33% descuento histórico),2,1,Consumer Cyclical,HongKong,🇭🇰,10.7,125.59,34.2,27,-16.0,4.27,0.38,,11.1,14.9,26.9,3.5,-11.8,-22.5,31.1,Ingresos en declive YoY,BYDDF,,,2026-08-26,0,
