ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,ai_verdict,ai_notes,scan_date
RDOR3.SA,Rede D'Or São Luiz S.A.,38.13,BRL,67.0,A,67.0,ROE 20.0% | Potencial +36% analistas | FCF yield 5.1% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Healthcare,Brazil,🇧🇷,9.0,51.78,35.8,13,5.1,4.48,8.76,,20.0,13.0,18.0,8.4,11.9,-21.2,Deuda elevada (D/E >2x) | Deuda elevada | Potential dividend trap,RISKY,High debt-to-equity ratio and unusually high dividend yield raise concerns,2026-03-06
6098.T,"Recruit Holdings Co., Ltd.",7002.0,JPY,67.0,A,67.0,ROE 27.3% | Potencial +41% analistas | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Communication Services,Japan,🇯🇵,29.4,9867.5,40.9,16,4.3,5.12,0.35,,27.3,23.1,23.6,12.8,5.2,-26.8,cyclical | governance,SUSPECT,"Forward and trailing P/E ratios are nearly identical, which is unusual and may indicate potential data quality issues or stagnant earnings growth",2026-03-06
LREN3.SA,Lojas Renner S.A.,14.72,BRL,66.0,A,66.0,P/E 8.6x | Potencial +29% | FCF yield 10.7% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Consumer Cyclical,Brazil,🇧🇷,9.0,18.97,28.8,15,10.7,3.61,6.19,,13.6,8.6,11.0,8.9,5.1,-25.9,cyclical risk | payout sustainability risk,SUSPECT,High FCF yield and dividend yield for a consumer cyclical company may indicate potential overvaluation or unsustainable payout,2026-03-06
0941.HK,China Mobile Limited,79.0,HKD,66.0,A,66.0,P/E 10.3x | Potencial +27% | FCF yield 8.6% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Communication Services,HongKong,🇭🇰,10.7,100.28,26.9,15,8.6,3.37,6.69,,10.5,10.3,10.6,13.7,2.5,-12.8,regulatory risk | geopolitical risk,SUSPECT,FCF yield seems high for a telecom company,2026-03-06
0388.HK,Hong Kong Exchanges and Clearing Limited,414.8,HKD,66.0,A,66.0,ROE 31.5% | Potencial +25% | Margen 62% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,518.65,25.0,17,,3.13,3.2,,31.5,27.5,34.1,61.5,14.2,-11.0,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Real Estate Exposure,SUSPECT,High profit margin and ROE raise concerns about sustainability and potential overvaluation,2026-03-06
0939.HK,China Construction Bank Corporation,7.91,HKD,65.0,A,65.0,P/E 5.4x (vs 11x mercado) | Potencial +21% | Margen 56% | Dividendo 5.4% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,9.54,20.7,18,,2.58,5.43,,9.6,5.4,5.4,55.9,3.0,-7.6,FCF no comparable (sector financiero) | Empresa estatal — riesgo de gobierno corporativo | Banco/aseguradora HK — exposición sector inmuebles chino | Exposure to Chinese real estate market | State-owned enterprise governance risks,RISKY,Anomalous profit margin and lack of FCF yield data raise concerns,2026-03-06
1810.HK,Xiaomi Corporation,33.72,HKD,65.0,A,65.0,ROE 19.9% | Potencial +48% analistas | Crecimiento ingresos +22% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Technology,HongKong,🇭🇰,10.7,49.76,47.6,30,3.7,5.95,,,19.9,18.0,20.7,9.8,22.3,-45.1,Geopolitical Risk | Regulatory Risk,SUSPECT,High revenue growth and analyst upside may not be sustainable given geopolitical risks and regulatory scrutiny in the technology sector,2026-03-06
3988.HK,Bank of China Limited,4.52,HKD,65.0,A,65.0,P/E 5.5x (vs 11x mercado) | Potencial +21% | Margen 44% | Dividendo 5.6% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,5.49,21.4,18,,2.67,5.62,,8.3,5.5,5.3,43.5,2.8,-5.8,FCF no comparable (sector financiero) | Empresa estatal — riesgo de gobierno corporativo | Banco/aseguradora HK — exposición sector inmuebles chino | regulatory risk | geopolitical risk | real estate exposure,SUSPECT,"Low P/E ratio and high profit margin are unusual for a bank, warranting further investigation",2026-03-06
005930.KS,"Samsung Electronics Co., Ltd.",188200.0,KRW,64.0,B,64.0,P/E 7.1x (vs 11x mercado) | Potencial +20% | Crecimiento ingresos +24% | Dividendo 1.2%,0,0,Technology,Korea,🇰🇷,21.2,226670.78,20.4,37,1.9,2.56,1.18,,10.8,7.1,,13.3,23.8,-15.6,incomplete_data | potential_accounting_issues,SUSPECT,"Trailing P/E is reported as non-existent, which is unusual for a well-established company like Samsung Electronics",2026-03-06
7733.T,Olympus Corporation,1361.0,JPY,64.0,B,64.0,P/E 10.8x (vs 16x mercado) | Potencial +39% analistas | Dividendo 2.2% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Healthcare,Japan,🇯🇵,29.4,1888.46,38.8,13,0.7,4.84,2.22,,11.2,10.8,15.8,8.6,3.9,-37.2,cyclical | governance,SUSPECT,Low FCF yield and relatively low profit margin raise concerns about the company's ability to generate cash and maintain profitability,2026-03-06
SUZB3.SA,Suzano S.A.,55.8,BRL,62.0,B,62.0,ROE 35.2% | P/E 6.7x (vs 10x mercado) | Potencial +26% | FCF negativo | Margen 27% | Dividendo 2.0% | Mercado Brazil CAPE 9 (34% descuento histórico),4,1,Basic Materials,Brazil,🇧🇷,9.0,70.56,26.5,17,-0.8,3.31,2.0,,35.2,6.7,5.2,26.8,-7.5,-6.5,Ingresos en declive YoY | Deuda elevada (D/E >2x) | High Debt | Negative FCF Yield | Cyclical Industry Risks,RISKY,Negative FCF yield and high debt-to-equity ratio indicate potential liquidity and solvency issues,2026-03-06
BBDC4.SA,Banco Bradesco S.A.,19.83,BRL,61.0,B,61.0,P/E 6.5x (vs 10x mercado) | Potencial +10% | Margen 27% | Dividendo 1.1% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Financial Services,Brazil,🇧🇷,9.0,21.85,10.2,13,,1.27,1.15,,13.8,6.5,9.3,26.5,6.0,-10.4,FCF no comparable (sector financiero) | regulatory risk | geopolitical risk | cyclical risk,SUSPECT,Low forward P/E and high profit margin may indicate potential overstatement of earnings or undervaluation,2026-03-06
1398.HK,Industrial and Commercial Bank of China Limited,6.39,HKD,61.0,B,61.0,P/E 5.6x (vs 11x mercado) | Potencial +15% | Margen 54% | Dividendo 5.3% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,7.36,15.2,17,,1.9,5.29,,9.1,5.6,5.7,54.3,5.8,-4.1,FCF no comparable (sector financiero) | Empresa estatal — riesgo de gobierno corporativo | Banco/aseguradora HK — exposición sector inmuebles chino | Government Corporate Risk | Chinese Real Estate Exposure | Lack of FCF Yield Data,RISKY,"Anomalous metrics and known structural risks, including state-owned enterprise and exposure to Chinese real estate sector",2026-03-06
0005.HK,HSBC Holdings plc,135.1,HKD,60.0,B,60.0,P/E 9.8x | Potencial +13% | Crecimiento ingresos +58% | Margen 35% | Dividendo 4.4% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,152.63,13.0,9,,1.62,4.38,,11.6,9.8,14.4,35.2,58.4,-8.7,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | regulatory risk | real estate exposure,SUSPECT,Anomalous profit margin for a bank,2026-03-06
0883.HK,CNOOC Limited,26.6,HKD,59.0,B,59.0,ROE 16.4% | P/E 8.5x | Margen 30% | Dividendo 5.4% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Energy,HongKong,🇭🇰,10.7,25.58,-3.8,14,4.3,-0.48,5.44,,16.4,8.5,9.1,30.3,5.7,-5.4,cyclical | geopolitical | governance,SUSPECT,Low forward P/E and high dividend yield may indicate undervaluation or underlying issues,2026-03-06
000270.KS,Kia Corporation,167000.0,KRW,59.0,B,59.0,P/E 7.0x (vs 11x mercado) | Potencial +23% | Dividendo 4.1%,0,0,Consumer Cyclical,Korea,🇰🇷,21.2,204903.22,22.7,31,4.7,2.84,4.09,,14.1,7.0,,6.9,8.2,-21.4,cyclical industry risks | geopolitical risks,SUSPECT,"Trailing P/E is reported as non-existent, which is unusual for a publicly traded company like Kia Corporation",2026-03-06
7974.T,"Nintendo Co., Ltd.",8680.0,JPY,58.0,B,58.0,Potencial +43% analistas | Crecimiento ingresos +86% | Dividendo 2.1% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Communication Services,Japan,🇯🇵,29.4,12383.5,42.7,26,,5.33,2.11,,14.1,25.5,27.4,18.9,86.3,-41.3,Missing FCF Yield | Potential Data Quality Issue,SUSPECT,Anomalous FCF Yield of None% may indicate missing or incorrect data,2026-03-06
1299.HK,AIA Group Limited,85.7,HKD,58.0,B,58.0,ROE 15.1% | Potencial +17% | Crecimiento ingresos +29% | Margen 24% | Dividendo 2.1% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,100.45,17.2,18,,2.15,2.11,,15.1,14.4,19.6,23.8,29.4,-6.9,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate exposure,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector,2026-03-06
ITUB4.SA,Itaú Unibanco Holding S.A.,43.51,BRL,57.0,B,57.0,ROE 21.0% | P/E 8.4x | Margen 32% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,47.46,9.1,13,,1.14,1.22,,21.0,8.4,10.9,32.3,11.0,-12.4,FCF no comparable (sector financiero) | regulatory risk | geopolitical risk | cyclical risk,SUSPECT,Low forward P/E and high profit margin may indicate potential overstatement of earnings or undervaluation,2026-03-06
9618.HK,"JD.com, Inc.",105.2,HKD,57.0,B,57.0,P/E 6.3x (vs 11x mercado) | Potencial +43% analistas | FCF negativo | Dividendo 4.0% | Mercado HongKong CAPE 11 (33% descuento histórico),2,1,Consumer Cyclical,HongKong,🇭🇰,10.7,150.13,42.7,23,-0.7,5.34,4.03,,7.6,6.3,8.8,1.5,1.5,-40.9,cyclical risk | governance risk,SUSPECT,Low profit margin and negative FCF yield raise concerns about the company's financial health,2026-03-06
2382.HK,Sunny Optical Technology (Group) Company Limited,54.95,HKD,57.0,B,57.0,Potencial +66% analistas | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Technology,HongKong,🇭🇰,10.7,91.08,65.8,25,3.7,8.22,0.9,,13.5,13.1,16.2,8.4,4.2,-40.9,cyclical risk | governance risk,SUSPECT,Low FCF yield and dividend yield compared to sector peers raise concerns about profitability and cash flow management,2026-03-06
055550.KS,"Shinhan Financial Group Co., Ltd.",91800.0,KRW,55.0,B,55.0,P/E 7.4x (vs 11x mercado) | Potencial +19% | Crecimiento ingresos +22% | Margen 32% | Dividendo 3.8%,1,0,Financial Services,Korea,🇰🇷,21.2,109540.91,19.3,22,,2.42,3.79,,8.5,7.4,,31.6,21.6,-14.4,FCF no comparable (sector financiero) | regulatory risk | cyclical risk,SUSPECT,Anomalous trailing P/E and missing FCF yield raise data quality concerns,2026-03-06
086790.KS,Hana Financial Group Inc.,110300.0,KRW,55.0,B,55.0,P/E 6.6x (vs 11x mercado) | Potencial +15% | Crecimiento ingresos +83% | Margen 32% | Dividendo 4.9%,1,0,Financial Services,Korea,🇰🇷,21.2,126325.0,14.5,24,,1.82,4.91,,9.0,6.6,,32.3,82.9,-17.5,FCF no comparable (sector financiero) | Regulatory Risk | Cyclical Risk,SUSPECT,Anomalous forward P/E of 6.6x is unusually low for a financial services company with high profit margin and revenue growth,2026-03-06
RENT3.SA,Localiza Rent a Car S.A.,46.9,BRL,55.0,B,55.0,P/E 9.4x | Potencial +25% | FCF yield 12.6% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,58.43,24.6,15,12.6,3.07,4.4,,7.2,9.4,26.6,4.5,11.7,-11.5,cyclical | governance,SUSPECT,Forward P/E and Trailing P/E discrepancy raises concerns about data quality or potential accounting irregularities,2026-03-06
012330.KS,"Hyundai Mobis Co.,Ltd",444000.0,KRW,54.0,B,54.0,P/E 8.2x | Potencial +21% | Dividendo 1.5%,0,0,Consumer Cyclical,Korea,🇰🇷,21.2,536966.7,20.9,30,3.1,2.62,1.5,,9.2,8.2,,6.9,7.4,-16.4,cyclical risk | geopolitical risk,SUSPECT,"Trailing P/E is reported as non-existent, which is unusual for a publicly traded company like Hyundai Mobis Co.,Ltd",2026-03-06
9988.HK,Alibaba Group Holding Limited,131.0,HKD,53.0,B,53.0,Potencial +49% analistas | FCF negativo | Dividendo 5.8% | Mercado HongKong CAPE 11 (33% descuento histórico),2,1,Consumer Cyclical,HongKong,🇭🇰,10.7,194.99,48.8,29,-2.0,6.11,5.82,,11.2,15.1,17.7,12.2,4.8,-29.6,regulatory risk | geopolitical risk | cyclical risk,RISKY,Negative FCF yield and low revenue growth raise concerns,2026-03-06
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,40.69,BRL,53.0,B,53.0,ROE 19.0% | P/E 3.6x (vs 10x mercado) | FCF yield 14.8% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Energy,Brazil,🇧🇷,9.0,42.58,4.7,13,14.8,0.58,11.4,,19.0,3.6,7.2,15.8,-1.3,-3.1,cyclical | geopolitical | governance,SUSPECT,Anomalous FCF yield and dividend yield for an energy company,2026-03-06
035420.KS,NAVER Corporation,222500.0,KRW,52.0,B,52.0,Potencial +47% analistas | Dividendo 1.2%,0,0,Communication Services,Korea,🇰🇷,21.2,326892.6,46.9,27,,5.86,1.2,,,14.2,,15.1,10.7,-24.6,incomplete_data | missing_key_metrics,SUSPECT,"Missing ROE and FCF Yield metrics, as well as trailing P/E, raise concerns about data quality and potential investment risks",2026-03-06
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",17.56,BRL,51.0,B,51.0,ROE 25.6% | Margen 46% | Dividendo 3.3% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,17.96,2.3,14,,0.29,3.27,,25.6,14.6,19.1,45.5,10.5,-5.7,FCF no comparable (sector financiero) | Regulatory Risk | Governance Risk,SUSPECT,High profit margin and ROE for a financial services company may indicate potential accounting or operational anomalies,2026-03-06
316140.KS,Woori Financial Group Inc.,33050.0,KRW,51.0,B,51.0,P/E 6.8x (vs 11x mercado) | Potencial +12% | Margen 31% | Dividendo 4.0%,1,0,Financial Services,Korea,🇰🇷,21.2,36895.24,11.6,21,,1.45,4.03,,8.8,6.8,,31.4,5.7,-20.4,FCF no comparable (sector financiero) | regulatory risk | cyclical risk,SUSPECT,Anomalous trailing P/E and missing FCF yield raise concerns about data quality,2026-03-06
6902.T,DENSO Corporation,2034.0,JPY,50.0,B,50.0,P/E 10.5x (vs 16x mercado) | Potencial +15% | Dividendo 3.0% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Consumer Cyclical,Japan,🇯🇵,29.4,2337.5,14.9,16,1.0,1.87,3.04,,7.9,10.5,16.0,5.2,5.0,-14.3,cyclical risk | governance risk,SUSPECT,Low ROE and profit margin for a consumer cyclical company,2026-03-06
105560.KS,KB Financial Group Inc.,147400.0,KRW,50.0,B,50.0,P/E 7.9x | Potencial +19% | Crecimiento ingresos +620% | Margen 37% | Dividendo 4.3%,1,0,Financial Services,Korea,🇰🇷,21.2,175980.95,19.4,21,,2.42,4.31,,9.7,7.9,,37.5,619.9,-14.6,FCF no comparable (sector financiero) | cyclical | regulatory,SUSPECT,Anomalous revenue growth YoY of 619.9% requires further investigation,2026-03-06
0001.HK,CK Hutchison Holdings Limited,61.45,HKD,49.0,C,49.0,P/E 10.0x | Potencial +13% | FCF yield 13.5% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Industrials,HongKong,🇭🇰,10.7,69.33,12.8,8,13.5,1.6,3.64,,2.2,10.0,30.4,2.7,2.0,-7.6,Potential earnings volatility | Governance risks due to complex conglomerate structure,SUSPECT,Anomalous trailing P/E of 30.4x seems high compared to forward P/E of 10.0x,2026-03-06
7203.T,Toyota Motor Corporation,3515.0,JPY,46.0,C,46.0,P/E 10.8x (vs 16x mercado) | Potencial +15% | FCF negativo | Dividendo 2.7% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Consumer Cyclical,Japan,🇯🇵,29.4,4033.5,14.8,17,-0.1,1.84,2.73,,10.0,10.8,12.4,7.3,8.6,-12.1,cyclical risk | geopolitical risk,SUSPECT,Negative FCF yield is anomalous for a well-established automaker like Toyota,2026-03-06
WEGE3.SA,WEG S.A.,46.71,BRL,45.0,C,45.0,ROE 32.5% | Potencial +13% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,52.89,13.2,14,2.0,1.65,3.45,,32.5,23.7,30.7,15.6,-5.3,-14.3,Ingresos en declive YoY | Cyclical Risk | Geopolitical Risk | Governance Risk,RISKY,Negative revenue growth and high P/E ratios raise concerns,2026-03-06
030200.KS,KT Corporation,59000.0,KRW,45.0,C,45.0,P/E 8.9x | Potencial +20% | Dividendo 5.0%,0,0,Communication Services,Korea,🇰🇷,21.2,70824.8,20.0,25,,2.51,5.02,,9.8,8.9,,6.5,4.1,-15.0,incomplete_data | verification_needed,SUSPECT,"Trailing P/E is reported as non-existent, which is unusual for a publicly traded company like KT Corporation.",2026-03-06
1211.HK,BYD Company Limited,94.0,HKD,44.0,C,44.0,ROE 18.5% | Potencial +33% analistas | FCF negativo | Mercado HongKong CAPE 11 (33% descuento histórico),3,1,Consumer Cyclical,HongKong,🇭🇰,10.7,125.13,33.1,28,-5.5,4.14,1.56,,18.5,16.8,59.9,4.6,-3.1,-40.8,cyclical risk | governance risk | regulatory risk,RISKY,Negative FCF yield and high trailing P/E raise concerns about the company's financial health,2026-03-06
BBAS3.SA,Banco do Brasil S.A.,25.0,BRL,42.0,C,42.0,P/E 4.7x (vs 10x mercado) | Dividendo 1.1% | Mercado Brazil CAPE 9 (34% descuento histórico),1,0,Financial Services,Brazil,🇧🇷,9.0,26.86,7.4,13,,0.93,1.08,,8.9,4.7,10.4,15.5,-31.4,-16.8,FCF no comparable (sector financiero) | Ingresos en declive YoY | cyclical risk | geopolitical risk | governance risk,RISKY,Negative revenue growth and low forward P/E raise concerns,2026-03-06
9432.T,"NTT, Inc.",151.1,JPY,42.0,C,42.0,P/E 10.4x (vs 16x mercado) | Potencial +17% | FCF negativo | Dividendo 3.5% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Communication Services,Japan,🇯🇵,29.4,176.21,16.6,14,-3.5,2.08,3.53,,10.7,10.4,12.0,7.6,5.5,-9.6,Deuda elevada (D/E >2x) | Deuda elevada | Negative FCF Yield,RISKY,Negative FCF yield and high debt-to-equity ratio are significant concerns,2026-03-06
9983.T,"Fast Retailing Co., Ltd.",65430.0,JPY,42.0,C,42.0,ROE 20.0% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Consumer Cyclical,Japan,🇯🇵,29.4,64845.93,-0.9,14,2.5,-0.11,0.76,,20.0,47.8,46.4,12.7,14.8,-6.5,Overvaluation Risk | Cyclical Sector Volatility,SUSPECT,High P/E ratios and low dividend yield raise concerns about valuation and potential overpricing,2026-03-06
8316.T,"Sumitomo Mitsui Financial Group, Inc.",5423.0,JPY,41.0,C,41.0,Crecimiento ingresos +22% | Margen 21% | Dividendo 2.9% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Financial Services,Japan,🇯🇵,29.4,5716.67,5.4,13,,0.68,2.91,,4.9,17.1,14.5,20.7,21.8,-13.7,FCF no comparable (sector financiero) | regulatory risk | cyclical risk,SUSPECT,Low ROE and missing FCF yield raise concerns for a financial services company,2026-03-06
9433.T,KDDI Corporation,2668.5,JPY,40.0,C,40.0,FCF yield 9.1% | Dividendo 3.0% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Communication Services,Japan,🇯🇵,29.4,2812.38,5.4,13,9.1,0.67,2.99,,14.2,1145.3,14.8,11.8,4.1,-5.6,Unrealistic Valuation,SUSPECT,Forward P/E of 1145.3x appears anomalous and likely incorrect for a stable company like KDDI Corporation,2026-03-06
EGIE3.SA,Engie Brasil Energia S.A.,31.81,BRL,39.0,C,39.0,ROE 21.8% | FCF negativo | Margen 20% | Dividendo 4.7% | Mercado Brazil CAPE 9 (34% descuento histórico),4,1,Utilities,Brazil,🇧🇷,9.0,31.1,-2.2,13,-1.9,-0.28,4.73,,21.8,11.2,14.1,20.1,4.5,-9.6,Deuda elevada (D/E >2x) | Deuda elevada | Negative FCF Yield,RISKY,Negative FCF yield and high debt-to-equity ratio are concerning for a utility company,2026-03-06
6758.T,Sony Group Corporation,3473.0,JPY,39.0,C,39.0,Potencial +43% analistas | FCF negativo | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Technology,Japan,🇯🇵,29.4,4969.13,43.1,23,-0.4,5.38,0.65,,14.9,19.0,16.8,-1.6,0.5,-27.3,cyclical | governance,RISKY,Negative profit margin and low revenue growth raise concerns about the company's financial health,2026-03-06
6367.T,"Daikin Industries,Ltd.",19970.0,JPY,39.0,C,39.0,Dividendo 1.7% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Industrials,Japan,🇯🇵,29.4,21855.09,9.4,16,,1.18,1.68,,9.3,20.2,21.4,5.7,7.9,-4.5,cyclical risk | governance risk,SUSPECT,Missing FCF Yield metric is unusual for an industrial company,2026-03-06
