ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,upside_triangulated_pct,upside_divergence_pts,upside_divergence,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern
TMO,0.0,,,,23.1,Thermo Fisher Scientific Inc,59.5,Healthcare,Diagnostics & Research,70.0,50.0,44.0,75.0,60.0,523.44,194521546752.0,35.0,32.3,False,down,2.1,False,0.0,1.4,False,0.0,1.2,1.8,False,643.99,-18.7,2.0,False,"{'roe_pct': 13.5, 'debt_to_equity': 0.83, 'current_ratio': 1.53, 'operating_margin_pct': 17.9}","{'eps_growth_yoy': 2.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 15.2}",596.26,750.0,490.0,27.0,buy,13.9,308.77,-41.0,205.89,-60.7,2.84,14.86,0.36,9.7,0.26,True,-2.06,6.0,11.3,19.0,2026-07-23,False,True,5.0,NEUTRAL,3.72,36.2,1.7,BULLISH,0.0,60.0,1.0,0.0,5.0,0.0,6.9,17.8,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 55% up volume)",MEGA_FLOAT,370.7,23.0,24.8,35.0,False,down,32.3,0.0,False,0.0,False,0.0,0.0,14,29.0,55.2,Medio,30.0,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,2/3,57.955,5.0,0.0,0.0,3.0,3.0,-0.49,-2.5,0.0,0.0,0.0,1.74,2.0,0.0,96,0,,8,RELIABLE/BUY (+8),,0.0,45,0.2312,BAJA,0.0,-41.0,64.8,ALTA,🔵 DECENT,🟡 Good,,,,,,,
THC,0.0,,,,14.0,Tenet Healthcare Corporation,74.0,Healthcare,Medical Care Facilities,100.0,70.0,44.0,75.0,65.0,203.72,17547829248.0,35.0,41.1,False,flat,143.8,True,1.0,9.7,True,2.0,5.5,2.7,False,247.21,-17.6,4.0,False,"{'roe_pct': 30.3, 'debt_to_equity': 1.49, 'current_ratio': 1.36, 'operating_margin_pct': 17.9}","{'eps_growth_yoy': 143.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 7.9}",243.19,288.0,210.0,21.0,strong_buy,19.4,1507.22,639.8,576.9,183.2,17.45,35.54,,,2.75,True,-7.73,4.9,87.6,20.0,2026-07-24,False,True,6.0,NEUTRAL,11.38,33.4,0.13,,,,,,17.4,0.0,4.2,22.2,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 54% up volume)",HIGH_FLOAT,85.1,20.0,26.4,35.0,False,flat,41.1,0.0,True,1.0,True,2.0,5.0,1,29.0,100.0,Top 10%,70.6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,57.30000000000001,5.0,8.0,0.0,3.0,5.0,0.0,-0.56,0.0,0.0,0.0,2.42,2.0,2.0,34,1,Appaloosa (Tepper),-8,RELIABLE/AVOID (-8),,0.0,45,0.1402,BAJA,7.4,183.2,-392.1,,🔵 DECENT,🟡 Good,,,,,,,
KO,0.0,,,,15.3,Coca-Cola Company (The),66.0,Consumer Defensive,Beverages - Non-Alcoholic,85.0,40.0,62.4,80.0,60.0,84.14,362010869760.0,60.0,68.7,False,up,3.0,True,1.0,-0.5,True,1.0,1.2,3.1,False,84.14,0.0,6.0,False,"{'roe_pct': 43.4, 'debt_to_equity': 1.25, 'current_ratio': 1.36, 'operating_margin_pct': 35.1}","{'eps_growth_yoy': 3.0, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 27.8}",85.97,92.0,71.38,24.0,buy,2.2,19.84,-76.4,57.88,-31.2,0.86,0.73,2.52,64.8,2.89,True,-0.24,11.1,18.2,24.0,2026-07-28,False,False,7.0,NEUTRAL,4.47,91.1,1.33,BEARISH,999.0,50.0,0.0,1.0,33.4,0.0,4.6,19.8,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 57% up volume)",MEGA_FLOAT,3874.0,3.0,24.4,60.0,False,up,68.7,2.0,True,1.0,True,1.0,5.0,7,29.0,79.3,Top 25%,43.8,3.0,0.0,5.0,5.0,-8.0,0.0,0.0,0.0,False,3/3,55.165000000000006,0.0,0.0,3.0,3.0,5.0,0.0,-0.1,0.0,0.0,0.0,0.28,-3.0,5.0,44,1,Berkshire Hathaway (Buffett),8,RELIABLE/BUY (+8),CONFIRM,8.0,45,0.1533,BAJA,29.1,-31.2,56.0,ALTA,🔵 DECENT,🟡 Good,,,,,,,
CME,0.0,,,,50.0,CME Group Inc.,67.8,Financial Services,Financial Data & Stock Exchanges,85.0,80.0,15.0,85.0,65.0,236.6,85488967680.0,15.0,12.8,False,down,12.6,False,0.0,11.1,True,2.0,1.6,1.5,False,329.16,-28.1,1.0,False,"{'roe_pct': 15.9, 'debt_to_equity': 0.14, 'current_ratio': 1.02, 'operating_margin_pct': 69.8}","{'eps_growth_yoy': 12.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 63.3}",301.13,353.0,230.0,15.0,buy,27.3,257.99,9.0,249.42,5.4,3.54,8.39,2.2,95.6,3.54,True,-0.94,32.9,14.9,18.0,2026-07-22,False,True,6.0,NEUTRAL,6.33,101.4,0.86,BULLISH,0.0,40.0,1.0,0.0,5.0,0.0,,20.3,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,DISTRIBUTION,25,"Moderate distribution (0.6x ratio, 37% up volume)",MEGA_FLOAT,357.3,30.0,29.1,15.0,False,down,12.8,0.0,False,0.0,True,2.0,2.0,19,29.0,37.9,Bajo 50%,23.2,0.0,0.0,0.0,-5.0,5.0,0.0,0.0,0.0,False,1/3,52.620000000000005,0.0,3.0,-2.0,3.0,3.0,-0.48,-1.74,0.0,1.0,0.0,3.41,0.0,2.0,20,0,,-5,MIXED/AVOID (-5),,0.0,45,,,0.0,9.0,20.1,MEDIA,🔵 DECENT,🟡 Average,,,,,,,
VLTO,0.0,,,,13.3,Veralto Corp,65.5,Industrials,Pollution & Treatment Controls,80.0,60.0,36.0,85.0,65.0,92.55,22730213376.0,15.0,24.8,False,flat,14.4,False,0.0,3.7,True,1.0,2.6,2.4,False,110.11,-15.9,2.0,False,"{'roe_pct': 36.5, 'debt_to_equity': 0.96, 'current_ratio': 1.48, 'operating_margin_pct': 23.8}","{'eps_growth_yoy': 14.4, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 17.3}",108.06,132.0,100.0,17.0,buy,16.8,70.46,-23.9,51.6,-44.2,3.38,3.13,0.56,12.4,,True,-1.32,14.0,13.3,19.0,2026-07-23,False,True,6.0,NEUTRAL,5.25,76.0,1.49,,,,,,0.0,0.0,4.0,19.6,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (0.9x ratio, 46% up volume)",MEGA_FLOAT,245.1,25.0,23.6,15.0,False,flat,24.8,0.0,False,0.0,True,1.0,2.0,,29.0,,Sin datos suficientes,24.8,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,1/3,52.56500000000001,8.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.1,2.0,2.0,37,0,,-5,MIXED/AVOID (-5),,0.0,45,0.1326,BAJA,0.0,-23.9,50.8,ALTA,🔵 DECENT,🟡 Average,,,,,,,
TEVA,0.0,,,,10.0,Teva Pharmaceutical Industries ,61.4,Healthcare,Drug Manufacturers - Specialty & Generic,85.0,30.0,68.3,55.0,65.0,34.64,40335749120.0,80.0,77.5,False,up,30.9,False,0.0,-4.7,False,0.0,2.9,5.6,False,37.35,-7.3,8.0,True,"{'roe_pct': 21.6, 'debt_to_equity': 2.06, 'current_ratio': 1.01, 'operating_margin_pct': 19.2}","{'eps_growth_yoy': 30.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 9.0}",40.9,50.0,33.0,10.0,strong_buy,18.1,95.11,174.6,40.2,16.1,6.47,2.24,,,2.95,False,,2.5,72.2,25.0,2026-07-29,False,False,8.0,STRONG,4.0,43.5,0.16,,,,,,34.4,0.0,3.0,18.4,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (0.9x ratio, 48% up volume)",MEGA_FLOAT,1083.1,5.0,21.4,80.0,False,up,77.5,5.0,False,0.0,False,0.0,0.0,10,29.0,69.0,Medio,40.1,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,False,2/3,52.56,5.0,6.0,0.0,0.0,5.0,0.0,-0.9,0.0,0.0,0.0,2.26,2.0,10.0,78,1,Appaloosa (Tepper),-8,RELIABLE/AVOID (-8),,0.0,45,0.0996,BAJA,30.14,18.1,-77.2,,🔵 DECENT,🟡 Average,,,,,,,
NDAQ,0.0,,,,25.1,"Nasdaq, Inc.",58.3,Financial Services,Financial Data & Stock Exchanges,85.0,50.0,24.0,60.0,65.0,84.66,47878684672.0,15.0,20.1,False,down,14.8,False,0.0,2.2,False,0.0,2.3,2.8,False,101.79,-16.8,2.0,False,"{'roe_pct': 16.2, 'debt_to_equity': 0.79, 'current_ratio': 1.0, 'operating_margin_pct': 48.4}","{'eps_growth_yoy': 14.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.3}",106.13,120.0,82.0,15.0,buy,25.4,116.95,38.1,99.6,17.6,3.26,2.76,1.32,32.5,1.28,True,-2.19,7.8,33.8,19.0,2026-07-23,False,True,9.0,STRONG,4.39,205.3,0.56,,,,,,0.0,0.0,7.5,17.5,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.0x ratio, 50% up volume)",MEGA_FLOAT,503.0,23.0,25.0,15.0,False,down,20.1,0.0,False,0.0,False,0.0,0.0,19,29.0,37.9,Bajo 50%,23.2,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,52.075,0.0,3.0,0.0,3.0,5.0,0.0,-0.31,0.0,0.0,0.0,3.18,0.0,10.0,23,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,43,0.2513,BAJA,0.0,25.4,-2.5,,🔵 DECENT,🟡 Average,,,,,,,
FDS,0.0,,,,9.2,FactSet Research Systems Inc.,49.3,Financial Services,Financial Data & Stock Exchanges,55.0,50.0,24.0,70.0,50.0,250.09,8894586880.0,15.0,15.4,False,flat,-10.4,False,0.0,4.4,False,0.0,17.2,5.8,True,453.41,-44.8,3.0,False,"{'roe_pct': 27.0, 'debt_to_equity': 0.77, 'current_ratio': 0.68, 'operating_margin_pct': 30.5}","{'eps_growth_yoy': -10.4, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 23.2}",250.69,380.0,200.0,16.0,hold,0.2,256.99,2.8,151.8,-39.3,6.98,17.47,1.86,29.4,1.0,True,-5.51,14.2,-3.8,75.0,2026-09-17,False,False,6.0,NEUTRAL,7.65,187.1,,,,,,,3.0,0.0,2.8,14.8,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,NEUTRAL,55,"No clear pattern (0.9x ratio, 46% up volume)",MEDIUM_FLOAT,35.4,20.0,17.5,15.0,False,flat,15.4,0.0,False,0.0,False,0.0,0.0,19,29.0,37.9,Bajo 50%,23.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1/3,50.68,0.0,6.0,3.0,3.0,0.0,1.03,-0.62,1.0,1.0,1.5,0.02,-3.0,2.0,5,0,,-8,RELIABLE/AVOID (-8),BEST,11.0,14,0.0925,BAJA,4.93,0.2,18.4,,🔵 DECENT,🟡 Average,,,,,,,
MCO,0.0,,,,22.9,Moody's Corporation,68.0,Financial Services,Financial Data & Stock Exchanges,95.0,60.0,44.0,65.0,60.0,490.51,85680537600.0,35.0,32.4,False,flat,14.4,True,1.0,9.5,True,1.0,2.3,3.5,False,546.88,-10.3,3.0,False,"{'roe_pct': 71.4, 'debt_to_equity': 2.36, 'current_ratio': 1.16, 'operating_margin_pct': 45.7}","{'eps_growth_yoy': 14.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 31.7}",536.5,610.0,489.0,20.0,buy,9.4,233.63,-52.4,139.3,-71.6,2.64,12.97,0.84,27.6,0.8,False,,12.7,7.8,19.0,2026-07-23,False,True,7.0,NEUTRAL,3.72,,3.38,,,,,,15.3,0.0,6.9,20.4,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 55% up volume)",HIGH_FLOAT,160.0,20.0,27.3,35.0,False,flat,32.4,0.0,True,1.0,True,1.0,5.0,19,29.0,37.9,Bajo 50%,23.2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,2/3,50.345000000000006,0.0,0.0,0.0,0.0,3.0,0.0,0.09,0.0,0.0,0.0,1.18,0.0,5.0,,1,Berkshire Hathaway (Buffett),-8,RELIABLE/AVOID (-8),CONFIRM,8.0,45,0.2287,BAJA,15.8,-52.4,71.4,ALTA,🔵 DECENT,🟡 Average,,,,,,,
RACE,0.0,,,,7.6,Ferrari N.V.,67.2,Consumer Cyclical,Auto Manufacturers,75.0,70.0,38.7,90.0,60.0,384.97,67728605184.0,15.0,21.4,False,up,-2.7,True,2.0,3.4,True,2.0,2.8,4.6,False,519.1,-25.8,2.0,False,"{'roe_pct': 42.0, 'debt_to_equity': 0.72, 'current_ratio': 2.57, 'operating_margin_pct': 29.5}","{'eps_growth_yoy': -2.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}",441.26,526.2,393.17,14.0,strong_buy,14.6,82.45,-78.6,102.4,-73.4,1.46,5.6,1.1,33.2,0.66,True,-0.87,55.0,1.3,26.0,2026-07-30,False,False,9.0,STRONG,3.05,38.6,24.17,,,,,,7.399999999999999,0.0,2.3,20.2,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,33,150 MA below 200 MA - not in Stage 2,ACCUMULATION,60,"Moderate accumulation (1.3x ratio, 52% up volume)",HIGH_FLOAT,173.9,20.0,22.4,15.0,False,up,21.4,2.0,True,2.0,True,2.0,8.0,,29.0,,Sin datos suficientes,21.4,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,50.260000000000005,0.0,0.0,0.0,3.0,1.0,1.27,0.53,1.0,1.0,1.5,1.82,2.0,10.0,107,0,,-8,RELIABLE/AVOID (-8),WATCH,0.0,17,0.0765,BAJA,0.0,-73.4,90.6,ALTA,🔵 DECENT,🟡 Average,,,,,,,
BAC,0.0,,,,13.4,Bank of America Corporation,72.2,Financial Services,Banks - Diversified,95.0,60.0,64.7,65.0,60.0,58.73,416782778368.0,80.0,78.3,False,up,20.6,True,1.0,14.4,False,0.0,0.0,0.0,False,59.2,-0.8,8.0,True,"{'roe_pct': 10.6, 'operating_margin_pct': 36.0}","{'eps_growth_yoy': 20.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 29.0}",64.12,71.0,57.5,21.0,strong_buy,9.2,,,98.33,67.4,,,1.91,27.3,2.35,True,-6.03,,24.4,10.0,2026-07-14,False,True,5.0,NEUTRAL,,,0.47,,,,,,44.7,0.0,4.0,21.7,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",MEGA_FLOAT,7069.1,3.0,25.7,80.0,False,up,78.3,5.0,True,1.0,False,0.0,2.0,,29.0,,Sin datos suficientes,78.3,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,False,3/3,49.55,0.0,0.0,3.0,3.0,5.0,0.87,1.52,0.0,0.0,0.0,1.15,0.0,0.0,,1,Berkshire Hathaway (Buffett),0,RELIABLE/INSUFFICIENT (0),,0.0,45,0.1342,BAJA,37.22,38.3,-58.2,,⚪ WEAK,🟡 Average,AVOID,35.0,Near ATH (-0.8% from high) - poor entry point,-0.8,NEUTRAL,STRONG_BUY,False
DBOEY,0.0,,,,25.0,Deutsche Boerse AG,65.7,Financial Services,Financial Data & Stock Exchanges,95.0,50.0,36.0,80.0,55.0,28.2,51353874432.0,15.0,20.3,False,down,11.4,True,1.0,8.5,False,0.0,,,False,32.2,-12.4,4.0,False,"{'roe_pct': 19.2, 'debt_to_equity': 0.65, 'current_ratio': 1.01, 'operating_margin_pct': 43.6}","{'eps_growth_yoy': 11.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 27.3}",34.86,34.86,34.86,1.0,none,23.6,,,15.62,-44.6,,,1.73,35.4,1.9,,,,6.1,18.0,2026-07-22,False,True,5.0,NEUTRAL,5.44,66.8,1.49,,,,,,7.199999999999999,0.0,7.5,19.7,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,66,200 MA declining - structural weakness,NEUTRAL,40,"No clear pattern (0.8x ratio, 45% up volume)",MEGA_FLOAT,1822.3,25.0,27.2,15.0,False,down,20.3,0.0,True,1.0,False,0.0,2.0,19,29.0,37.9,Bajo 50%,23.2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,False,1/3,48.53,0.0,0.0,3.0,0.0,3.0,0.46,-1.51,0.0,2.0,0.0,2.95,2.0,0.0,38,0,,3,MIXED/BUY (+3),,0.0,44,0.2499,BAJA,15.57,-10.5,68.2,ALTA,⚪ WEAK,🟡 Average,,,,,,,
WM,0.0,,,,17.3,"Waste Management, Inc.",46.5,Industrials,Waste Management,50.0,40.0,44.0,45.0,60.0,230.4,92523053056.0,35.0,33.3,False,flat,-0.4,False,0.0,-3.2,True,1.0,1.6,2.9,False,248.13,-7.1,5.0,False,"{'roe_pct': 29.9, 'debt_to_equity': 2.28, 'current_ratio': 0.93, 'operating_margin_pct': 17.5}","{'eps_growth_yoy': -0.4, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 11.0}",256.04,285.0,210.0,25.0,buy,11.1,119.86,-48.0,91.9,-60.1,2.31,5.32,1.54,49.5,1.49,True,-0.37,4.9,13.3,24.0,2026-07-28,False,False,8.0,STRONG,3.76,21.3,1.87,,,,,,19.1,0.0,5.2,13.9,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,True,66,Passes Minervini Template (4/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 54% up volume)",MEGA_FLOAT,400.4,8.0,19.1,35.0,False,flat,33.3,0.0,False,0.0,True,1.0,2.0,17,29.0,44.8,Bajo 50%,27.6,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,3/3,47.465,8.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.39,2.0,10.0,104,0,,-8,RELIABLE/AVOID (-8),WATCH,3.0,45,0.1734,BAJA,18.15,-48.0,65.1,ALTA,⚪ WEAK,🟡 Average,,,,,,,
JKHY,0.0,,,,50.0,"Jack Henry & Associates, Inc.",59.9,Technology,Information Technology Services,65.0,60.0,23.0,95.0,65.0,146.87,10435228672.0,35.0,25.3,False,down,-3.7,True,1.0,3.4,True,1.0,8.3,2.8,True,193.39,-24.1,3.0,False,"{'roe_pct': 24.9, 'debt_to_equity': 0.06, 'current_ratio': 1.74, 'operating_margin_pct': 24.4}","{'eps_growth_yoy': -3.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 20.6}",185.46,208.0,161.0,13.0,buy,26.3,114.65,-21.9,89.38,-39.1,3.58,5.26,1.62,32.8,1.22,True,-2.73,123.3,12.5,45.0,2026-08-18,False,False,9.0,STRONG,5.65,162.7,1.65,,,,,,10.7,0.0,,18.0,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.5x ratio, 58% up volume)",HIGH_FLOAT,70.6,20.0,25.7,35.0,False,down,25.3,0.0,True,1.0,True,1.0,5.0,29,29.0,3.4,Bottom 25%,9.2,-3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,47.25999999999999,0.0,3.0,3.0,3.0,3.0,-0.62,-1.98,0.0,2.0,0.0,3.29,0.0,10.0,14,0,,-8,RELIABLE/AVOID (-8),,0.0,43,,,5.99,-21.9,56.8,ALTA,⚪ WEAK,🟡 Average,,,,,,,
SYK,0.0,,,,50.0,Stryker Corporation,47.5,Healthcare,Medical Devices,50.0,30.0,36.0,75.0,65.0,326.54,125182631936.0,15.0,22.3,False,down,-15.7,False,0.0,-0.0,False,0.0,1.7,2.2,False,404.87,-19.3,2.0,False,"{'roe_pct': 15.2, 'debt_to_equity': 0.66, 'current_ratio': 2.11, 'operating_margin_pct': 17.8}","{'eps_growth_yoy': -15.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 13.2}",386.8,465.0,315.0,25.0,buy,18.5,265.54,-18.7,122.83,-62.4,3.48,11.37,1.08,39.8,0.99,False,,35.5,14.2,26.0,2026-07-30,False,False,5.0,NEUTRAL,3.73,47.3,1.38,,,,,,0.0,0.0,,14.2,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",MEGA_FLOAT,347.6,23.0,20.4,15.0,False,down,22.3,0.0,False,0.0,False,0.0,0.0,23,29.0,24.1,Bottom 25%,19.1,-3.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,47.0,5.0,3.0,0.0,0.0,3.0,0.0,-0.63,0.0,0.0,0.0,2.31,2.0,0.0,87,0,,2,RELIABLE/WATCH (+2),,0.0,10,,,0.0,-18.7,59.0,ALTA,⚪ WEAK,🟡 Average,,,,,,,
ETN,0.0,,,,21.6,"Eaton Corporation, PLC",59.5,Industrials,Specialty Industrial Machinery,50.0,70.0,52.4,70.0,60.0,398.52,154745307136.0,35.0,46.4,False,down,-11.8,False,0.0,6.0,True,2.0,2.4,3.7,False,436.74,-8.8,5.0,False,"{'roe_pct': 20.8, 'debt_to_equity': 1.1, 'current_ratio': 1.19, 'operating_margin_pct': 16.1}","{'eps_growth_yoy': -11.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 14.0}",455.79,534.0,321.0,25.0,buy,14.4,100.29,-74.8,102.0,-74.4,1.71,6.82,1.1,41.3,1.55,True,-0.81,16.5,-9.4,31.0,2026-08-04,False,False,7.0,NEUTRAL,2.94,64.1,,,,,,,25.3,0.0,6.5,17.8,2026-07-03 20:42:01,2026-07-03,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),DISTRIBUTION,35,"Moderate distribution (0.8x ratio, 45% up volume)",MEGA_FLOAT,387.7,10.0,24.3,35.0,False,down,46.4,0.0,False,0.0,True,2.0,2.0,8,29.0,75.9,Top 25%,42.4,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,2/3,46.879999999999995,8.0,0.0,0.0,3.0,0.0,0.86,0.9,1.0,0.0,0.0,1.8,2.0,5.0,98,0,,0,MIXED/WATCH (0),WATCH,0.0,43,0.2156,BAJA,19.45,-74.4,89.0,ALTA,⚪ WEAK,🟡 Average,,,,,,,
