ticker,vcp_score,vcp_quality,stage,consolidation_quality,ml_score,company_name,fundamental_score,sector,industry,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,current_price,market_cap,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,health_details,earnings_details,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,sentiment,put_call_ratio,flow_score,unusual_calls,unusual_puts,super_score_ultimate,vcp_contribution,ml_contribution,fundamental_contribution,score_timestamp,data_as_of_date,market_regime,market_recommendation,ma_filter_pass,ma_filter_score,ma_filter_reason,ad_signal,ad_score,ad_reason,float_category,shares_outstanding_millions,filter_penalty,super_score_before_filters,rs_line_score_fund,rs_line_at_new_high_fund,rs_line_trend_fund,rs_line_percentile_fund,rs_line_bonus,eps_accelerating_fund2,eps_accel_quarters_fund2,rev_accelerating_fund2,rev_accel_quarters_fund2,canslim_a_bonus,industry_group_rank,industry_group_total,industry_group_percentile,industry_group_label,industry_group_rs,industry_bonus,short_bonus,proximity_bonus,trend_bonus,options_bonus,institutional_bonus,insider_bonus,profitability_penalty,negative_roe,filters_passed,value_score,sector_bonus,mr_bonus,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,target_change_7d_pct,target_change_30d_pct,upgrade_days_14d,downgrade_days_14d,target_revision_bonus,upside_triangulated_pct,upside_divergence_pts,upside_divergence,risk_reward_ratio,rr_bonus,piotroski_bonus,magic_formula_rank,hedge_fund_count,hedge_fund_names,oe_ai_adjustment,oe_ai_verdict,cerebro_signal,cerebro_score_adj,days_in_list,ml_win_probability,ml_win_label,momentum_score,tier,quality,validation_status,validation_score,validation_reason,price_vs_ath,recent_news_sentiment,analyst_consensus,valuation_concern,why_cheap,why_cheap_resumen,why_cheap_fuentes,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason
TW,0.0,,,,50.5,Tradeweb Markets Inc.,56.0,Financial Services,Capital Markets,65.0,50.0,24.0,85.0,65.0,105.34,22966859776.0,15.0,17.6,False,up,-2.3,True,1.0,9.9,False,0.0,3.2,2.3,False,127.69,-17.5,3.0,False,"{'roe_pct': 14.5, 'debt_to_equity': 0.02, 'current_ratio': 6.79, 'operating_margin_pct': 43.8}","{'eps_growth_yoy': -2.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 40.7}",123.71,178.0,98.0,14.0,buy,17.4,,,,,4.64,9.17,0.54,12.4,0.4,True,-1.5,633.6,13.8,55.0,2026-10-29,False,False,8.0,STRONG,5.6,57.1,1.16,,,,,,15.9,0.0,15.1,16.8,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,33,Price below 150/200 MA - weak trend,ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 56% up volume)",HIGH_FLOAT,113.8,20.0,31.9,15.0,False,up,17.6,2.0,True,1.0,False,0.0,2.0,,29.0,,Sin datos suficientes,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,53.32499999999999,0.0,0.0,3.0,0.0,3.0,3.0,0.0,-1.37,0.0,0.0,0.0,,,,2.17,2.0,10.0,36.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,46,0.5049,MEDIA,5.6000000000000005,🔵 DECENT,🟡 Average,,,,,,,,SENTIMIENTO,"La caída responde a una rebaja de valoración por parte de analistas tras la fuerte subida previa y a preocupación por compresión de comisiones (mix de producto), no a deterioro del negocio, que mantiene márgenes en expansión y balance sólido (rebaja TD Cowen ~abril 2026).",https://finance.yahoo.com/markets/stocks/articles/why-tradeweb-markets-tw-shares-010902308.html | https://simplywall.st/stocks/us/diversified-financials/nasdaq-tw/tradeweb-markets/future | https://simplywall.st/stocks/us/diversified-financials/nasdaq-tw/tradeweb-markets | https://finance.yahoo.com/markets/stocks/articles/look-tradeweb-markets-tw-valuation-221618134.html,104.37,100.28,136.09,3.92,30.39,BUY NOW - At target entry price,False,2,0.754,False,-17.28,15.38,-30.82,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
FHN,0.0,,,,40.5,First Horizon Corporation,59.0,Financial Services,Banks - Regional,85.0,40.0,44.0,65.0,50.0,24.96,11825477632.0,35.0,31.4,False,down,3.1,True,1.0,-0.5,True,1.0,0.0,0.0,False,26.56,-6.0,5.0,False,"{'roe_pct': 11.5, 'operating_margin_pct': 41.3}","{'eps_growth_yoy': 3.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 30.2}",28.11,31.0,25.0,19.0,none,12.6,36.77,47.3,42.2,69.1,5.03,1.26,2.77,30.8,3.28,True,-7.93,,10.0,40.0,2026-10-14,False,False,5.0,NEUTRAL,,,0.54,,,,,,40.9,0.0,12.2,17.7,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 52% up volume)",MEGA_FLOAT,468.3,3.0,29.9,35.0,False,down,31.4,0.0,True,1.0,True,1.0,5.0,6.0,29.0,82.8,Top 25%,40.8,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,3/3,52.625,0.0,0.0,6.0,3.0,3.0,3.0,0.0,0.56,0.0,0.0,0.0,47.3,-45.6,,1.58,2.0,0.0,,1,Appaloosa (Tepper),0,MIXED/INSUFFICIENT (0),,0.0,45,0.4047,BAJA,19.4,🔵 DECENT,🟡 Average,,,,,,,,,,,24.46,23.37,30.6,4.45,25.09,BUY ON PULLBACK - Wait for 2-5% dip,False,2,0.848,False,-5.56,28.71,-4.57,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
VRSN,87.61111111111111,Excellent,Stage 2 Strong,19.2197203755594,46.8,"VeriSign, Inc.",62.5,Technology,Software - Infrastructure,75.0,60.0,57.6,50.0,60.0,293.35,26518841344.0,60.0,53.9,False,up,1.7,False,0.0,3.7,True,1.0,1.7,1.7,False,312.48,-6.1,7.0,True,"{'current_ratio': 0.59, 'operating_margin_pct': 68.2}","{'eps_growth_yoy': 1.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 49.8}",321.4,355.0,270.0,5.0,buy,9.6,165.22,-43.7,93.3,-68.2,3.14,9.21,1.12,34.3,,True,-3.39,15.5,5.4,48.0,2026-10-22,False,False,8.0,STRONG,4.12,512.5,3.47,,,,,,86.8,35.0,14.0,18.8,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 57% up volume)",HIGH_FLOAT,84.9,0.0,67.8,60.0,False,up,53.9,2.0,False,0.0,True,1.0,2.0,3.0,29.0,93.1,Top 10%,56.0,5.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,False,3/3,52.34,0.0,0.0,3.0,0.0,3.0,3.0,1.07,1.07,1.0,0.0,1.5,-43.7,65.6,ALTA,1.2,0.0,10.0,22.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),CONFIRM,11.0,46,0.4675,MEDIA,69.55555555555556,🔵 DECENT,🟡 Average,HOLD,55.0,Close to ATH (-6.1% from high) - wait for pullback,-6.1,NEUTRAL,BUY,False,,,,287.48,265.4,360.03,7.68,25.24,BUY NOW - At target entry price,True,3,0.867,False,-5.85,41.77,5.41,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
NDAQ,0.0,,,,40.1,"Nasdaq, Inc.",74.1,Financial Services,Financial Data & Stock Exchanges,85.0,80.0,56.7,75.0,60.0,98.71,55176654848.0,60.0,56.4,False,up,19.9,False,0.0,29.3,True,1.0,2.4,2.6,False,101.79,-3.0,5.0,False,"{'roe_pct': 16.5, 'debt_to_equity': 0.78, 'current_ratio': 1.01, 'operating_margin_pct': 49.3}","{'eps_growth_yoy': 19.9, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 35.0}",109.8,135.0,84.0,15.0,buy,11.2,70.38,-28.7,49.77,-49.6,3.07,3.03,,,,True,-2.36,8.3,14.1,48.0,2026-10-22,False,False,9.0,STRONG,3.91,205.3,1.5,,,,,,26.3,0.0,12.0,22.2,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 55% up volume)",MEGA_FLOAT,496.5,23.0,34.3,60.0,False,up,56.4,2.0,False,0.0,True,1.0,2.0,5.0,29.0,86.2,Top 25%,43.6,3.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,False,2/3,52.14500000000001,0.0,0.0,3.0,0.0,3.0,3.0,0.0,-0.24,0.0,0.0,0.0,-28.7,50.3,ALTA,1.4,2.0,10.0,33.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,46,0.4012,BAJA,26.91,🔵 DECENT,🟡 Average,,,,,,,,,,,99.7,92.17,119.51,7.55,19.87,BUY NOW - At target entry price,False,2,0.783,False,-2.37,28.95,-3.22,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback
NDSN,0.0,,,,35.7,Nordson Corporation,55.8,Industrials,Specialty Industrial Machinery,50.0,40.0,60.3,85.0,60.0,317.49,17689890816.0,60.0,72.6,False,flat,-6.7,False,0.0,-0.1,True,1.0,3.0,4.6,False,339.12,-6.4,8.0,True,"{'roe_pct': 17.8, 'debt_to_equity': 0.56, 'current_ratio': 1.82, 'operating_margin_pct': 27.4}","{'eps_growth_yoy': -6.7, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 18.6}",349.71,375.0,282.0,7.0,buy,10.1,361.33,13.8,227.7,-28.3,3.47,11.02,1.19,33.2,1.08,True,-1.64,7.7,16.1,96.0,2026-12-09,False,False,7.0,NEUTRAL,3.62,65.0,1.07,,,,,,45.4,0.0,10.7,16.7,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 52% up volume)",MEDIUM_FLOAT,49.6,0.0,27.4,60.0,False,flat,72.6,0.0,False,0.0,True,1.0,2.0,8.0,29.0,75.9,Top 25%,39.8,3.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,False,3/3,50.80499999999999,0.0,0.0,3.0,0.0,3.0,5.0,0.0,10.37,2.0,0.0,0.0,10.1,17.4,,1.26,2.0,5.0,84.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,3.0,46,0.3573,BAJA,29.58,🔵 DECENT,🟡 Average,,,,,,,,,,,311.14,296.86,390.51,4.59,25.51,BUY ON PULLBACK - Wait for 2-5% dip,True,3,0.999,False,-6.38,45.98,1.45,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado
CBOE,66.8,Good,Stage 2 Strong,27.11734691997296,13.0,"Cboe Global Markets, Inc.",77.3,Financial Services,Financial Data & Stock Exchanges,85.0,90.0,46.7,100.0,50.0,298.5,31172659200.0,35.0,40.7,False,up,17.4,False,0.0,26.4,True,2.0,3.0,2.9,False,371.18,-19.6,6.0,False,"{'roe_pct': 26.3, 'debt_to_equity': 0.28, 'current_ratio': 1.56, 'operating_margin_pct': 34.6}","{'eps_growth_yoy': 17.4, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 26.7}",315.14,356.0,258.0,14.0,hold,5.6,275.43,-7.7,390.3,30.8,2.18,6.49,1.17,22.4,1.29,True,-0.24,36.6,20.1,56.0,2026-10-30,False,False,8.0,STRONG,5.33,70.3,0.39,,,,,,65.8,26.7,3.9,23.2,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.5x ratio, 58% up volume)",HIGH_FLOAT,104.0,0.0,53.8,35.0,False,up,40.7,2.0,False,0.0,True,2.0,2.0,5.0,29.0,86.2,Top 25%,43.6,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,False,3/3,49.57,0.0,0.0,0.0,0.0,3.0,5.0,0.0,-0.27,0.0,1.0,0.0,5.6,-6.0,,0.7,-3.0,10.0,34.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,0.0,46,0.1304,BAJA,48.63,⚪ WEAK,🟡 Average,BUY,85.0,Good pullback (-19.6% from high) - valid VCP setup,-19.6,NEUTRAL,HOLD,False,,,,292.53,269.13,389.39,8.0,33.11,BUY ON PULLBACK - Wait for 2-5% dip,False,2,0.88,False,-19.19,31.78,-16.04,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
NYT,0.0,,,,39.0,The New York Times Company,63.5,Communication Services,Publishing,90.0,60.0,24.0,75.0,55.0,67.06,10815676416.0,15.0,10.4,False,down,14.4,True,1.0,8.8,True,1.0,7.3,5.3,False,87.1,-23.0,3.0,False,"{'roe_pct': 19.7, 'current_ratio': 1.58, 'operating_margin_pct': 17.1}","{'eps_growth_yoy': 14.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.3}",77.67,90.0,63.0,9.0,none,15.8,66.38,-1.0,33.32,-50.3,4.25,2.87,1.36,32.1,0.95,True,-1.61,857.1,7.0,61.0,2026-11-04,False,False,8.0,STRONG,4.46,52.8,1.53,,,,,,13.8,0.0,11.7,19.1,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,50,Price below 150/200 MA - weak trend,NEUTRAL,40,"No clear pattern (1.0x ratio, 48% up volume)",HIGH_FLOAT,133.7,22.0,30.8,15.0,False,down,10.4,0.0,True,1.0,True,1.0,5.0,,29.0,,Sin datos suficientes,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1/3,49.35,8.0,0.0,3.0,0.0,3.0,3.0,0.0,-6.92,0.0,1.0,0.0,-1.0,41.4,ALTA,1.98,2.0,10.0,62.0,1,Berkshire Hathaway (Buffett),0,UNRELIABLE/INSUFFICIENT (0),,0.0,46,0.3899,BAJA,6.35,⚪ WEAK,🟡 Average,,,,,,,,,,,65.72,61.89,89.17,5.83,35.68,BUY NOW - At target entry price,False,1,0.665,False,-22.77,25.01,-31.74,downtrend,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
CVX,0.0,,,,0.2,Chevron Corporation,85.1,Energy,Oil & Gas Integrated,100.0,100.0,56.7,85.0,60.0,211.32,414526013440.0,60.0,52.7,False,up,241.1,True,2.0,39.5,True,2.0,0.8,2.0,False,214.71,-1.6,7.0,True,"{'roe_pct': 12.2, 'debt_to_equity': 0.19, 'current_ratio': 1.25, 'operating_margin_pct': 21.9}","{'eps_growth_yoy': 241.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 9.8}",218.29,241.0,175.0,24.0,buy,3.3,474.19,124.4,311.4,47.4,5.29,11.18,3.36,67.2,3.95,True,-2.69,22.5,321.9,56.0,2026-10-30,False,False,5.0,NEUTRAL,4.67,9.3,0.05,,,,,,44.6,0.0,0.1,25.5,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",MEGA_FLOAT,1868.5,3.0,25.6,60.0,False,up,52.7,2.0,True,2.0,True,2.0,8.0,,29.0,,Sin datos suficientes,52.7,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,False,3/3,49.05,8.0,0.0,6.0,5.0,3.0,5.0,0.0,0.71,0.0,0.0,0.0,47.4,-82.6,,0.41,-3.0,0.0,97.0,1,Berkshire Hathaway (Buffett),0,MIXED/INSUFFICIENT (0),,0.0,28,0.0019,BAJA,34.01,⚪ WEAK,🟡 Average,,,,,,,,,,,213.43,196.36,254.41,8.0,19.2,BUY NOW - At target entry price,True,3,0.895,False,-0.88,48.28,-2.35,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback
UNH,0.0,,,,50.0,UnitedHealth Group Incorporated,69.7,Healthcare,Healthcare Plans,100.0,50.0,66.0,50.0,65.0,400.94,359881670656.0,60.0,65.0,False,down,84.4,True,1.0,0.1,False,0.0,1.9,3.0,False,461.62,-13.1,6.0,False,"{'roe_pct': 14.2, 'debt_to_equity': 0.69, 'current_ratio': 0.78, 'operating_margin_pct': 7.1}","{'eps_growth_yoy': 84.4, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 3.1}",475.23,529.0,313.0,26.0,buy,18.5,1146.78,186.0,468.0,16.7,6.74,27.04,2.32,57.5,1.65,True,-0.71,4.7,61.5,53.0,2026-10-27,False,False,6.0,NEUTRAL,4.57,173.8,0.29,,,,,,34.9,0.0,,20.9,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,True,100,Passes Minervini Template (6/6 criteria),NEUTRAL,40,"No clear pattern (1.0x ratio, 48% up volume)",MEGA_FLOAT,895.0,5.0,29.9,60.0,False,down,65.0,0.0,True,1.0,False,0.0,2.0,,29.0,,Sin datos suficientes,65.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,False,2/3,48.88,0.0,0.0,6.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,18.5,-82.8,,2.31,2.0,2.0,19.0,0,,0,MIXED/INSUFFICIENT (0),,0.0,46,,,23.47,⚪ WEAK,🟡 Average,,,,,,,,,,,392.92,376.15,507.83,4.27,29.24,BUY ON PULLBACK - Wait for 2-5% dip,False,2,0.725,False,-13.15,57.53,26.25,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
V,0.0,,,,35.7,Visa Inc.,72.3,Financial Services,Credit Services,85.0,70.0,63.9,70.0,60.0,378.75,707144187904.0,60.0,58.9,False,up,10.6,False,0.0,8.5,True,2.0,1.3,3.2,False,385.57,-1.8,5.0,False,"{'roe_pct': 61.2, 'debt_to_equity': 0.68, 'current_ratio': 0.98, 'operating_margin_pct': 66.1}","{'eps_growth_yoy': 10.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 50.8}",419.36,466.0,330.0,37.0,strong_buy,10.7,,,,,2.89,11.97,0.71,22.1,0.71,True,-3.02,35.7,10.2,53.0,2026-10-27,False,False,6.0,NEUTRAL,3.76,381.9,2.47,BULLISH,0.07,80.0,5.0,2.0,26.4,0.0,10.7,21.7,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.3x ratio, 56% up volume)",MEGA_FLOAT,1703.4,23.0,32.4,60.0,False,up,58.9,2.0,False,0.0,True,2.0,2.0,12.0,29.0,62.1,Medio,36.0,0.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,False,2/3,48.705,0.0,0.0,0.0,0.0,3.0,3.0,0.35,1.27,0.0,0.0,0.0,,,,1.34,2.0,2.0,36.0,0,,0,MIXED/INSUFFICIENT (0),EXIT,-18.0,46,0.3573,BAJA,26.73,⚪ WEAK,🟡 Average,,,,,,,,,,,382.54,351.93,457.5,8.0,19.6,BUY NOW - At target entry price,False,2,0.844,False,-1.77,29.38,4.21,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback
MSCI,0.0,,,,17.4,MSCI Inc.,56.2,Financial Services,Financial Data & Stock Exchanges,75.0,50.0,36.0,50.0,65.0,574.65,41777057792.0,15.0,16.9,False,flat,5.1,False,0.0,9.3,False,0.0,1.8,1.4,False,644.77,-10.9,5.0,False,"{'current_ratio': 0.89, 'operating_margin_pct': 56.3}","{'eps_growth_yoy': 5.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 40.7}",692.06,760.0,570.0,17.0,strong_buy,20.4,473.77,-17.6,358.29,-37.7,2.86,16.43,1.46,42.1,1.01,True,-6.5,7.2,19.6,46.0,2026-10-20,False,False,8.0,STRONG,3.55,851.3,1.3,BULLISH,0.0,50.0,2.0,0.0,36.1,0.0,5.2,16.9,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,True,83,Passes Minervini Template (5/6 criteria),ACCUMULATION,60,"Moderate accumulation (1.1x ratio, 50% up volume)",HIGH_FLOAT,69.0,0.0,22.1,15.0,False,flat,16.9,0.0,False,0.0,False,0.0,0.0,5.0,29.0,86.2,Top 25%,43.6,3.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,False,3/3,47.6,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,-17.6,48.0,ALTA,2.55,2.0,10.0,39.0,0,,0,MIXED/INSUFFICIENT (0),WATCH,0.0,46,0.1738,BAJA,19.12,⚪ WEAK,🟡 Average,,,,,,,,,,,563.16,539.51,719.42,4.2,27.75,BUY ON PULLBACK - Wait for 2-5% dip,False,2,0.643,False,-10.56,15.96,-13.92,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
SAP,0.0,,,,41.9,SAP SE,67.1,Technology,Software - Application,75.0,60.0,50.3,90.0,60.0,217.03,250496958464.0,35.0,37.8,False,up,8.8,False,0.0,8.8,True,1.0,0.7,2.3,False,281.37,-22.9,4.0,False,"{'roe_pct': 18.3, 'debt_to_equity': 0.22, 'current_ratio': 1.15, 'operating_margin_pct': 27.6}","{'eps_growth_yoy': 8.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.4}",247.25,319.0,177.0,12.0,buy,13.9,388.29,78.9,240.9,11.0,4.22,9.16,1.4,37.5,1.48,True,-1.16,20.7,30.6,47.0,2026-10-21,False,False,8.0,STRONG,0.31,146.7,0.73,,,,,,13.700000000000005,0.0,12.6,20.1,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,50,150 MA below 200 MA - not in Stage 2,ACCUMULATION,65,"Moderate accumulation (1.4x ratio, 58% up volume)",MEGA_FLOAT,14500.7,23.0,32.7,35.0,False,up,37.8,2.0,False,0.0,True,1.0,2.0,18.0,29.0,41.4,Bajo 50%,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2/3,47.13499999999999,0.0,0.0,3.0,0.0,3.0,5.0,0.78,1.78,2.0,0.0,0.0,13.9,-31.1,,1.74,2.0,10.0,82.0,0,,0,UNRELIABLE/INSUFFICIENT (0),CAUTION,-11.0,31,0.4195,BAJA,6.709999999999999,⚪ WEAK,🟡 Average,,,,,,,,,,,212.69,197.36,286.63,7.21,34.76,BUY ON PULLBACK - Wait for 2-5% dip,False,2,0.97,False,-21.53,49.71,-6.43,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias
RACE,0.0,,,,49.4,Ferrari N.V.,77.8,Consumer Cyclical,Auto Manufacturers,100.0,70.0,53.9,90.0,60.0,417.93,73457393664.0,35.0,32.1,False,up,21.2,True,2.0,9.7,True,2.0,2.7,6.8,False,504.49,-17.2,6.0,False,"{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'eps_growth_yoy': 21.2, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2}",463.13,534.76,401.35,14.0,strong_buy,10.8,131.18,-68.6,110.19,-73.6,1.59,6.63,,,,True,-1.08,63.9,10.1,60.0,2026-11-03,False,False,9.0,STRONG,2.8,46.9,3.26,,,,,,33.2,0.0,14.8,23.3,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,66,150 MA below 200 MA - not in Stage 2,STRONG_ACCUMULATION,75,"Strong institutional buying (2.0x ratio, 61% up volume)",HIGH_FLOAT,173.5,20.0,38.2,35.0,False,up,32.1,2.0,True,2.0,True,2.0,8.0,,29.0,,Sin datos suficientes,32.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,False,2/3,47.09,0.0,0.0,0.0,0.0,3.0,3.0,0.23,2.43,2.0,0.0,0.0,-68.6,81.9,ALTA,1.35,2.0,10.0,105.0,0,,0,UNRELIABLE/INSUFFICIENT (0),WATCH,0.0,46,0.4942,MEDIA,15.28,⚪ WEAK,🟡 Average,,,,,,,,,,,412.6,396.42,537.07,3.92,30.17,BUY NOW - At target entry price,False,2,0.911,False,-16.2,35.28,5.16,uptrend,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación
CHTR,0.0,,,,23.3,"Charter Communications, Inc.",51.3,Communication Services,Telecom Services,85.0,30.0,26.7,50.0,55.0,151.38,20402616320.0,15.0,11.2,False,up,13.6,True,1.0,-1.1,False,0.0,51.6,8.1,True,285.82,-47.0,2.0,False,"{'roe_pct': 27.2, 'debt_to_equity': 4.42, 'current_ratio': 0.36, 'operating_margin_pct': 23.5}","{'eps_growth_yoy': 13.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 9.1}",184.41,380.0,101.0,17.0,hold,21.8,,,,,10.77,18.43,,,,True,-23.32,2.5,6.4,56.0,2026-10-30,False,False,7.0,NEUTRAL,10.49,26.9,0.21,,,,,,1.3999999999999986,0.0,7.0,15.4,2026-09-04 08:41:43,2026-09-04,CONFIRMED_UPTREND,TRADE,False,16,Price below 150/200 MA - weak trend,ACCUMULATION,60,"Moderate accumulation (1.2x ratio, 53% up volume)",HIGH_FLOAT,115.2,20.0,22.4,15.0,False,up,11.2,2.0,True,1.0,False,0.0,2.0,,29.0,,Sin datos suficientes,11.2,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,False,2/3,46.685,8.0,0.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,2.72,2.0,5.0,42.0,0,,0,MIXED/INSUFFICIENT (0),,0.0,17,0.2331,BAJA,0.0,⚪ WEAK,🟡 Average,,,,,,,,,,,148.35,141.09,240.81,4.89,62.32,BUY ON PULLBACK - Wait for 2-5% dip,False,1,1.008,False,-47.04,35.71,-50.42,sideways,stage4,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo
