ticker,precio,vcp_score,calidad_patron,num_contracciones,contracciones,profundidad_base,etapa_analisis,trend_score,volumen_score,breakout_potential,listo_comprar,sector,market_cap,razon,fecha_scan
GPN,81.22000122070312,92.02380952380952,Excellent,21,10.6% → 4.4% → 8.4% → 18.6% → 6.1% → 7.1% → 3.4% → 4.0% → 6.5% → 5.8% → 4.0% → 8.8% → 3.5% → 4.5% → 9.8% → 14.2% → 4.8% → 22.2% → 27.5% → 13.0% → 3.9%,27.517588554660367,Stage 2 Strong,85.0,82.61904761904762,100.0,True,Industrials,19947956224,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 27.5% | Stage 2 Strong,2025-07-11 10:31:28
TFC,45.5,90.10416666666667,Excellent,24,11.9% → 3.3% → 9.1% → 4.3% → 4.0% → 6.1% → 4.4% → 3.3% → 6.3% → 11.5% → 3.2% → 5.5% → 4.4% → 5.4% → 4.5% → 6.2% → 16.0% → 6.5% → 19.4% → 11.5% → 5.6% → 3.3% → 7.8% → 3.7%,19.385057381026733,Stage 2 Strong,85.0,73.02083333333333,100.0,True,Financial Services,60032696320,VCP 24 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 19.4% | Stage 2 Strong,2025-07-11 10:31:28
ADI,245.1300048828125,90.0952380952381,Excellent,21,14.4% → 6.6% → 9.6% → 4.9% → 5.5% → 6.2% → 8.7% → 10.8% → 8.5% → 7.3% → 6.0% → 4.3% → 6.1% → 9.0% → 7.7% → 17.7% → 5.7% → 26.2% → 17.1% → 5.5% → 10.0%,26.174963581535554,Stage 2 Strong,85.0,72.97619047619048,100.0,True,Technology,122853277696,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 26.2% | Stage 2 Strong,2025-07-11 10:31:28
NXPI,233.19000244140625,90.0909090909091,Excellent,22,13.7% → 6.0% → 14.6% → 5.8% → 6.8% → 7.0% → 15.8% → 11.9% → 8.3% → 5.7% → 7.6% → 6.0% → 8.2% → 5.9% → 18.3% → 11.6% → 31.6% → 18.8% → 11.0% → 5.7% → 4.2% → 11.8%,31.639206085084048,Stage 2 Strong,85.0,72.95454545454545,100.0,True,Technology,59618754560,VCP 22 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 31.6% | Stage 2 Strong,2025-07-11 10:31:28
CRL,163.66000366210938,90.08333333333334,Excellent,18,24.7% → 3.5% → 9.8% → 13.2% → 12.0% → 20.3% → 4.3% → 6.3% → 7.1% → 9.6% → 4.0% → 17.5% → 11.1% → 6.1% → 8.9% → 48.6% → 8.5% → 7.8%,48.62703323943047,Stage 2 Strong,85.0,72.91666666666667,100.0,True,Healthcare,8275419136,VCP 18 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 48.6% | Stage 2 Strong,2025-07-11 10:31:28
JBL,220.9600067138672,90.07142857142857,Excellent,7,11.0% → 24.2% → 11.9% → 22.2% → 14.8% → 4.0% → 5.5%,24.187813559590847,Stage 2 Strong,85.0,72.85714285714286,100.0,True,Technology,23713206272,VCP 7 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 24.2% | Stage 2 Strong,2025-07-11 10:31:28
EL,92.0999984741211,90.05263157894737,Excellent,19,15.8% → 9.2% → 11.8% → 11.8% → 11.5% → 32.6% → 12.8% → 6.3% → 6.8% → 5.9% → 25.6% → 11.0% → 13.7% → 7.6% → 29.9% → 11.3% → 6.7% → 8.4% → 7.0%,32.63032498938756,Stage 2 Strong,85.0,72.76315789473684,100.0,True,Consumer Defensive,35233406976,VCP 19 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 32.6% | Stage 2 Strong,2025-07-11 10:31:28
IPG,25.0,90.04545454545455,Excellent,22,10.3% → 9.6% → 3.5% → 4.8% → 9.1% → 3.6% → 13.3% → 5.1% → 16.6% → 7.2% → 4.2% → 9.6% → 5.4% → 12.7% → 3.6% → 17.3% → 9.4% → 5.2% → 5.2% → 7.8% → 7.2% → 5.8%,17.273057525047175,Stage 2 Strong,85.0,72.72727272727273,100.0,True,Communication Services,9359424512,VCP 22 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 17.3% | Stage 2 Strong,2025-07-11 10:31:28
ETN,357.6400146484375,90.0,Excellent,23,12.2% → 17.5% → 3.8% → 3.7% → 8.6% → 3.5% → 7.8% → 5.4% → 13.8% → 5.5% → 21.1% → 5.9% → 6.1% → 10.8% → 11.4% → 4.1% → 13.9% → 18.8% → 13.4% → 6.4% → 6.3% → 5.7% → 4.4%,21.087299361558507,Stage 2 Strong,85.0,72.5,100.0,True,Industrials,139944542208,VCP 23 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 21.1% | Stage 2 Strong,2025-07-11 10:31:28
SNPS,566.1900024414062,89.97727272727273,Excellent,22,12.1% → 16.6% → 21.9% → 4.7% → 6.9% → 11.0% → 5.2% → 10.4% → 4.8% → 16.5% → 8.8% → 4.8% → 9.7% → 4.5% → 16.8% → 11.9% → 5.9% → 4.9% → 21.2% → 13.1% → 5.3% → 15.0%,21.880922300254376,Stage 2 Strong,85.0,72.38636363636364,100.0,False,Technology,90280689664,VCP 22 contracciones (Excellent) | Base: 21.9% | Stage 2 Strong,2025-07-11 10:31:28
AVY,184.6300048828125,89.95238095238095,Excellent,21,10.7% → 7.9% → 4.0% → 6.1% → 5.9% → 8.8% → 6.8% → 10.0% → 4.4% → 3.6% → 8.8% → 4.0% → 5.1% → 7.8% → 4.3% → 13.1% → 3.3% → 4.8% → 3.9% → 4.4% → 4.6%,13.09642720542412,Stage 2 Strong,85.0,72.26190476190476,100.0,True,Consumer Cyclical,14520854528,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 13.1% | Stage 2 Strong,2025-07-11 10:31:28
PFG,81.5999984741211,89.94117647058823,Excellent,17,15.8% → 5.0% → 3.5% → 13.3% → 5.7% → 14.4% → 4.5% → 4.0% → 6.1% → 4.0% → 3.6% → 10.1% → 5.7% → 20.9% → 6.0% → 7.6% → 3.8%,20.899837640980103,Stage 2 Strong,85.0,72.20588235294117,100.0,True,Financial Services,18461347840,VCP 17 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 20.9% | Stage 2 Strong,2025-07-11 10:31:28
MTD,1236.239990234375,89.88095238095238,Excellent,21,12.4% → 5.6% → 4.2% → 4.6% → 6.3% → 13.6% → 19.3% → 5.7% → 7.4% → 3.1% → 6.0% → 5.6% → 12.5% → 7.8% → 27.8% → 11.6% → 6.4% → 7.1% → 7.9% → 7.4% → 5.0%,27.80688048264752,Stage 2 Strong,85.0,71.9047619047619,100.0,True,Healthcare,26063400960,VCP 21 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 27.8% | Stage 2 Strong,2025-07-11 10:31:28
GM,53.150001525878906,89.86842105263158,Excellent,19,11.9% → 11.6% → 6.6% → 8.1% → 13.8% → 8.3% → 8.0% → 9.9% → 13.3% → 10.6% → 6.2% → 12.1% → 14.4% → 13.8% → 10.1% → 6.5% → 3.2% → 5.1% → 6.2%,14.411711629913501,Stage 2 Strong,85.0,71.84210526315789,100.0,True,Consumer Cyclical,51664031744,VCP 19 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 14.4% | Stage 2 Strong,2025-07-11 10:31:28
CFG,47.900001525878906,89.8409090909091,Excellent,22,15.3% → 11.1% → 5.4% → 4.5% → 8.2% → 4.3% → 7.4% → 3.7% → 7.7% → 12.5% → 5.6% → 4.4% → 6.0% → 5.9% → 8.3% → 15.7% → 8.1% → 21.8% → 13.9% → 7.3% → 4.6% → 8.0%,21.78502724795444,Stage 2 Strong,85.0,71.70454545454545,100.0,True,Financial Services,20999743488,VCP 22 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 21.8% | Stage 2 Strong,2025-07-11 10:31:28
DVN,33.95000076293945,89.83333333333334,Excellent,18,13.8% → 4.4% → 15.2% → 9.8% → 4.6% → 12.3% → 6.4% → 4.7% → 22.9% → 14.7% → 5.3% → 15.9% → 3.7% → 31.8% → 7.3% → 6.8% → 11.7% → 4.9%,31.79662490952363,Stage 2 Strong,85.0,71.66666666666667,100.0,True,Energy,21799294976,VCP 18 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 31.8% | Stage 2 Strong,2025-07-11 10:31:28
PLTR,142.5,89.83333333333334,Excellent,3,10.5% → 12.1% → 6.1%,12.086042742205644,Stage 2 Strong,85.0,71.66666666666667,100.0,True,Technology,334806581248,VCP 3 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 12.1% | Stage 2 Strong,2025-07-11 10:31:28
PARA,12.770000457763672,89.79545454545455,Excellent,22,14.3% → 7.5% → 13.2% → 5.2% → 5.8% → 3.6% → 11.4% → 6.0% → 12.3% → 5.8% → 6.2% → 5.4% → 4.5% → 8.7% → 10.1% → 5.4% → 12.9% → 9.7% → 6.1% → 3.9% → 3.1% → 4.1%,14.322040521183624,Stage 2 Strong,85.0,71.47727272727273,100.0,True,Communication Services,9140305920,VCP 22 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 14.3% | Stage 2 Strong,2025-07-11 10:31:28
KEY,18.489999771118164,89.74000000000001,Excellent,25,17.4% → 9.1% → 4.2% → 9.8% → 6.0% → 5.1% → 5.8% → 4.4% → 7.6% → 3.6% → 15.9% → 4.1% → 6.4% → 6.2% → 3.5% → 4.8% → 5.1% → 8.4% → 14.5% → 24.5% → 13.5% → 4.7% → 4.0% → 8.6% → 3.8%,24.495851518822917,Stage 2 Strong,85.0,71.2,100.0,True,Financial Services,20296843264,VCP 25 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 24.5% | Stage 2 Strong,2025-07-11 10:31:28
BKR,39.709999084472656,89.725,Excellent,20,12.7% → 3.4% → 3.7% → 10.0% → 7.9% → 6.2% → 3.3% → 4.3% → 4.7% → 8.8% → 8.2% → 9.6% → 7.0% → 8.9% → 10.6% → 6.2% → 25.3% → 12.5% → 3.6% → 6.9%,25.333338176905073,Stage 2 Strong,85.0,71.125,100.0,True,Energy,39722704896,VCP 20 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 25.3% | Stage 2 Strong,2025-07-11 10:31:28
HII,258.1099853515625,89.72222222222223,Excellent,18,11.6% → 10.9% → 5.9% → 7.6% → 30.1% → 9.8% → 6.6% → 9.6% → 24.1% → 6.2% → 8.0% → 5.8% → 5.0% → 14.3% → 6.7% → 6.7% → 5.0% → 3.5%,30.050099245915586,Stage 2 Strong,85.0,71.11111111111111,100.0,True,Industrials,10501927936,VCP 18 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 30.1% | Stage 2 Strong,2025-07-11 10:31:28
GEHC,76.5,89.70833333333334,Excellent,24,10.7% → 3.0% → 6.1% → 5.3% → 7.6% → 5.6% → 9.4% → 5.5% → 3.0% → 3.4% → 7.7% → 3.2% → 5.0% → 3.9% → 5.8% → 5.8% → 10.3% → 10.2% → 30.4% → 12.0% → 7.5% → 7.8% → 12.3% → 3.7%,30.449994587073437,Stage 2 Strong,85.0,71.04166666666667,100.0,True,Healthcare,35487432704,VCP 24 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 30.4% | Stage 2 Strong,2025-07-11 10:31:28
GOOG,178.6999969482422,89.6590909090909,Excellent,22,10.4% → 11.0% → 4.3% → 12.9% → 3.7% → 5.2% → 3.7% → 7.8% → 10.2% → 8.1% → 4.8% → 6.7% → 5.5% → 19.7% → 10.1% → 17.5% → 9.5% → 6.6% → 10.5% → 6.4% → 4.9% → 8.6%,19.72208602896009,Stage 2 Strong,85.0,70.79545454545455,100.0,True,Communication Services,2173921132544,VCP 22 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 19.7% | Stage 2 Strong,2025-07-11 10:31:28
PFE,25.780000686645508,89.6590909090909,Excellent,22,10.2% → 4.6% → 3.2% → 3.4% → 4.7% → 4.9% → 5.2% → 6.0% → 10.0% → 8.8% → 5.0% → 5.2% → 6.2% → 7.0% → 4.1% → 4.6% → 6.4% → 21.1% → 4.6% → 7.9% → 5.1% → 3.8%,21.116138607618282,Stage 2 Strong,85.0,70.79545454545455,100.0,True,Healthcare,147830259712,VCP 22 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 21.1% | Stage 2 Strong,2025-07-11 10:31:28
APTV,70.58000183105469,89.65789473684211,Excellent,19,18.0% → 7.7% → 7.3% → 11.4% → 9.3% → 3.8% → 28.1% → 9.9% → 6.5% → 5.6% → 6.0% → 4.4% → 14.2% → 9.3% → 9.1% → 28.3% → 5.7% → 7.9% → 6.0%,28.31536181965053,Stage 2 Strong,85.0,70.78947368421052,100.0,True,Consumer Cyclical,15367384064,VCP 19 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 28.3% | Stage 2 Strong,2025-07-11 10:31:28
SWKS,77.69999694824219,89.62,Excellent,25,19.9% → 3.5% → 3.5% → 12.2% → 7.8% → 4.5% → 6.0% → 5.7% → 7.8% → 11.9% → 10.2% → 4.4% → 4.1% → 6.2% → 4.4% → 6.0% → 35.0% → 6.0% → 4.2% → 9.8% → 33.0% → 19.4% → 8.7% → 4.8% → 8.6%,35.0408595109805,Stage 2 Strong,85.0,70.6,100.0,True,Technology,11675589632,VCP 25 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 35.0% | Stage 2 Strong,2025-07-11 10:31:28
AME,181.44000244140625,89.57142857142857,Excellent,14,15.3% → 5.3% → 4.9% → 4.4% → 3.4% → 5.5% → 8.9% → 8.1% → 10.1% → 19.6% → 5.6% → 4.1% → 3.7% → 3.5%,19.58522217233238,Stage 2 Strong,85.0,70.35714285714286,100.0,True,Industrials,41890689024,VCP 14 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 19.6% | Stage 2 Strong,2025-07-11 10:31:28
NCLH,23.149999618530273,89.56818181818181,Excellent,22,11.8% → 24.5% → 3.9% → 9.1% → 10.7% → 7.9% → 8.9% → 4.0% → 10.9% → 13.1% → 7.7% → 6.9% → 10.1% → 7.5% → 11.7% → 15.8% → 31.9% → 31.9% → 18.3% → 15.9% → 14.3% → 6.1%,31.944441526379556,Stage 2 Strong,85.0,70.3409090909091,100.0,True,Consumer Cyclical,10904089600,VCP 22 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 31.9% | Stage 2 Strong,2025-07-11 10:31:28
BEN,25.139999389648438,89.56521739130434,Excellent,23,13.2% → 3.8% → 14.6% → 7.8% → 7.2% → 9.4% → 5.0% → 6.1% → 12.6% → 4.1% → 9.9% → 3.5% → 13.3% → 8.0% → 7.5% → 7.4% → 5.8% → 16.8% → 13.4% → 6.7% → 4.5% → 5.7% → 5.6%,16.752055462830153,Stage 2 Strong,85.0,70.32608695652173,100.0,True,Financial Services,13338956800,VCP 23 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 16.8% | Stage 2 Strong,2025-07-11 10:31:28
WST,229.22999572753906,89.56521739130434,Excellent,23,18.5% → 8.8% → 3.8% → 8.3% → 4.3% → 5.5% → 10.7% → 5.7% → 13.5% → 13.9% → 3.0% → 3.9% → 5.4% → 4.4% → 6.0% → 43.5% → 6.8% → 20.5% → 10.4% → 8.4% → 6.5% → 3.6% → 7.3%,43.49806221780566,Stage 2 Strong,85.0,70.32608695652173,100.0,True,Healthcare,16691198976,VCP 23 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 43.5% | Stage 2 Strong,2025-07-11 10:31:28
GOOGL,177.6199951171875,89.54347826086956,Excellent,23,10.6% → 11.1% → 4.4% → 12.6% → 3.8% → 5.2% → 4.0% → 7.7% → 6.2% → 8.5% → 8.0% → 4.7% → 6.8% → 5.7% → 19.9% → 10.3% → 17.6% → 9.7% → 6.4% → 10.6% → 6.5% → 4.8% → 8.7%,19.922723652298725,Stage 2 Strong,85.0,70.21739130434783,100.0,True,Communication Services,2173500391424,VCP 23 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 19.9% | Stage 2 Strong,2025-07-11 10:31:28
CMI,340.0299987792969,89.5,Excellent,16,13.8% → 3.4% → 9.1% → 3.6% → 4.2% → 3.2% → 5.0% → 10.7% → 8.1% → 3.7% → 7.8% → 16.3% → 22.0% → 12.4% → 7.8% → 7.2%,22.023625279759557,Stage 2 Strong,85.0,70.0,100.0,True,Industrials,47600799744,VCP 16 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 22.0% | Stage 2 Strong,2025-07-11 10:31:28
FFIV,299.8900146484375,89.5,Excellent,12,10.0% → 9.9% → 14.4% → 7.1% → 17.3% → 7.7% → 5.9% → 3.9% → 4.2% → 3.4% → 4.4% → 4.8%,17.301673264505936,Stage 2 Strong,85.0,70.0,100.0,True,Technology,17223163904,VCP 12 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 17.3% | Stage 2 Strong,2025-07-11 10:31:28
LEN,116.44000244140625,89.47826086956522,Excellent,23,10.9% → 5.3% → 5.7% → 6.5% → 5.9% → 15.3% → 7.6% → 4.8% → 24.9% → 8.0% → 5.1% → 13.6% → 7.0% → 6.5% → 10.6% → 13.5% → 15.1% → 5.3% → 5.6% → 4.2% → 9.9% → 10.4% → 10.2%,24.933376589715536,Stage 2 Strong,85.0,69.8913043478261,100.0,True,Consumer Cyclical,30262059008,VCP 23 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 24.9% | Stage 2 Strong,2025-07-11 10:31:28
DELL,127.91000366210938,89.47727272727273,Excellent,22,18.3% → 25.4% → 13.9% → 4.2% → 11.7% → 10.2% → 7.5% → 21.7% → 9.8% → 6.1% → 15.2% → 17.3% → 8.3% → 12.1% → 24.8% → 12.9% → 30.8% → 9.6% → 9.3% → 6.3% → 9.1% → 6.4%,30.787714427930872,Stage 2 Strong,85.0,69.88636363636364,100.0,True,Technology,87709294592,VCP 22 contracciones (Excellent) - PATRÓN SÓLIDO | Base: 30.8% | Stage 2 Strong,2025-07-11 10:31:28
