ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,45.0,BRL,67.0,A,67.0,ROE 28.2% | P/E 4.0x (vs 10x mercado) | FCF yield 14.7% | Margen 22% | Mercado Brazil CAPE 9 (34% descuento histórico),4,0,Energy,Brazil,🇧🇷,9.0,42.97,-4.5,13,14.7,-0.56,10.31,,28.2,4.0,5.6,22.1,5.0,0.3,cyclical | geopolitical | governance,PBR,SUSPECT,Anomalous FCF yield and dividend yield for an energy company,2026-03-13
6098.T,"Recruit Holdings Co., Ltd.",6514.0,JPY,67.0,A,67.0,ROE 27.3% | Potencial +51% analistas | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Communication Services,Japan,🇯🇵,29.4,9867.5,51.5,16,4.6,6.44,0.38,,27.3,21.5,21.9,12.8,5.2,-31.9,regulatory risk in Japanese labor market | cyclical risk in recruitment industry,RCRUY,SUSPECT,High ROE and analyst upside may indicate overvaluation or unrealistic expectations,2026-03-13
0941.HK,China Mobile Limited,79.85,HKD,66.0,A,66.0,P/E 10.3x | Potencial +25% | FCF yield 8.5% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Communication Services,HongKong,🇭🇰,10.7,99.81,25.0,14,8.5,3.12,6.63,,10.5,10.3,10.7,13.7,2.5,-11.9,regulatory risks in China | cyclical industry risks,,SUSPECT,FCF yield seems high for a telecom company,2026-03-13
012330.KS,"Hyundai Mobis Co.,Ltd",404000.0,KRW,66.0,A,66.0,P/E 7.5x (vs 11x mercado) | Potencial +34% analistas | Dividendo 1.6%,0,0,Consumer Cyclical,Korea,🇰🇷,21.2,542633.3,34.3,30,3.3,4.29,1.57,,9.2,7.5,,6.9,7.4,-23.9,cyclical risk | geopolitical risk,,SUSPECT,Low Forward P/E ratio of 7.5x may indicate undervaluation or upcoming financial challenges,2026-03-13
0388.HK,Hong Kong Exchanges and Clearing Limited,401.4,HKD,66.0,A,66.0,ROE 31.5% | Potencial +29% | Margen 62% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,519.24,29.4,17,,3.67,3.21,,31.5,26.5,28.6,61.5,14.2,-13.9,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Real estate exposure | Geopolitical risk,,SUSPECT,Anomalous FCF yield and high P/E ratio for a financial services company,2026-03-13
3988.HK,Bank of China Limited,4.56,HKD,65.0,A,65.0,P/E 5.5x (vs 11x mercado) | Potencial +20% | Margen 44% | Dividendo 5.5% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,5.49,20.3,18,,2.54,5.53,,8.3,5.5,5.4,43.5,2.8,-5.0,FCF no comparable (sector financiero) | Empresa estatal — riesgo de gobierno corporativo | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate exposure | State-owned enterprise governance risks,,RISKY,Low P/E ratio and high dividend yield may indicate undervaluation or underlying risks,2026-03-13
1810.HK,Xiaomi Corporation,33.34,HKD,65.0,A,65.0,ROE 19.9% | Potencial +46% analistas | Crecimiento ingresos +22% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Technology,HongKong,🇭🇰,10.7,48.67,46.0,30,3.7,5.75,,,19.9,18.6,20.3,9.8,22.3,-45.7,Geopolitical Risk | Regulatory Risk,,SUSPECT,High revenue growth and analyst upside may not be sustainable given geopolitical risks and regulatory scrutiny in the technology sector,2026-03-13
7733.T,Olympus Corporation,1310.5,JPY,64.0,B,64.0,P/E 10.4x (vs 16x mercado) | Potencial +44% analistas | Dividendo 2.2% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Healthcare,Japan,🇯🇵,29.4,1888.46,44.1,13,0.8,5.51,2.24,,11.2,10.4,15.2,8.6,3.9,-39.6,cyclical | governance,,SUSPECT,Low FCF yield and relatively low profit margin raise concerns about the company's ability to generate cash and maintain profitability,2026-03-13
005930.KS,"Samsung Electronics Co., Ltd.",183500.0,KRW,64.0,B,64.0,P/E 6.5x (vs 11x mercado) | Potencial +27% | Crecimiento ingresos +24% | Dividendo 1.2%,0,0,Technology,Korea,🇰🇷,21.2,232603.22,26.8,37,2.0,3.34,1.2,,10.8,6.5,,13.3,23.8,-17.7,incomplete_data | potential_accounting_issues,SSNLF,SUSPECT,"Trailing P/E is reported as non-existent, which is unusual for a well-established company like Samsung Electronics",2026-03-13
055550.KS,"Shinhan Financial Group Co., Ltd.",90800.0,KRW,63.0,B,63.0,P/E 7.3x (vs 11x mercado) | Potencial +22% | Crecimiento ingresos +22% | Margen 32% | Dividendo 3.8%,1,0,Financial Services,Korea,🇰🇷,21.2,110804.77,22.0,21,,2.75,3.83,,8.5,7.3,,31.6,21.6,-15.3,FCF no comparable (sector financiero) | Regulatory risk in financial sector | Geopolitical risk in Korea,,SUSPECT,Anomalous trailing P/E and missing FCF yield raise concerns about data quality,2026-03-13
ITUB4.SA,Itaú Unibanco Holding S.A.,42.69,BRL,63.0,B,63.0,ROE 21.0% | P/E 8.2x | Potencial +12% | Margen 32% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,47.92,12.3,13,,1.53,1.29,,21.0,8.2,10.6,32.3,11.0,-14.1,FCF no comparable (sector financiero) | regulatory risk | geopolitical risk | cyclical risk,ITUB,SUSPECT,Low forward P/E and high profit margin may indicate potential overstatement of earnings or undervaluation,2026-03-13
LREN3.SA,Lojas Renner S.A.,15.02,BRL,62.0,B,62.0,P/E 8.8x | Potencial +27% | FCF yield 10.7% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Consumer Cyclical,Brazil,🇧🇷,9.0,19.07,26.9,15,10.7,3.37,6.07,,13.7,8.8,10.4,9.2,4.8,-24.4,cyclical risk | payout sustainability risk,,SUSPECT,High FCF yield and dividend yield for a consumer cyclical company may indicate potential overvaluation or unsustainable payout,2026-03-13
RDOR3.SA,Rede D'Or São Luiz S.A.,37.26,BRL,62.0,B,62.0,ROE 20.0% | Potencial +37% analistas | FCF yield 5.2% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Healthcare,Brazil,🇧🇷,9.0,51.02,36.9,13,5.2,4.61,8.97,,20.0,13.0,17.6,8.4,11.9,-23.0,Deuda elevada (D/E >2x) | Deuda elevada | Potential dividend trap,RDORY,SUSPECT,High dividend yield and debt-to-equity ratio may indicate potential sustainability issues,2026-03-13
1398.HK,Industrial and Commercial Bank of China Limited,6.33,HKD,61.0,B,61.0,P/E 5.5x (vs 11x mercado) | Potencial +17% | Margen 54% | Dividendo 5.3% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,7.38,16.6,17,,2.08,5.33,,9.1,5.5,5.6,54.3,5.8,-5.0,FCF no comparable (sector financiero) | Empresa estatal — riesgo de gobierno corporativo | Banco/aseguradora HK — exposición sector inmuebles chino | State-owned enterprise risk | Exposure to Chinese real estate sector | Geopolitical risks,,RISKY,Low P/E ratio and high profit margin raise concerns about potential undervaluation or hidden risks,2026-03-13
BBDC4.SA,Banco Bradesco S.A.,19.39,BRL,61.0,B,61.0,P/E 6.4x (vs 10x mercado) | Potencial +13% | Margen 27% | Dividendo 1.2% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Financial Services,Brazil,🇧🇷,9.0,21.85,12.7,13,,1.58,1.17,,13.8,6.4,9.1,26.5,6.0,-12.3,FCF no comparable (sector financiero) | regulatory risk | geopolitical risk | cyclical risk,BBD,SUSPECT,Low forward P/E and high profit margin may indicate potential anomalies or accounting discrepancies,2026-03-13
000270.KS,Kia Corporation,164300.0,KRW,59.0,B,59.0,P/E 6.9x (vs 11x mercado) | Potencial +25% | Dividendo 4.1%,0,0,Consumer Cyclical,Korea,🇰🇷,21.2,204903.22,24.7,31,4.8,3.09,4.07,,14.1,6.9,,6.9,8.2,-22.7,cyclical industry risks | geopolitical risks,,SUSPECT,"Trailing P/E is reported as non-existent, which is unusual for a publicly traded company like Kia Corporation",2026-03-13
0883.HK,CNOOC Limited,29.66,HKD,59.0,B,59.0,ROE 16.4% | P/E 9.4x | Margen 30% | Dividendo 5.0% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Energy,HongKong,🇭🇰,10.7,26.84,-9.5,14,3.8,-1.19,5.02,,16.4,9.4,10.1,30.3,5.7,-0.9,cyclical | geopolitical | governance,,SUSPECT,Low forward P/E and high dividend yield may indicate undervaluation or underlying issues,2026-03-13
6902.T,DENSO Corporation,1937.5,JPY,58.0,B,58.0,P/E 10.0x (vs 16x mercado) | Potencial +21% | Dividendo 3.2% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Consumer Cyclical,Japan,🇯🇵,29.4,2337.5,20.6,16,1.1,2.58,3.2,,7.9,10.0,15.2,5.2,5.0,-18.4,cyclical risk | governance risk,,SUSPECT,Low ROE and profit margin for a consumer cyclical company,2026-03-13
9618.HK,"JD.com, Inc.",109.8,HKD,57.0,B,57.0,P/E 7.0x (vs 11x mercado) | Potencial +35% analistas | FCF negativo | Dividendo 3.6% | Mercado HongKong CAPE 11 (33% descuento histórico),2,1,Consumer Cyclical,HongKong,🇭🇰,10.7,148.77,35.5,23,-5.3,4.44,3.56,,7.6,7.0,15.0,1.5,1.5,-38.3,cyclical risk | governance risk,JD,SUSPECT,Negative FCF yield and low profit margin raise concerns about the company's financial health,2026-03-13
0939.HK,China Construction Bank Corporation,7.92,HKD,57.0,B,57.0,P/E 5.3x (vs 11x mercado) | Potencial +20% | Margen 56% | Dividendo 5.4% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,9.5,20.0,18,,2.49,5.38,,9.6,5.3,5.4,55.9,3.0,-7.5,FCF no comparable (sector financiero) | Empresa estatal — riesgo de gobierno corporativo | Banco/aseguradora HK — exposición sector inmuebles chino | Exposure to Chinese real estate market | State-owned enterprise governance risks,,RISKY,Anomalous profit margin and lack of FCF yield data raise concerns,2026-03-13
BBAS3.SA,Banco do Brasil S.A.,24.23,BRL,57.0,B,57.0,ROE 16.9% | P/E 4.5x (vs 10x mercado) | Potencial +11% | Margen 30% | Dividendo 1.2% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,26.94,11.2,13,,1.4,1.16,,16.9,4.5,10.1,30.4,-29.9,-19.3,FCF no comparable (sector financiero) | Ingresos en declive YoY | cyclical risk | geopolitical risk | governance risk,,RISKY,Negative revenue growth and low forward P/E raise concerns,2026-03-13
2382.HK,Sunny Optical Technology (Group) Company Limited,56.45,HKD,57.0,B,57.0,Potencial +60% analistas | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Technology,HongKong,🇭🇰,10.7,90.14,59.7,25,3.6,7.46,0.87,,13.5,13.4,16.6,8.4,4.2,-38.2,cyclical | governance,,SUSPECT,Low dividend yield and moderate profit margin raise concerns about the company's ability to generate stable cash flows,2026-03-13
035420.KS,NAVER Corporation,223000.0,KRW,55.0,B,55.0,Potencial +46% analistas | Dividendo 1.2%,0,0,Communication Services,Korea,🇰🇷,21.2,326269.22,46.3,26,4.4,5.79,1.18,,6.5,14.3,,16.2,10.7,-24.4,incomplete_data | potential_accounting_issues,,SUSPECT,"Trailing P/E is reported as non-existent, which is unusual for a publicly traded company like NAVER Corporation",2026-03-13
RENT3.SA,Localiza Rent a Car S.A.,45.17,BRL,55.0,B,55.0,P/E 9.1x | Potencial +29% | FCF yield 13.0% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,58.43,29.4,15,13.0,3.67,4.56,,7.2,9.1,25.7,4.5,11.7,-14.8,Earnings Volatility | Estimation Risk,,SUSPECT,Anomalous trailing P/E of 25.7x compared to forward P/E of 9.1x may indicate inconsistent earnings expectations,2026-03-13
086790.KS,Hana Financial Group Inc.,108900.0,KRW,55.0,B,55.0,P/E 6.5x (vs 11x mercado) | Potencial +18% | Crecimiento ingresos +83% | Margen 32% | Dividendo 4.9%,1,0,Financial Services,Korea,🇰🇷,21.2,128295.65,17.8,23,,2.23,4.86,,9.0,6.5,,32.3,82.9,-18.5,FCF no comparable (sector financiero) | Regulatory Risk | Cyclical Risk,,SUSPECT,Anomalous forward P/E of 6.5x is unusually low for a financial services company with high profit margin and revenue growth,2026-03-13
9988.HK,Alibaba Group Holding Limited,132.6,HKD,53.0,B,53.0,Potencial +47% analistas | FCF negativo | Dividendo 5.8% | Mercado HongKong CAPE 11 (33% descuento histórico),2,1,Consumer Cyclical,HongKong,🇭🇰,10.7,194.28,46.5,29,-2.0,5.81,5.75,,11.2,15.2,17.8,12.2,4.8,-28.8,Regulatory Risk | Geopolitical Risk,BABA,SUSPECT,Negative FCF yield is anomalous for a established company like Alibaba,2026-03-13
8035.T,Tokyo Electron Limited,38340.0,JPY,52.0,B,52.0,ROE 26.5% | Potencial +21% | Margen 21% | Dividendo 1.5% | Mercado Japan CAPE 29 (26% descuento histórico),3,0,Technology,Japan,🇯🇵,29.4,46528.57,21.4,21,1.6,2.67,1.51,,26.5,29.9,32.6,21.1,-15.7,-17.7,Ingresos en declive YoY | Cyclical Risk | Valuation Risk,,RISKY,Negative revenue growth and high P/E ratios raise concerns about the company's valuation and future prospects,2026-03-13
7974.T,"Nintendo Co., Ltd.",10220.0,JPY,51.0,B,51.0,Potencial +21% | Crecimiento ingresos +86% | Dividendo 1.8% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Communication Services,Japan,🇯🇵,29.4,12364.27,21.0,26,,2.62,1.78,,14.1,30.0,32.3,18.9,86.3,-30.9,Cyclical Risk | Regulatory Risk,NTDOY,SUSPECT,Missing FCF Yield is unusual for a company with high revenue growth,2026-03-13
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",17.14,BRL,51.0,B,51.0,ROE 25.6% | Margen 46% | Dividendo 3.5% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,17.96,4.8,14,,0.6,3.47,,25.6,14.3,20.7,45.5,10.5,-8.0,FCF no comparable (sector financiero) | Regulatory Risk | Governance Risk,,SUSPECT,High profit margin and ROE for a financial services company may indicate potential anomalies or accounting irregularities,2026-03-13
316140.KS,Woori Financial Group Inc.,32200.0,KRW,51.0,B,51.0,P/E 6.6x (vs 11x mercado) | Potencial +16% | Margen 31% | Dividendo 4.2%,1,0,Financial Services,Korea,🇰🇷,21.2,37270.0,15.7,20,,1.97,4.18,,8.8,6.6,,31.4,5.7,-22.4,FCF no comparable (sector financiero) | Regulatory risk in financial sector | Geopolitical risk in Korea,,SUSPECT,Anomalous trailing P/E and missing FCF yield raise concerns about data quality,2026-03-13
105560.KS,KB Financial Group Inc.,148900.0,KRW,50.0,B,50.0,P/E 7.9x | Potencial +19% | Crecimiento ingresos +32% | Margen 37% | Dividendo 4.3%,1,0,Financial Services,Korea,🇰🇷,21.2,177930.0,19.5,20,,2.44,4.3,,9.7,7.9,,36.7,31.8,-13.7,FCF no comparable (sector financiero) | regulatory risk | cyclical risk,,SUSPECT,Anomalous forward P/E of 7.9x is lower than typical for financial services sector,2026-03-13
0001.HK,CK Hutchison Holdings Limited,58.3,HKD,49.0,C,49.0,P/E 9.5x | Potencial +19% | FCF yield 14.3% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Industrials,HongKong,🇭🇰,10.7,69.33,18.9,8,14.3,2.36,3.76,,2.2,9.5,28.9,2.7,2.0,-12.3,Potential earnings volatility | Governance risks due to complex conglomerate structure,,SUSPECT,Anomalous trailing P/E of 28.9x seems high compared to forward P/E of 9.5x,2026-03-13
WEGE3.SA,WEG S.A.,45.82,BRL,48.0,C,48.0,ROE 32.5% | Potencial +16% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,53.17,16.0,14,2.0,2.01,3.56,,32.5,23.3,30.1,15.6,-5.3,-16.0,Ingresos en declive YoY | Cyclical Risk | Geopolitical Risk | Governance Risk,WEGZY,RISKY,Negative revenue growth and high P/E ratios raise concerns,2026-03-13
8316.T,"Sumitomo Mitsui Financial Group, Inc.",5108.0,JPY,47.0,C,47.0,Potencial +15% | Crecimiento ingresos +22% | Margen 21% | Dividendo 3.0% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Financial Services,Japan,🇯🇵,29.4,5878.2,15.1,13,,1.88,3.05,,4.9,16.1,13.7,20.7,21.8,-18.7,FCF no comparable (sector financiero) | Regulatory risk | Cyclical risk,SMFG,SUSPECT,Anomalous FCF yield and high profit margin for a financial services company,2026-03-13
7203.T,Toyota Motor Corporation,3370.0,JPY,46.0,C,46.0,P/E 10.4x (vs 16x mercado) | Potencial +20% | FCF negativo | Dividendo 2.7% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Consumer Cyclical,Japan,🇯🇵,29.4,4033.5,19.7,17,-0.1,2.46,2.74,,10.0,10.4,11.9,7.3,8.6,-15.8,cyclical risk | geopolitical risk,TM,SUSPECT,Negative FCF yield is anomalous for a well-established automaker like Toyota,2026-03-13
9983.T,"Fast Retailing Co., Ltd.",65000.0,JPY,46.0,C,46.0,ROE 20.0% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Consumer Cyclical,Japan,🇯🇵,29.4,65560.21,0.9,14,2.5,0.11,0.77,,20.0,47.5,46.2,12.7,14.8,-7.1,Overvaluation Risk | Growth Slowdown Risk,,SUSPECT,High P/E ratios and low analyst upside raise concerns about valuation and growth prospects,2026-03-13
VALE3.SA,Vale S.A.,79.24,BRL,45.0,C,45.0,P/E 6.9x (vs 10x mercado) | Potencial +12% | Mercado Brazil CAPE 9 (34% descuento histórico),1,0,Basic Materials,Brazil,🇧🇷,9.0,88.53,11.7,12,4.6,1.46,8.7,,5.9,6.9,27.7,6.5,0.5,-13.5,cyclical | geopolitical,VALE,SUSPECT,Anomalous P/E ratio discrepancy between forward and trailing values,2026-03-13
7267.T,"Honda Motor Co., Ltd.",1368.0,JPY,45.0,C,45.0,P/E 6.0x (vs 16x mercado) | Potencial +22% | Dividendo 4.8% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Consumer Cyclical,Japan,🇯🇵,29.4,1674.88,22.4,17,0.7,2.8,4.83,,4.3,6.0,11.0,2.3,-3.4,-20.9,cyclical risk | geopolitical risk,,SUSPECT,Low ROE and profit margin raise concerns about the company's profitability,2026-03-13
6367.T,"Daikin Industries,Ltd.",19055.0,JPY,45.0,C,45.0,Potencial +15% | Dividendo 1.7% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Industrials,Japan,🇯🇵,29.4,21855.09,14.7,16,,1.84,1.7,,9.3,19.2,20.4,5.7,7.9,-8.9,cyclical | governance,,SUSPECT,Missing FCF Yield is unusual for an industrial company,2026-03-13
8306.T,"Mitsubishi UFJ Financial Group, Inc.",2656.0,JPY,43.0,C,43.0,Potencial +15% | Margen 23% | Dividendo 2.9% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Financial Services,Japan,🇯🇵,29.4,3060.0,15.2,12,,1.9,2.94,,6.1,17.5,15.8,22.8,11.7,-14.0,FCF no comparable (sector financiero) | cyclical risk | regulatory risk,MUFG,SUSPECT,Missing FCF yield and high profit margin raise concerns,2026-03-13
9432.T,"NTT, Inc.",154.7,JPY,42.0,C,42.0,P/E 10.6x (vs 16x mercado) | Potencial +14% | FCF negativo | Dividendo 3.4% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Communication Services,Japan,🇯🇵,29.4,176.21,13.9,14,-3.5,1.74,3.4,,10.7,10.6,12.3,7.6,5.5,-7.5,Deuda elevada (D/E >2x) | Deuda elevada | Negative FCF Yield,,RISKY,Negative FCF yield and high debt-to-equity ratio are significant concerns,2026-03-13
